MarmID,Lesion
750NB,6
B011,11
BI01,14
BI07,4
BI07,12
BI60,1
BI76,1
BI76,11
BJ16,13
BJ27,5
BJ27,12
BJ27,13
BJ28,6
BJ45,10
BM01,3
BM07,21
BM07,22
BM07,24
BM16,16
BM16,20
BM19,4
BM27,7
BM27,13
BM28,13
BM28,14
BM34,9
BM34,20
BM34,23
BM40,9
BM40,18
BM40,21
BN05,15
BN13,7
BN14,5
BN14,9
BN14,10
BN18,7
BN18,9
BN22,9
BN27,3
BN36,12
BO09,10
BO09,12
BO11,23
BO22,8
BO22,9
BO23,6
BO36,21
BO36,22
BO37,11
BO37,13
BO42,5
BP02,21
BP09,13
BP14,11
BP14,14
BP14,27
BP14,28
BP14,29
BP14,30
BP14,44
BP14,47
BP14,50
BP14,51
BP17,4
BP17,8
BP17,12
BP17,18
BP17,26
BP17,29
BP20,7
BP20,8
BP20,12
BP29,10
BP29,15
BP35,4
BP35,15
BP35,16
BQ02,23
BQ42,9
BQ42,13
BQ42,20
BQ42,22
BQ42,23
BQ47,10
BR01,5
BR07,12
BR07,18
C508c,9
C508c,13
C508c,16
C508c,17
M289,8
M291,9
