feature,CFU,radiodensity (HU),stdev radiodensity (HU),soft volume (mL),hard volume (mL),PET activity (SUV),∆ radiodensity (HU),∆ stdev radiodensity (HU),∆ soft volume (mL),∆ hard volume (mL),∆ PET activity (SUV)
AUC25 acidic (constant),0.74,0.64,0.44,0.46,0.58,0.31,0.44,0.91,0.05,0.71,0.02
AUC25 acidic (terminal),0.81,0.07,0.18,0.23,0.06,0.03,0.18,0.15,0.12,0.49,0.78
AUC25 butyrate (constant),0.28,0.7,0.24,0.46,0.78,0.31,0.85,0.83,0.37,0.48,0.1
AUC25 butyrate (terminal),0.18,0.92,0.28,0.59,0.48,0.42,0.85,0.57,0.34,0.78,0.13
AUC25 cholesterol (constant),0.57,0.72,0.54,0.67,0.89,0.62,0.32,0.94,0.92,0.38,0.78
AUC25 cholesterol (terminal),0.34,0.85,0.53,0.56,0.73,0.54,0.8,0.4,0.85,0.65,0.34
AUC25 dormancy (constant),0.83,0.65,0.4,0.47,0.53,0.88,0.21,0.49,0.73,0.13,0.6
AUC25 dormancy (terminal),0.93,0.03,0.13,0.1,0.01,0.14,0.11,0.01,0.4,0.49,0.68
AUC25 standard  (constant)-terminal),0.13,0.58,0.91,0.49,0.28,0.93,0.93,0.31,0.96,0.53,0.63
AUC25 valerate (constant),0.81,0.41,0.64,0.52,0.58,0.61,0.21,0.71,0.74,0.25,0.98
AUC25 valerate (terminal),0.49,0.99,0.4,0.15,0.47,0.96,0.83,0.7,0.75,0.73,0.53
FIC50 acidic (constant),0.52,0.27,0.61,0.09,0.19,0.41,0.34,0.41,0.52,0.64,0.81
FIC50 acidic (terminal),0.31,0.18,0.27,0.39,0.41,0.39,0.08,0.74,0.68,0.36,0.61
FIC50 butyrate (constant),0.82,0.67,0.34,0.2,0.54,0.99,0.28,0.67,0.39,0.75,0.12
FIC50 butyrate (terminal),0.69,0.3,0.43,0.75,0.98,0.71,0.34,0.61,0.31,0.81,0.05
FIC50 cholesterol (constant),0.05,0.35,0.43,0.28,0.04,0.73,0.29,0.07,0.13,0.07,0.48
FIC50 cholesterol (terminal),0.01,0.67,0.8,0.23,0.05,0.51,0.54,0.26,0.07,0.13,0.96
FIC50 dormancy (constant),0.13,0.66,0.46,0.66,0.79,1,0.66,0.2,0.75,0.62,0.24
FIC50 dormancy (terminal),0.36,0.62,0.88,0.27,0.54,0.54,0.66,1,0.17,0.08,0.24
FIC50 standard  (constant)-terminal),0.51,0.75,0.96,0.45,0.93,0.12,0.96,0.78,0.31,0.96,0.47
FIC50 valerate (constant),0.16,0.91,0.88,0.36,0.64,0.74,0.84,0.41,0.84,0.68,0.49
FIC50 valerate (terminal),0.73,0.53,0.31,0.7,0.8,0.83,0.45,0.53,0.21,0.93,0.09
FIC90 acidic (terminal),0.74,0.21,0.18,0.39,0.41,0.55,0.15,0.58,0.36,0.27,1
FIC90 butyrate (constant),0.23,0.35,0.35,0.13,0.02,0.35,0.95,0.95,0.95,0.13,0.45
FIC90 butyrate (terminal),0.62,0.5,0.98,0.36,0.27,0.93,0.93,0.5,0.36,0.62,0.3
FIC90 cholesterol (constant),0.33,0.38,0.54,0.92,0.83,0.18,0.11,0.8,0.44,0.22,0.15
FIC90 cholesterol (terminal),1,0.54,0.26,0.64,0.78,0.4,0.25,0.64,0.59,0.07,0.96
FIC90 dormancy (constant),0.05,0.91,0.91,0.66,0.66,0.71,0.84,0.59,0.56,0.44,0.24
FIC90 dormancy (terminal),0.58,0.88,0.79,0.17,0.5,0.11,0.24,0.43,0.1,0.17,0.36
FIC90 standard  (constant)-terminal),0.75,0.75,0.33,0.33,0.75,0.33,0.75,0.33,0.08,0.33,0.33
FIC90 valerate (constant),0.66,0.03,0.1,0.1,0.1,0.42,0.06,0.18,1,0.36,0.1
FIC90 valerate (terminal),0.78,0.27,0.59,0.91,0.66,0.78,0.07,0.66,0.71,0.78,0.24
GRinf acidic (constant),0.41,0.91,0.78,0.21,0.64,0.34,0.18,0.49,0.46,0.04,0.95
GRinf acidic (terminal),0.46,0.18,0.27,0.01,0.06,0.61,0.91,0.11,0.44,0.68,0.88
GRinf butyrate (constant),0.09,0.37,0.78,0.96,0.87,0.54,0.15,0.37,0.9,0.37,0.38
GRinf butyrate (terminal),0.2,0.19,0.31,0.54,0.38,0.32,0.12,0.35,0.47,0.18,0.56
GRinf cholesterol (constant),0.39,0.53,0.31,0.34,0.8,0.98,0.61,0.88,0.54,0.28,0.07
GRinf cholesterol (terminal),0.29,0.6,0.42,0.17,0.96,0.89,0.64,0.67,0.96,0.48,0.05
GRinf dormancy (constant),0.65,0.58,0.47,0.96,0.63,0.58,0.38,0.91,0.88,0.93,0.88
GRinf dormancy (terminal),0.19,0.43,0.53,0.38,0.83,0.53,0.51,0.38,0.29,0.78,0.68
GRinf standard  (constant)-terminal),0.38,0.13,0.14,0.96,0.68,0.43,0,0.38,0.53,0,0.85
GRinf valerate (constant),0.41,0.21,0.25,0.95,0.44,0.58,0.04,0.16,0.58,0,0.81
GRinf valerate (terminal),0.17,0.07,0.05,0.78,0.8,0.45,0,0.49,0.88,0.29,0.78
PK_cas AUC25 butyrate (constant),0.64,0.58,0.81,0.27,0.49,0.81,0.58,0.64,0.78,0.64,0.74
PK_cas AUC25 butyrate (terminal),0.61,0.88,0.84,0.49,0.52,0.91,0.61,0.74,0.95,0.95,0.71
PK_cas AUC25 cholesterol (constant),0.2,0.27,0.84,0.75,0.46,0.88,0.07,0.46,0.46,0.93,0.93
PK_cas AUC25 cholesterol (terminal),0.64,0.21,0.58,0.74,0.88,1,0.44,0.58,0.31,0.25,0.29
PK_cas AUC25 dormancy (constant),0,1,0.71,0.74,0.13,0.31,1,0.39,0.16,0.46,0.55
PK_cas AUC25 dormancy (terminal),0.34,0.78,0.84,0.74,0.88,0.18,0.74,0.68,0.49,0.52,0.58
PK_cas GRinf butyrate (constant),0.71,0.91,0.64,0.95,0.68,0.41,0.44,0.78,0.11,0.03,0.16
PK_cas GRinf butyrate (terminal),0.78,1,0.68,0.95,0.61,0.29,0.36,0.81,0.09,0.04,0.13
PK_cas GRinf cholesterol (constant),0.98,0.76,0.21,0.4,0.49,0.62,0.3,0.67,0.4,0.01,0.76
PK_cas GRinf cholesterol (terminal),0.71,0.55,0.2,0.57,0.33,0.68,0.2,0.65,0.42,0.01,0.45
PK_cas GRinf dormancy (constant),0.44,0.46,0.19,0.39,0.34,0.68,0.74,1,0.44,0.84,0.13
PK_cas GRinf dormancy (terminal),0.19,0.44,0.31,0.49,1,0.52,0.64,0.21,0.61,0.78,0.49
PK_cell AUC25 butyrate (constant),0.71,0.88,0.31,0.58,0.78,0.31,0.55,0.81,0.61,0.91,0.12
PK_cell AUC25 butyrate (terminal),0.68,0.84,0.39,0.55,0.71,0.52,0.34,1,0.52,0.55,0.16
PK_cell AUC25 cholesterol (constant),0.79,0.43,0.03,0.88,0.27,0.2,0.58,0.06,0.54,0.36,0.08
PK_cell AUC25 cholesterol (terminal),0.81,0.09,1,0.21,0.44,0.1,0.03,0.58,0.44,0.52,0.29
PK_cell AUC25 dormancy (constant),0.39,1,1,0.15,0.91,0.88,0.44,0.81,0.74,0.44,0.41
PK_cell AUC25 dormancy (terminal),0.36,0.71,0.58,0.25,0.88,0.68,0.31,0.34,0.55,0.1,0.84
PK_cell GRinf butyrate (constant),0.78,1,0.68,0.95,0.61,0.29,0.36,0.81,0.09,0.04,0.13
PK_cell GRinf butyrate (terminal),0.61,0.78,0.61,0.91,0.68,0.41,0.52,0.68,0.1,0.05,0.18
PK_cell GRinf cholesterol (constant),0.74,0.14,0.04,0.89,0.18,0.89,0.06,0.09,0.98,0.03,0.38
PK_cell GRinf cholesterol (terminal),0.49,0.88,0.91,0.11,0.41,0.55,0.74,0.84,0.52,0.27,1
PK_cell GRinf dormancy (constant),0.74,0.58,0.41,0.46,0.19,0.29,0.27,0.81,0.05,0.08,0.81
PK_cell GRinf dormancy (terminal),0.06,0.36,0.71,0.52,0.71,0.58,0.74,0.52,0.55,0.13,0.88
5N casPK AUC50 ,0.51,0.72,0.45,0.52,0.58,0.78,0.32,0.72,0.33,0.03,0.27
7H casPK AUC50 ,0.54,0.86,0.15,0.98,0.93,0.46,0.99,0.57,0.59,0.93,0.31
7N casPK AUC50 ,0.86,0.22,0.59,0.85,0.54,0.11,0.03,0.45,0.25,0.11,0.38
5N casPK FBC50 ,0.2,0.51,0.57,0.71,0.14,0.43,0.48,0.71,0.2,0.05,0.59
7H casPK FBC50 ,0.05,0.15,0.07,0.92,0.98,0.32,0.2,0.66,0.98,0.92,0.53
7N casPK FBC50 ,0.47,0.25,0.23,0.78,0.38,0.23,0.05,0.79,0.11,0.01,0.89
5N casPK FBC90 ,0.23,0.47,0.74,0.63,0.11,0.36,0.52,0.59,0.18,0.05,0.93
7H casPK FBC90 ,0.16,0.27,0.49,0.3,0.81,0.4,0.62,0.85,0.99,0.58,0.5
7N casPK FBC90 ,0.43,0.53,0.64,0.2,0.83,0.46,0.99,0.89,0.86,0.09,0.7
5N cellPK AUC50 ,0.06,0.26,0.79,0.09,0.64,0.49,0.72,0.31,0.95,0.22,0.49
7H cellPK AUC50 ,0.14,0.41,0.79,0.93,0.48,0.98,0.16,0.85,0.46,0.49,0.68
7N cellPK AUC50 ,0.78,0.57,0.54,0.06,0.4,0.88,0.55,0.37,0.75,0.54,0.15
5N cellPK FBC50 ,0.28,0.95,0.95,0.49,0.32,0.98,0.82,0.91,0.51,0.41,0.66
7H cellPK FBC50 ,0.27,0.85,0.81,0.18,0.23,0.66,0.36,0.86,0.78,0.82,0.85
7N cellPK FBC50 ,0.07,0.32,0.53,0.95,0.67,0.86,0.32,0.41,0.25,0.45,0.78
