feature,CFU,radiodensity (HU),stdev radiodensity (HU),soft volume (mL),hard volume (mL),PET activity (SUV),Æ radiodensity (HU),Æ stdev radiodensity (HU),Æ soft volume (mL),Æ hard volume (mL),Æ PET activity (SUV)
acidicAUC25C,0.13,-0.18,-0.3,0.28,0.22,0.38,-0.3,0.05,0.68,0.15,0.78
acidicAUC25T,0.1,0.65,0.5,0.45,0.67,0.75,0.5,0.53,0.57,0.27,-0.12
butyrateAUC25C,-0.34,-0.13,-0.37,0.24,0.09,0.32,-0.06,-0.07,0.29,-0.22,0.5
butyrateAUC25T,-0.42,-0.03,-0.34,0.17,0.22,0.26,0.06,0.18,0.3,0.09,0.47
cholesterolAUC25C,0.18,-0.12,-0.2,0.14,0.05,0.16,-0.31,-0.03,0.03,-0.28,0.09
cholesterolAUC25T,0.3,0.06,-0.2,0.19,0.11,0.2,-0.08,0.27,0.06,-0.15,0.3
dormancyAUC25C,0.08,0.16,0.3,-0.26,-0.22,-0.05,0.43,-0.25,-0.13,0.52,-0.19
dormancyAUC25T,0.03,-0.7,-0.52,-0.55,-0.76,-0.5,-0.54,-0.76,-0.3,-0.25,0.15
standardAUC25CT,-0.52,0.2,-0.04,0.25,0.38,0.03,0.03,0.36,0.02,-0.22,-0.18
valerateAUC25C,-0.1,-0.32,-0.18,-0.25,-0.22,-0.2,-0.47,-0.15,-0.13,-0.43,-0.02
valerateAUC25T,0.25,-0.01,0.3,-0.49,-0.26,-0.02,0.08,-0.14,-0.12,0.13,-0.22
acidicFIC50C,0.25,-0.42,-0.2,-0.62,-0.48,-0.32,-0.37,-0.32,-0.25,-0.18,-0.1
acidicFIC50T,0.38,-0.5,-0.42,-0.33,-0.32,-0.33,-0.63,-0.13,-0.17,-0.35,0.2
butyrateFIC50C,-0.08,0.14,0.3,-0.4,-0.2,-0.01,0.34,-0.14,-0.27,0.1,-0.48
butyrateFIC50T,-0.14,0.35,0.26,-0.11,0.01,-0.13,0.32,0.17,-0.34,-0.08,-0.6
cholesterolFIC50C,-0.58,0.29,0.25,0.34,0.61,0.11,0.34,0.55,0.47,0.54,-0.22
cholesterolFIC50T,-0.77,0.14,0.08,0.38,0.59,0.21,0.2,0.36,0.55,0.46,-0.02
dormancyFIC50C,0.6,-0.19,-0.31,0.19,0.12,0,-0.19,0.52,0.14,0.21,0.48
dormancyFIC50T,0.38,-0.21,-0.07,-0.45,-0.26,0.26,0.19,0,0.55,0.67,0.48
standardFIC50CT,0.24,-0.12,0.02,-0.27,-0.03,0.53,0.02,-0.1,0.36,0.02,0.26
valerateFIC50C,-0.52,0.05,-0.07,0.35,0.18,0.13,-0.08,-0.32,0.08,-0.17,-0.27
valerateFIC50T,-0.13,0.22,0.36,-0.14,-0.09,-0.08,0.27,-0.22,-0.43,0.03,-0.56
acidicFIC90T,0.13,-0.47,-0.5,-0.33,-0.32,-0.23,-0.53,-0.22,-0.35,-0.42,0
butyrateFIC90C,-0.7,0.6,0.6,0.8,1,0.6,0.1,0.1,-0.1,-0.8,-0.5
butyrateFIC90T,-0.21,0.29,0.02,0.38,0.45,-0.05,-0.05,0.29,-0.38,-0.21,-0.43
cholesterolFIC90C,-0.31,-0.28,-0.2,-0.03,-0.07,-0.41,-0.49,-0.08,-0.24,-0.38,-0.44
cholesterolFIC90T,0,-0.2,-0.36,0.15,-0.09,-0.27,-0.36,0.15,-0.17,-0.54,0.02
dormancyFIC90C,0.79,-0.07,0.07,-0.21,-0.21,0.18,0.11,0.25,0.29,0.36,0.54
dormancyFIC90T,0.24,-0.07,0.12,-0.55,-0.29,0.62,0.48,-0.33,0.64,0.55,0.38
standardFIC90CT,0.4,-0.4,-0.8,-0.8,-0.4,0.8,0.4,-0.8,1,0.8,0.8
valerateFIC90C,-0.26,0.89,0.77,0.77,0.77,0.43,0.83,0.66,-0.03,-0.49,-0.77
valerateFIC90T,-0.14,0.5,0.25,-0.07,0.21,0.14,0.75,0.21,-0.18,0.14,-0.54
acidicGRinfC,-0.32,0.05,0.12,-0.47,-0.18,0.37,0.5,-0.27,0.28,0.7,0.03
acidicGRinfT,-0.28,-0.5,-0.42,-0.82,-0.67,-0.2,-0.05,-0.58,-0.3,0.17,0.07
butyrateGRinfC,0.51,0.29,0.09,-0.02,0.06,0.2,0.45,0.29,0.04,0.29,0.28
butyrateGRinfT,0.4,0.41,0.32,0.2,0.28,0.31,0.48,0.29,0.23,0.42,0.19
cholesterolGRinfC,0.27,0.2,-0.32,0.3,-0.08,0.01,0.16,0.05,-0.2,-0.34,0.55
cholesterolGRinfT,0.34,0.17,-0.26,0.43,0.02,0.05,0.15,0.14,-0.02,-0.22,0.59
dormancyGRinfC,0.16,0.2,0.26,0.02,-0.18,-0.2,0.31,-0.04,-0.05,0.03,-0.05
dormancyGRinfT,0.45,0.28,0.22,0.31,0.08,-0.22,0.24,0.31,-0.37,0.1,-0.15
standardGRinfCT,0.31,0.52,0.5,-0.02,0.15,0.28,0.83,0.31,0.22,0.83,0.07
valerateGRinfC,0.32,0.47,0.43,0.03,0.3,0.22,0.7,0.52,0.22,0.9,0.1
valerateGRinfT,0.47,0.6,0.62,0.1,0.09,0.27,0.84,0.25,0.05,0.37,-0.1
PKcasbutyrateAUC25C,-0.18,0.22,-0.1,0.42,0.27,0.1,0.22,0.18,-0.12,-0.18,0.13
PKcasbutyrateAUC25T,-0.2,0.07,-0.08,0.27,0.25,0.05,0.2,0.13,0.03,0.03,0.15
PKcascholesterolAUC25C,0.52,0.45,0.1,-0.14,-0.31,-0.07,0.69,0.31,-0.31,0.05,-0.05
PKcascholesterolAUC25T,0.18,0.47,0.22,0.13,-0.07,0,0.3,0.22,-0.38,-0.43,-0.4
PKcasdormancyAUC25C,0.87,0,-0.15,-0.13,-0.55,-0.38,0,0.33,-0.52,-0.28,0.23
PKcasdormancyAUC25T,-0.37,-0.12,-0.08,-0.13,0.07,-0.5,0.13,0.17,-0.27,0.25,-0.22
PKcasbutyrateGRinfC,-0.15,-0.05,-0.18,-0.03,0.17,0.32,0.3,-0.12,0.58,0.75,0.52
PKcasbutyrateGRinfT,-0.12,0,-0.17,0.03,0.2,0.4,0.35,-0.1,0.62,0.7,0.55
PKcascholesterolGRinfC,-0.03,-0.14,-0.52,0.35,-0.3,-0.22,-0.44,-0.19,-0.35,-0.87,0.14
PKcascholesterolGRinfT,0.15,-0.24,-0.47,0.22,-0.37,-0.16,-0.47,-0.18,-0.31,-0.84,0.29
PKcasdormancyGRinfC,-0.3,0.28,0.48,0.33,0.37,0.17,0.13,0,0.3,-0.08,-0.55
PKcasdormancyGRinfT,0.48,0.3,0.38,0.27,0,-0.25,0.18,0.47,-0.2,-0.12,-0.27
PKcellbutyrateAUC25C,-0.15,0.07,-0.38,0.22,0.12,0.38,0.23,-0.1,0.2,0.05,0.57
PKcellbutyrateAUC25T,-0.17,0.08,-0.33,0.23,0.15,0.25,0.37,0,0.25,0.23,0.52
PKcellcholesterolAUC25C,-0.12,-0.33,-0.79,-0.07,-0.45,0.52,-0.24,-0.71,0.26,-0.38,0.67
PKcellcholesterolAUC25T,0.1,0.62,0,0.47,0.3,0.6,0.75,0.22,0.3,0.25,0.4
PKcelldormancyAUC25C,-0.33,0,0,-0.53,-0.05,-0.07,0.3,-0.1,-0.13,0.3,-0.32
PKcelldormancyAUC25T,0.35,0.15,0.22,-0.43,-0.07,-0.17,0.38,0.37,-0.23,0.6,-0.08
PKcellbutyrateGRinfC,-0.12,0,-0.17,0.03,0.2,0.4,0.35,-0.1,0.62,0.7,0.55
PKcellbutyrateGRinfT,-0.2,-0.12,-0.2,-0.05,0.17,0.32,0.25,-0.17,0.6,0.68,0.5
PKcellcholesterolGRinfC,-0.15,-0.59,-0.76,-0.07,-0.54,0.07,-0.71,-0.66,-0.02,-0.78,0.37
PKcellcholesterolGRinfT,-0.27,0.07,0.05,0.58,0.32,0.23,-0.13,-0.08,0.25,-0.42,0
PKcelldormancyGRinfC,0.13,-0.22,-0.32,-0.28,-0.48,-0.4,-0.42,-0.1,-0.68,-0.63,-0.1
PKcelldormancyGRinfT,-0.67,-0.35,-0.15,-0.25,0.15,-0.22,-0.13,-0.25,0.23,0.55,-0.07
  5NPKcasAUC50 ,-0.2,0.11,0.23,-0.2,0.17,0.09,0.3,0.11,0.29,0.6,-0.33
 7HPKcasAUC50 ,-0.19,-0.05,-0.43,0.01,0.03,-0.23,0.01,0.18,-0.16,0.03,0.31
 7NPKcasAUC50 ,0.05,0.37,0.16,0.06,0.19,0.46,0.62,0.23,0.35,0.47,0.26
  5NPKcasFBC50 ,0.38,-0.2,-0.18,-0.12,-0.43,-0.24,-0.21,-0.12,-0.38,-0.57,0.16
 7HPKcasFBC50 ,0.57,0.42,0.53,0.03,0.01,0.3,0.38,0.14,-0.01,0.03,-0.19
 7NPKcasFBC50 ,0.22,-0.35,-0.36,0.09,-0.26,-0.36,-0.56,-0.08,-0.47,-0.74,0.04
  5NPKcasFBC90 ,0.36,-0.22,-0.1,-0.15,-0.47,-0.27,-0.2,-0.16,-0.4,-0.56,0.03
 7HPKcasFBC90 ,0.42,0.33,0.21,0.31,0.07,0.26,0.15,0.06,-0.01,-0.17,0.2
 7NPKcasFBC90 ,0.24,0.19,0.14,0.38,0.07,0.23,-0.01,-0.04,-0.05,-0.49,-0.12
  5N PKcellAUC50 ,-0.54,-0.34,-0.08,-0.49,-0.14,-0.21,-0.11,-0.31,0.02,0.36,-0.21
 7HPKcellAUC50 ,-0.43,-0.25,0.08,0.03,0.21,-0.01,-0.42,0.06,0.23,0.21,-0.13
 7NPkcellAUC50 ,-0.09,-0.18,0.19,-0.55,-0.25,0.05,0.18,-0.27,0.1,0.19,-0.42
  5N PKcellFBC50 ,0.32,0.02,0.02,-0.21,-0.3,-0.01,0.07,0.04,-0.2,-0.25,0.14
 7HPKcellFBC50 ,0.33,0.06,0.08,-0.4,-0.36,0.14,0.27,-0.05,-0.09,-0.07,0.06
 7N cellPK FBC50 ,0.07,0.32,0.53,0.95,0.67,0.86,0.32,0.41,0.25,0.45,0.78
  5N PKcellFBC90 ,-0.1,-0.06,-0.05,-0.4,-0.21,0.24,0.18,-0.15,0.18,0.2,0.31
 7HPKcellFBC90 ,0.38,0.39,0.31,0.06,0.12,0.59,0.4,0.08,0.32,0.28,0.3
 7NPKcellFBC90 ,0.4,0.58,0.59,0.21,0.16,0.54,0.58,0.23,0.19,0.01,-0.18
  5NPKequipAUC50 ,-0.15,0.07,-0.1,0,0.18,0.34,0.23,0.31,0.42,0.41,0.33
 7HPKequipAUC50 ,-0.06,-0.18,-0.45,0.31,0.16,0.15,-0.47,-0.19,0.15,-0.19,0.47
 7NPKequipAUC50 ,0.18,0.41,0.42,0.29,0.39,0.08,0.26,0.35,0.02,0.27,-0.29
  5NPKequipFBC50 ,0.11,-0.2,-0.05,-0.36,-0.47,-0.64,-0.21,-0.2,-0.74,-0.5,-0.48
 7HPKequipFBC50 ,0.38,0.04,-0.07,-0.25,-0.37,-0.41,0.26,-0.12,-0.45,-0.17,-0.24
7NPKequipFBC50 ,0.34,0.32,0.28,0.07,-0.05,0.49,0.46,-0.06,0.28,-0.01,0.12
5NPKequipFBC90 ,0.74,-0.01,-0.1,-0.2,-0.37,-0.19,0.11,-0.04,-0.35,-0.2,0.07
 7HPKequipFBC90 ,0.44,0.06,-0.2,-0.09,-0.25,-0.1,0.15,-0.17,-0.21,-0.13,0.18
 7NPKequipFBC90 ,-0.02,0.01,-0.02,-0.18,-0.25,0.41,0.25,-0.26,0.27,-0.17,0.17
