feature,CFU,radiodensity (HU),stdev radiodensity (HU),soft volume (mL),hard volume (mL),PET activity (SUV),∆ radiodensity (HU),∆ stdev radiodensity (HU),∆ soft volume (mL),∆ hard volume (mL),∆ PET activity (SUV)
AUC25 acidic (constant),0.88,0.21,0.68,0.21,0.41,0.19,0.23,0.71,0.44,0.27,0.06
AUC25 acidic (terminal),0.91,0.34,0.71,0.71,0.61,0.52,0.12,0.58,0.41,0.1,0.29
AUC25 butyrate (constant),0.4,0.34,0.05,0.08,0.19,0.83,0.6,0.16,0.87,0.53,0.09
AUC25 butyrate (terminal),0.13,0.12,0.06,0.5,0.28,0.97,0.33,0.39,0.89,0.33,0.22
AUC25 cholesterol (constant),0.44,0.39,0.23,0.18,0.8,0.5,0.68,0.26,0.34,0.62,0.16
AUC25 cholesterol (terminal),0.53,0.77,0.15,0.37,0.8,0.59,0.92,0.59,0.8,0.43,0.32
AUC25 dormancy (constant),0.65,0.96,0.07,0.1,0.83,0.68,0.93,0.17,0.23,0.73,0.29
AUC25 dormancy (terminal),0.47,0.37,0.99,0.43,0.83,0.56,0.16,0.85,0.75,0.2,0.14
AUC25 standard  (constant)-terminal),0.06,0.65,0.16,0.8,0.8,0.21,0.88,0.7,0.47,0.68,0.91
AUC25 valerate (constant),0.52,0.36,0.71,0.39,0.84,0.81,0.09,0.88,0.84,0.1,0.44
AUC25 valerate (terminal),0.93,0.19,0.15,0.68,0.49,0.43,0.09,0.51,0.65,0.4,0.28
FIC50 acidic (constant),0.64,0.12,0.84,0.68,0.95,0.46,0.06,0.58,0.88,0.34,0.04
FIC50 acidic (terminal),0.46,0.25,0.39,0.29,0.64,0.58,0.27,0.31,0.61,0.44,0.46
FIC50 butyrate (constant),1,0.37,0.6,0.34,0.89,0.94,0.7,0.33,0.56,0.57,0.6
FIC50 butyrate (terminal),0.85,0.39,0.85,0.23,0.57,0.27,0.83,0.21,0.31,0.67,0.54
FIC50 cholesterol (constant),0.02,0,0.97,0.08,0.72,0.57,0,0.97,0.6,0.57,0.82
FIC50 cholesterol (terminal),0,0,0.77,0.34,0.35,0.46,0.01,0.8,0.67,0.54,0.32
FIC50 dormancy (constant),0.33,0.62,0.75,0.66,0.58,0.54,0.13,0.43,0.62,0.15,0.27
