feature,CFU,radiodensity (HU),stdev radiodensity (HU),soft volume (mL),hard volume (mL),PET activity (SUV),Æ radiodensity (HU),Æ stdev radiodensity (HU),Æ soft volume (mL),Æ hard volume (mL),Æ PET activity (SUV)
acidicAUC25C,0.07,0.47,-0.17,0.47,0.32,0.48,0.45,-0.15,0.3,0.42,0.67
acidicAUC25T,0.05,0.37,-0.15,-0.15,0.2,0.25,0.57,-0.22,0.32,0.6,0.4
butyrateAUC25C,-0.27,0.3,-0.59,0.53,0.41,0.07,0.17,-0.43,-0.06,0.2,0.51
butyrateAUC25T,-0.47,0.48,-0.56,0.22,0.34,0.01,0.31,-0.27,0.05,0.31,0.38
cholesterolAUC25C,0.24,-0.27,-0.38,0.42,-0.08,-0.22,-0.13,-0.36,-0.3,0.16,0.43
cholesterolAUC25T,0.2,-0.1,-0.44,0.29,-0.08,-0.17,-0.03,-0.17,-0.08,0.25,0.31
dormancyAUC25C,0.16,-0.02,0.59,-0.55,0.08,0.15,-0.03,0.47,0.42,0.13,-0.37
dormancyAUC25T,0.26,-0.32,-0.01,0.28,0.08,-0.21,-0.48,-0.07,0.12,-0.44,-0.5
standardAUC25CT,-0.61,0.16,-0.48,0.09,-0.09,-0.43,0.05,-0.14,-0.26,-0.15,0.04
valerateAUC25C,-0.25,-0.35,-0.15,0.33,0.08,-0.1,-0.62,-0.07,-0.08,-0.6,-0.3
valerateAUC25T,0.03,-0.45,0.49,-0.15,0.25,0.28,-0.56,0.24,0.16,-0.3,-0.38
acidicFIC50C,0.18,-0.57,-0.08,0.17,0.03,-0.28,-0.67,-0.22,0.07,-0.37,-0.7
acidicFIC50T,0.28,-0.43,-0.33,0.4,-0.18,-0.22,-0.42,-0.38,-0.2,-0.3,-0.28
butyrateFIC50C,0,-0.29,0.17,-0.3,0.05,-0.03,-0.13,-0.31,-0.19,0.18,-0.17
butyrateFIC50T,-0.06,-0.29,-0.06,-0.39,-0.19,-0.36,-0.07,-0.41,-0.34,0.15,-0.21
cholesterolFIC50C,-0.67,0.79,-0.01,-0.53,0.12,0.18,0.78,0.01,0.17,0.18,0.08
cholesterolFIC50T,-0.79,0.84,-0.1,-0.3,0.29,0.24,0.74,-0.08,0.14,0.2,0.31
dormancyFIC50C,0.4,0.21,-0.14,0.19,-0.24,0.26,0.6,-0.33,-0.21,0.57,0.45
dormancyFIC50T,0.24,0.29,0.14,0,0.45,0.67,0.14,0.02,0.71,0.29,-0.21
standardFIC50CT,0.16,-0.15,-0.16,0.42,0.5,0.42,-0.05,-0.56,-0.02,0.44,0.42
valerateFIC50C,-0.18,0.15,-0.18,0.17,0.07,-0.32,0.07,-0.13,-0.03,0,0.27
valerateFIC50T,0.01,-0.38,0.37,-0.35,-0.12,-0.1,-0.28,0.18,-0.26,-0.08,-0.08
acidicFIC90T,0.32,-0.43,-0.65,0.48,-0.28,-0.5,-0.28,-0.83,-0.48,0.02,-0.07
butyrateFIC90C,-0.7,-0.3,-0.3,0.5,-0.1,-0.4,-0.3,-0.3,-0.5,-0.2,0.6
butyrateFIC90T,-0.21,-0.21,-0.24,-0.05,-0.48,-0.69,0.12,-0.33,-0.69,0.24,0.4
cholesterolFIC90C,-0.22,-0.29,-0.35,0.2,-0.26,-0.56,-0.34,-0.15,-0.45,-0.45,-0.21
cholesterolFIC90T,-0.01,-0.18,-0.66,0.42,-0.24,-0.42,-0.17,-0.29,-0.43,-0.24,-0.01
dormancyFIC90C,0.64,-0.04,0.36,0.11,0.18,0.86,0.25,-0.14,0.14,0.5,0.14
dormancyFIC90T,0.24,0.21,0.02,0.17,0.79,0.71,0.07,-0.24,0.76,0.45,-0.12
standardFIC90CT,0.4,0.4,-0.4,0.6,1,0.4,0.6,-0.8,0.4,1,0.6
valerateFIC90C,-0.2,0.14,-0.49,-0.14,-0.2,-0.54,0.37,-0.03,-0.14,-0.03,0.03
valerateFIC90T,-0.04,-0.07,-0.36,-0.36,-0.29,-0.68,0.29,-0.18,-0.18,0.29,-0.14
acidicGRinfC,-0.32,0.2,0.32,-0.27,0.63,0.17,-0.02,0.22,0.67,0.43,-0.23
acidicGRinfT,-0.15,-0.25,-0.08,0.1,0.25,-0.28,-0.42,-0.18,0.03,0.05,-0.45
butyrateGRinfC,0.36,0.24,0.01,-0.24,-0.03,0.26,0.36,0.17,0.13,0.38,0.03
butyrateGRinfT,0.26,0.4,0.38,-0.37,0.03,0.5,0.46,0.43,0.28,0.27,0.15
cholesterolGRinfC,0.3,0.08,-0.41,0.27,-0.18,-0.3,-0.02,0.17,0.15,0.04,-0.09
cholesterolGRinfT,0.38,0.26,-0.31,0.2,-0.21,-0.05,0.32,0.06,0.12,0.17,0.11
dormancyGRinfC,0.15,0.15,0.39,-0.31,0.05,0.27,0.01,0.59,0.44,-0.39,-0.56
dormancyGRinfT,0.49,-0.02,0.27,-0.47,-0.62,0.08,0.37,0.27,-0.35,0.18,0.15
standardGRinfCT,0.15,0.37,0.54,-0.71,0.13,0.5,0.47,0.52,0.56,0.55,-0.13
valerateGRinfC,0.1,0.4,0.58,-0.73,-0.03,0.38,0.57,0.45,0.42,0.67,0
valerateGRinfT,0.43,0.18,0.43,-0.53,0.05,0.58,0.42,0.33,0.24,0.38,-0.04
PKcasbutyrateAUC25C,-0.28,0.32,-0.42,0.18,-0.1,0.1,0.33,-0.07,-0.37,-0.02,0.47
PKcasbutyrateAUC25T,-0.3,0.53,-0.3,0.07,-0.02,0.3,0.55,0,-0.37,0,0.4
PKcascholesterolAUC25C,0.62,-0.26,-0.21,-0.36,-0.33,-0.64,-0.14,-0.26,0.14,0.57,-0.52
PKcascholesterolAUC25T,0.38,-0.58,-0.25,-0.03,-0.35,-0.77,-0.47,-0.35,-0.03,0.1,-0.28
PKcasdormancyAUC25C,0.87,-0.53,0.02,-0.03,-0.53,-0.23,-0.28,-0.03,-0.05,0.13,-0.37
PKcasdormancyAUC25T,-0.5,0.52,-0.13,-0.4,-0.27,-0.08,0.35,0.38,-0.22,-0.25,-0.4
PKcasbutyrateGRinfC,-0.18,0.82,0.15,-0.2,0.45,0.38,0.68,0.22,0.7,0.53,0.07
PKcasbutyrateGRinfT,-0.13,0.83,0.08,-0.13,0.47,0.43,0.75,0.12,0.62,0.58,0.2
PKcascholesterolGRinfC,0.11,-0.44,-0.55,0.65,-0.19,-0.25,-0.44,-0.33,-0.3,-0.41,0.11
PKcascholesterolGRinfT,0.18,-0.44,-0.46,0.75,-0.11,-0.11,-0.44,-0.31,-0.31,-0.35,0.16
PKcasdormancyGRinfC,0,0.08,0.13,-0.08,0.05,-0.13,0.1,-0.17,0.02,-0.13,-0.1
PKcasdormancyGRinfT,0.63,-0.18,0.3,-0.3,-0.52,-0.13,0.05,0.1,-0.05,-0.03,-0.35
PKcellbutyrateAUC25C,-0.23,0.45,-0.47,0.33,0.3,0.2,0.4,-0.2,0.08,0.37,0.55
PKcellbutyrateAUC25T,-0.2,0.72,-0.38,0.12,0.22,0.2,0.65,-0.07,0.2,0.4,0.3
PKcellcholesterolAUC25C,0.05,-0.17,-0.69,0.79,0.64,-0.14,-0.29,-0.71,0.43,0.36,0.31
PKcellcholesterolAUC25T,0.22,0.4,-0.23,-0.03,0.15,-0.15,0.47,-0.22,0.6,0.8,0.28
PKcelldormancyAUC25C,-0.37,0.08,-0.27,-0.35,0.07,-0.42,-0.03,-0.1,-0.05,0.17,-0.32
PKcelldormancyAUC25T,0.17,-0.02,0.33,-0.72,-0.27,-0.1,0.08,0.35,0.15,0.35,-0.33
PKcellbutyrateGRinfC,-0.13,0.83,0.08,-0.13,0.47,0.43,0.75,0.12,0.62,0.58,0.2
PKcellbutyrateGRinfT,-0.23,0.85,0.07,-0.12,0.48,0.47,0.73,0.13,0.52,0.47,0.17
PKcellcholesterolGRinfC,0.02,-0.41,-0.66,0.95,0.32,0.02,-0.46,-0.63,-0.24,-0.27,0.34
PKcellcholesterolGRinfT,-0.15,0.22,-0.22,0.48,0.13,0.32,0.25,-0.25,-0.37,-0.27,0.55
PKcelldormancyGRinfC,0.03,-0.82,-0.32,0.3,-0.3,-0.52,-0.87,-0.12,-0.33,-0.38,-0.23
PKcelldormancyGRinfT,-0.78,0.65,0.17,-0.3,0.27,0.15,0.28,0.5,0.32,-0.22,-0.33
  5NPKcasAUC50 ,-0.29,0.52,0.21,-0.41,0.3,0.18,0.53,0.12,0.36,0.42,-0.2
 7HPKcasAUC50 ,-0.17,0.16,-0.59,-0.05,-0.3,-0.42,0.09,-0.03,-0.32,0.02,-0.03
