Drug,NumbDrugs,AUC25_butyrate_Constant,AUC25_butyrate_Termil,AUC25_valerate_Constant,AUC25_valerate_Termil,AUC25_cholesterol_Constant,AUC25_cholesterol_Termil,AUC25_acidic_Constant,AUC25_acidic_Termil,AUC25_standard_ConstantTermil,AUC25_dormancy_Constant,AUC25_dormancy_Termil,GRinf_butyrate_Constant,GRinf_butyrate_Termil,GRinf_valerate_Constant,GRinf_valerate_Termil,GRinf_cholesterol_Constant,GRinf_cholesterol_Termil,GRinf_acidic_Constant,GRinf_acidic_Termil,GRinf_standard_ConstantTermil,GRinf_dormancy_Constant,GRinf_dormancy_Termil,LoeweFIC50_butyrate_Constant,LoeweFIC50_butyrate_Termil,LoeweFIC50_valerate_Constant,LoeweFIC50_valerate_Termil,LoeweFIC50_cholesterol_Constant,LoeweFIC50_cholesterol_Termil,LoeweFIC50_acidic_Constant,LoeweFIC50_acidic_Termil,LoeweFIC50_standard_ConstantTermil,LoeweFIC50_dormancy_Constant,LoeweFIC50_dormancy_Termil,LoeweFIC90_butyrate_Constant,LoeweFIC90_butyrate_Termil,LoeweFIC90_valerate_Constant,LoeweFIC90_valerate_Termil,LoeweFIC90_cholesterol_Constant,LoeweFIC90_cholesterol_Termil,LoeweFIC90_acidic_Constant,LoeweFIC90_acidic_Termil,LoeweFIC90_standard_ConstantTermil,LoeweFIC90_dormancy_Constant,LoeweFIC90_dormancy_Termil,casAUC25_butyrateSimplePK_Constant,casAUC25_butyrateSimplePK_Termil,casAUC25_cholesterolSimplePK_Constant,casAUC25_cholesterolSimplePK_Termil,casAUC25_dormancySimplePK_Constant,casAUC25_dormancySimplePK_Termil,casGRinf_butyrateSimplePK_Constant,casGRinf_butyrateSimplePK_Termil,casGRinf_cholesterolSimplePK_Constant,casGRinf_cholesterolSimplePK_Termil,casGRinf_dormancySimplePK_Constant,casGRinf_dormancySimplePK_Termil,cellAUC25_butyrateSimplePK_Constant,cellAUC25_butyrateSimplePK_Termil,cellAUC25_cholesterolSimplePK_Constant,cellAUC25_cholesterolSimplePK_Termil,cellAUC25_dormancySimplePK_Constant,cellAUC25_dormancySimplePK_Termil,cellGRinf_butyrateSimplePK_Constant,cellGRinf_butyrateSimplePK_Termil,cellGRinf_cholesterolSimplePK_Constant,cellGRinf_cholesterolSimplePK_Termil,cellGRinf_dormancySimplePK_Constant,cellGRinf_dormancySimplePK_Termil,AcidicNequip_Einf,AcidicNequip_AUC50,AcidicNequip_FBC50,AcidicNequip_FBC90,NeutralHequip_Einf,NeutralHequip_AUC50,NeutralHequip_FBC50,NeutralHequip_FBC90,NeutralNequip_Einf,NeutralNequip_AUC50,NeutralNequip_FBC50,NeutralNequip_FBC90,AcidicNcasPK_Einf,AcidicNcasPK_AUC50,AcidicNcasPK_FBC50,AcidicNcasPK_FBC90,NeutralHcasPK_Einf,NeutralHcasPK_AUC50,NeutralHcasPK_FBC50,NeutralHcasPK_FBC90,NeutralNcasPK_Einf,NeutralNcasPK_AUC50,NeutralNcasPK_FBC50,NeutralNcasPK_FBC90,AcidicNcellPK_Einf,AcidicNcellPK_AUC50,AcidicNcellPK_FBC50,AcidicNcellPK_FBC90,NeutralHcellPK_Einf,NeutralHcellPK_AUC50,NeutralHcellPK_FBC50,NeutralHcellPK_FBC90,NeutralNcellPK_Einf,NeutralNcellPK_AUC50,NeutralNcellPK_FBC50,NeutralNcellPK_FBC90
BDQ+DEL,2,0.066738245,0.054897507,0.129540288,0.103106057,0.047607266,0.077539015,0.116972635,0.075398735,0.062446104,0.064241929,0.096081323,-0.024765653,-0.025646494,-0.102944355,-0.139567566,-0.867823017,-0.719430601,-0.349288873,-0.267151859,0.037952754,0.336276107,0.226721692,-0.189892589,-0.391838993,0.113831583,-0.12889138,0.193836888,-0.117843217,0.629486401,0.522360516,-0.047331117,0.324835689,0.939171867,-1.178440151,-0.888690772,-0.319322694,0.074107138,0.088213263,0.477301199,,-0.043878673,-0.313991862,0.336870825,-0.061218301,0.0384097,0.026120058,,0.028008047,0.121114471,0.02996368,-0.064198707,-0.069739397,,-0.936064123,-0.026162858,0.05918336,0.073997712,0.05208999,,0.026018368,0.072378709,0.042489381,-0.12866464,-0.114859987,,-1,0.055436756,0.083823009,0.99894653,0.11447463,-0.06542945,0.244341006,0.993185276,0.10888519,-0.583278238,-0.129190935,0.999999189,0.062011864,-0.392537739,-0.805366727,0.997028648,0.092845489,0.345736366,-0.03117601,0.999998643,0.062280254,-0.554563211,-0.230781627,0.999404104,0.06192135,0.07732708,-1.118329222,0.998587248,0.106440583,-0.284940719,-0.674125874,0.994633257,0.089510204,-1.013238678,-1.021436971,0.99861594,0.06195261,-0.84893296,-1.397943855
BDQ+LIN,2,0.047103193,0.046819394,0.093142547,0.057815086,0.110734367,0.118155867,0.10343594,0.095277661,0.0706432,0.044370962,0.026550318,-0.012032825,-0.011972153,-0.024144959,-0.030614166,-0.999999997,-0.886909373,-0.485343292,-0.291648649,0.071249953,0.005339908,0.527468367,0.690060489,0.83166491,0.162871207,0.408500362,0.392806727,-0.30288019,0.42014505,0.392008204,0.211909261,0.439176172,0.199895726,0.505437244,0.978963754,0.739791145,0.572034541,0.745563565,0.731729563,,0.561233029,,0.133829662,-0.583627402,0.086047973,0.052984104,0.092311049,0.082699024,0.115102616,0.036504946,-0.158353823,-0.15608316,-1,-1,0.041564462,0.152200142,0.069831162,0.05183733,0.026137739,0.026292718,0.096816884,0.066050909,-0.164629778,-0.147966773,-1,-0.999999958,0.038360952,-0.007325865,0.974384721,0.081479339,1.682491697,0.31049405,0.95959375,0.068938181,-0.11488982,-0.365937087,0.999834078,0.205298012,-1.075123185,-1.148931945,0.986456831,0.216435814,-1.486796902,-0.709365233,0.999993363,0.091271232,-0.321997225,-2,0.997415634,0.062916753,0.805526351,0.275760713,0.984947331,0.092172363,-1.785686274,-1.975519543,0.996105249,0.073672394,-0.616302794,-2,0.999959495,0.186365876,-0.358076227,-0.2598661
BDQ+LIN+PRE,3,0.110057295,0.088107746,0.10653939,0.089646264,0.089024269,0.113358554,,,0.07999141,0.028929761,0.02676493,-0.246494513,-0.118624284,-0.241681164,-0.18078767,-0.9353326,-0.999999999,,,-0.506768966,0.002863023,0.073437712,0.683404576,0.502353273,0.524485242,0.422322707,-0.138255788,-0.016699692,,,0.668260247,-0.007426785,0.04598328,0.793982984,0.758090873,0.491652843,0.182875912,0.465402374,0.618390256,,,,0.030768269,-0.529957199,0.09231135,0.070469748,0.026417943,0.037450106,0.094988497,0.028587469,-0.139277607,-0.113851443,-0.82572629,-0.833154159,-0.006558017,-0.008578063,0.093581302,0.062815459,0.069187299,0.030166452,0.085843456,0.028008481,-0.162480506,-0.143608605,-0.95813586,-0.883729107,0.093236549,0.010340859,0.993563445,0.116045474,-0.506903297,-0.771273666,0.993327111,0.129919853,-2.160045312,-1.666674801,0.999999986,0.061970313,-0.825671421,-0.285530607,0.998105978,0.092784499,-0.501668363,-0.120796107,0.995822853,0.06219078,-1.147121291,-1.569462785,1,0.062161826,1.036368824,1.22090891,0.999999977,0.19401784,-1.965363911,-1.283977351,0.996167203,0.153023642,-2.293685799,-1.891764807,0.999295256,0.076908032,-1.024720589,-0.993838306
BDQ+OPD,2,0.068529776,0.051506981,0.056292613,0.033271805,0.051797368,0.047130855,0.11461058,0.062776664,0.04861016,0.079963908,0.104624595,-0.107952516,-0.109686876,-0.130544842,-0.119368369,-0.992939197,-0.637227936,-0.423345983,-0.219976093,-0.056525011,0.009106997,0.579179047,0.69601777,0.711788651,0.671549874,0.554368501,0.355748074,0.435787002,0.049339803,0.256230801,-0.225171967,0.034032426,-1.032269075,,0.77277988,0.069127233,0.220697233,0.174482658,0.398401499,,0.294805783,,-0.204361507,-0.950572861,,,,,,,,,,,,,,,,,,,,,,,,,0.997259464,0.061976535,0.171905604,-0.783668683,1,0.188384816,-0.984421844,-0.684689542,1,0.191949602,-1.236534316,-0.985019111,0.996530487,0.082625926,-1.065565599,-0.248254995,0.999999991,0.18495187,-1.489325861,-1.61875565,0.993837409,0.066459218,1.048835388,-0.081815545,0.997589957,0.219175994,-2.742162284,-1.746089695,0.982621043,0.108260831,-1.888246551,-2.515446504,0.993470238,0.095395201,-0.725213743,-1.401765001
BDQ+PRE,2,0.091004458,0.068196175,0.106069851,0.040434128,0.043133262,0.058283276,0.108028703,0.080077006,0.086509484,0.037904236,0.065635187,-0.059100359,-0.07104192,-0.254144971,-0.101998337,-0.375690826,-0.455118507,-0.531863213,-0.301480571,-0.096977531,0.388660403,0.233587317,0.456629155,0.53277392,0.603685979,0.3545252,0.871035652,0.738460652,0.263759389,0.271720561,-0.4047844,-0.286731795,-0.250339982,0.612172754,0.670903296,0.75887154,0.42736219,0.702125724,1.316861912,-0.210751289,0.041827243,-0.365982498,-0.685190696,-0.761627931,0.105613031,0.07409219,0.048910806,0.063234463,0.101702887,0.04092995,-0.13212334,-0.09475234,-0.655186801,-0.708628683,0.068332214,0.087552931,0.08306873,0.066794927,0.06007524,0.046739889,0.084586485,0.026811162,-0.134034354,-0.120257644,-0.967681965,-0.825080613,0.037767443,0.058496768,0.991771731,0.06212012,0.63325327,-0.568564429,0.996016421,0.090102528,-0.051501936,-0.029613072,0.999999241,0.086322542,-0.201279333,-0.246924404,0.987600467,0.08140107,-0.113260181,-0.062052497,0.990200606,0.132748746,-1.294901443,-1.210444037,0.993305229,0.062298357,0.678161034,0.519629798,0.988931021,0.077167109,-1.678097419,-1.666700152,0.992638862,0.062275329,-1.726742107,-2.153517259,0.998350728,0.062087605,-0.761267201,-0.817599004
DEL+OPD,2,0.067323115,0.043682492,,0.125445185,0.026025618,0.026578647,0.102710823,0.075530678,0.05048154,0.10576048,0.096017232,-0.014350102,-0.002941867,,0.422218108,-0.763322848,-0.710261359,-0.149912561,-0.191590129,0.212260751,0.52299591,0.283708876,1.321311482,0.517861456,,1.237662936,-0.272531724,-0.332996497,0.298670172,0.147949403,0.163709635,-0.407431667,0.481228861,,-0.403444241,,,-0.677243799,-0.555519898,,-0.492628491,,,0.344379282,,,,,,,,,,,,,,,,,,,,,,,,,0.99999775,0.061922018,0.233227563,-0.356464346,0.997837073,0.062481751,-0.209605815,-0.215438741,0.999552626,0.095048268,0.184948679,0.053017311,0.999933839,0.06382967,0.549413949,0.113770603,0.999657051,0.062674195,-0.14103276,1.166595203,0.958185971,0.076156327,-0.371148285,-0.397271159,0.999999631,0.156198369,2.245440106,1.638019859,1,0.062432623,0.753286889,0.74461611,0.999476638,0.122370555,0.280118136,0.15770874
EMB+INH+PZA+RIF,4,0.073521548,0.061128092,,,0.050063732,0.0542328,,,,,,-0.019216694,-0.004110918,,,-1,-0.828199596,,,,,,0.625746639,0.413742528,,,1.278510272,1.233830904,,,,,,,,,,0.333298183,0.438300125,,,,,,0.091304405,0.079849877,0.025968846,0.025968845,0.081351711,0.052622601,-0.014739031,-0.022215726,-1,-1,0.056025605,0.049093435,0.083038122,0.066657652,0.026156571,0.02598151,0.089895677,0.029037323,0.003337544,-0.012018357,-0.999999997,-0.86281669,-0.147867056,0.147171948,0.977150789,0.080039614,-1.303547059,-1.54374451,0.966633173,0.073353262,-1.466263344,-2.143321765,0.980563538,0.160868744,-1.622257732,-2.021898999,0.990738908,0.176516943,-3.471337142,-1.881763153,0.990050106,0.100443584,-6.302046088,-5.646461269,0.991069747,0.065580278,-0.366416411,-1.506772793,0.997476074,0.263263181,-3.280375101,-1.318522147,0.962196363,0.181491049,-5.449430681,-4.175438745,0.995150404,0.170871003,-2.563785654,-4.042308338
EMB+MOX+PZA+RIF,4,0.089873491,0.073474356,,,0.04283387,0.048176993,,,,,,-0.043690299,-0.032618958,,,-1,-0.827039536,,,,,,0.955309268,0.727756875,,,1.3932439,1.592336866,,,,,,,,,,0.047712998,0.433011542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.996191635,0.140949611,-0.811936838,-0.823812952,0.956061187,0.063723521,-1.466556176,-1.559310814,0.999994555,0.126713112,0.005969981,0.073508629,0.994344937,0.124013292,-0.351325089,-0.115270166,0.993200574,0.065066487,-0.41183915,-1.47959059,0.99053037,0.11766444,-0.079269673,-0.095967355,0.99361788,0.144216045,-0.299143012,-0.466713826,0.988287182,0.117312429,-0.198639139,-1.258474517,0.987209553,0.151905341,0.042712817,0.358564585
INH+PZA,2,0.062824489,0.041655808,0.049344935,0.039322969,0.081954687,0.07403364,0.121049912,0.110365882,0.036705151,0.082674973,0.055324935,-0.018061161,0.037238973,0.007199243,0.011701402,-0.852357202,-0.56003302,-0.229189758,-0.395741331,0.223492426,0.238405447,0.562912386,0.137692295,0.396335234,0.648524019,0.394575058,0.461230659,0.361231353,-0.039644974,-0.089567633,-0.080784316,,,,,,,-0.532283179,0.066912797,,-0.564807275,,,,0.070804743,0.048975948,0.055403684,0.056450853,0.105725567,0.026473673,0.022344491,0.008874979,-1,-1,0.118038756,0.169229028,0.077911257,0.063845322,0.048018548,0.06458979,0.068591684,0.034480234,0.00838903,-0.021075067,-1,-0.955913037,-0.256733646,-0.006598806,0.983096599,0.065790419,-2.964747437,-0.215214926,0.948663413,0.225173629,-0.419451172,0.108537365,0.999999984,0.212031362,0.594667623,-0.796856775,0.993272105,0.179830204,-9.034482338,-2,0,0,1,2,0.545266716,0.076350469,-1.061569865,2,0.966393656,0.06409471,-6.962480023,-2,0.797512331,0.06965787,-2.50538723,2,0.816094831,0.06969667,-1.470367119,2
LIN+PRE,2,0.113111182,0.076929989,0.099963388,0.0531616,0.08326963,0.114345937,0.122837243,0.082154042,0.063511392,0.026344996,0.027620938,0.004571761,0.01416695,-0.188959234,-0.014643395,-0.458495446,-0.426078334,-0.608577147,-0.346344724,-0.02276961,0.202510484,0.325031262,0.427653546,0.205566601,0.191014489,0.088460813,0.058211664,-0.10349296,0.156869035,0.349411098,0.755833435,0.636048004,0.572711812,,0.335964664,0.380118835,0.082602153,-0.60696751,0.702878236,,0.206332042,0.312233139,0.426267351,-0.032431354,0.122870875,0.084122809,0.037908299,0.026354184,0.108989337,0.028961228,-0.088768806,-0.063180171,-0.753642463,-0.584417578,-0.012187676,0.053424362,0.117562519,0.087133163,0.063354452,0.044713351,0.037631858,0.027490318,-0.042374548,-0.04968287,-0.439680551,-0.583924405,0.000453271,-0.043269477,0.997307503,0.15956127,-1.704883885,-0.047465137,0.998362185,0.079839123,-1.056625775,-1.218001172,0.997310471,0.082210304,0.019972821,-0.035534182,0.998814068,0.061987974,0.735919469,0.653755977,0.9869769,0.0789314,-0.990180091,-1.305958434,0.992460997,0.085015714,1.343058971,0.957550294,0.998006555,0.062257816,-1.214821637,-1.287659501,0.992818067,0.075061091,-1.320420872,-1.643240922,0.999999879,0.089390778,0.061135358,-0.379290596
