Drug,Einf_butyrate_Constant,Einf_butyrate_Terminal,Einf_cholesterol_Constant,Einf_cholesterol_Terminal,Einf_dormancy_Constant,Einf_dormancy_Terminal,Einf_5NcasPK,Einf_5NcellPK,Einf_5Nequip,Einf_7HcasPK,Einf_7HcellPK,Einf_7Hequip,Einf_7NcasPK,Einf_7NcellPK,Einf_7Nequip,Einf_butyrateCellPK_Constant,Einf_butyrateCellPK_Terminal,Einf_cholesterolCellPK_Constant,Einf_cholesterolCellPK_Terminal,Einf_dormancyCellPK_Constant,Einf_dormancyCellPK_Terminal,Einf_butyrateCasPK_Constant,Einf_butyrateCasPK_Terminal,Einf_cholesterolCasPK_Constant,Einf_cholesterolCasPK_Terminal,Einf_dormancyCasPK_Constant,Einf_dormancyCasPK_Terminal,AUC50_butyrate_Constant,AUC50_butyrate_Terminal,AUC50_cholesterol_Constant,AUC50_cholesterol_Terminal,AUC50_dormancy_Constant,AUC50_dormancy_Terminal,AUC50_5NcasPK,AUC50_5NcellPK,AUC50_5Nequip,AUC50_7HcasPK,AUC50_7HcellPK,AUC50_7Hequip,AUC50_7NcasPK,AUC50_7NcellPK,AUC50_7Nequip,AUC50_butyrateCellPK_Constant,AUC50_butyrateCellPK_Terminal,AUC50_cholesterolCellPK_Constant,AUC50_cholesterolCellPK_Terminal,AUC50_dormancyCellPK_Constant,AUC50_dormancyCellPK_Terminal,AUC50_butyrateCasPK_Constant,AUC50_butyrateCasPK_Terminal,AUC50_cholesterolCasPK_Constant,AUC50_cholesterolCasPK_Terminal,AUC50_dormancyCasPK_Constant,AUC50_dormancyCasPK_Terminal,GRmax_butyrate_Constant,GRmax_butyrate_Terminal,GRmax_cholesterol_Constant,GRmax_cholesterol_Terminal,GRmax_dormancy_Constant,GRmax_dormancy_Terminal,GRmax_butyrateCellPK_Constant,GRmax_butyrateCellPK_Terminal,GRmax_cholesterolCellPK_Constant,GRmax_cholesterolCellPK_Terminal,GRmax_dormancyCellPK_Constant,GRmax_dormancyCellPK_Terminal,GRmax_butyrateCasPK_Constant,GRmax_butyrateCasPK_Terminal,GRmax_cholesterolCasPK_Constant,GRmax_cholesterolCasPK_Terminal,GRmax_dormancyCasPK_Constant,GRmax_dormancyCasPK_Terminal,FxC50_butyrate_Constant,FxC50_butyrate_Terminal,FxC50_cholesterol_Constant,FxC50_cholesterol_Terminal,FxC50_dormancy_Constant,FxC50_dormancy_Terminal,FxC50_5NcasPK,FxC50_5NcellPK,FxC50_5Nequip,FxC50_7HcasPK,FxC50_7HcellPK,FxC50_7Hequip,FxC50_7NcasPK,FxC50_7NcellPK,FxC50_7Nequip,FxC50_butyrateCellPK_Constant,FxC50_butyrateCellPK_Terminal,FxC50_cholesterolCellPK_Constant,FxC50_cholesterolCellPK_Terminal,FxC50_dormancyCellPK_Constant,FxC50_dormancyCellPK_Terminal,FxC50_butyrateCasPK_Constant,FxC50_butyrateCasPK_Terminal,FxC50_cholesterolCasPK_Constant,FxC50_cholesterolCasPK_Terminal,FxC50_dormancyCasPK_Constant,FxC50_dormancyCasPK_Terminal,FxC90_butyrate_Constant,FxC90_butyrate_Terminal,FxC90_cholesterol_Constant,FxC90_cholesterol_Terminal,FxC90_dormancy_Constant,FxC90_dormancy_Terminal,FxC90_5NcasPK,FxC90_5NcellPK,FxC90_5Nequip,FxC90_7HcasPK,FxC90_7HcellPK,FxC90_7Hequip,FxC90_7NcasPK,FxC90_7NcellPK,FxC90_7Nequip,FxC90_butyrateCellPK_Constant,FxC90_butyrateCellPK_Terminal,FxC90_cholesterolCellPK_Constant,FxC90_cholesterolCellPK_Terminal,FxC90_dormancyCellPK_Constant,FxC90_dormancyCellPK_Terminal,FxC90_butyrateCasPK_Constant,FxC90_butyrateCasPK_Terminal,FxC90_cholesterolCasPK_Constant,FxC90_cholesterolCasPK_Terminal,FxC90_dormancyCasPK_Constant,FxC90_dormancyCasPK_Terminal
BDQ,0.941078816504175,0.9757544820980275,0.9999999999999775,0.9999999999999777,0.9895335889053078,0.9998332416464722,0.994581766393164,0.996754679979378,0.996232190469695,0.990643724449081,0.984810513166046,0.991182379105986,0.996999966326029,0.992299353998288,0.997347505392293,0.942173959819987,0.977815624430054,0.999999999999978,0.999999999999978,0.988146782957194,0.988412709851161,0.934408350552116,0.974321095293876,0.999999999999978,0.999999999999978,0.99137928166759,0.990502368631317,0.1564497628860297,0.1161358640088679,0.14474422015658434,0.13116867148746258,0.14404773103988686,0.2091124967860393,0.0875913293130289,0.093010009573558,0.110904524175533,0.0898627016621185,0.0627619898371207,0.086511953133603,0.184842642855807,0.130790020916178,0.17306078161718,0.209582167074711,0.137044522244072,0.0619057293269173,0.061905722323644,0.169937981281307,0.105665416704435,0.17899724443441,0.121155781322274,0.121437016798472,0.110546792891233,0.171989858995965,0.101327689038247,-0.1255870010973764,-0.1151629875942527,-0.9544562894159963,-0.665829384738385,0.07639575818510291,0.1359281598083124,-0.15999062792194,-0.158128142671084,-1.10367159154954,-1.11133807133433,0.164059439161994,0.201332697083442,-0.147963869476791,-0.147389367302683,-1.2837932523634,-0.985390286293714,0.0464575679408674,-0.0433415961156056,,,,,,,,-7.26967949733039,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,
BDQ+DEL,0.9386165514907262,0.9656815039275635,0.986134764291563,0.9999999999999772,0.969283438339825,0.9999879982483462,0.997028647590575,0.998587248443228,0.998946530340268,0.999998643196807,0.994633256594554,0.993185276223699,0.999404103707058,0.998615940083054,0.999999189404769,,,,,,,,,,,,,0.1579896143992922,0.1304066299227187,0.11205967526189882,0.17849740231573819,0.15144174855819315,0.220841053022484,0.0928454890309256,0.106440582909874,0.114474629926547,0.0622802541779301,0.0895102039552137,0.108885190156383,0.0619213500754574,0.0619526097532424,0.0620118643085106,,,,,,,,,,,,,-0.0627911002787801,-0.02644184753718071,-0.8889401794676008,-0.6141178086873065,0.41038657294231473,0.3461349298475226,,,,,,,,,,,,,-0.18989258850557705,-0.3918389931440516,0.19383688831805757,-0.11784321688038414,0.32483568944455143,0.9391718669802939,0.345736365573417,-6.2444759705637,-0.065429449538492,-0.554563210914115,-1.01323867826248,-0.58327823822394,0.0773270798383436,-0.848932960122247,-0.392537739015067,,,,,,,,,,,,,-1.1784401509149196,-0.8886907724969496,0.08821326344980979,0.4773011987903068,0.3368708254867394,-0.06121830130755102,-0.0311760097067906,-0.674125874066258,0.244341005739294,-0.230781626593639,-1.0214369714066,-0.129190934669778,-1.11832922244617,-1.39794385543622,-0.805366726528806,,,,,,,,,,,,
BDQ+DEL+QBS,,,,,,,0.999999758331685,0.998770474128943,0.999701362103807,0.999998413294251,0.99981545909791,0.999025515117487,0.978262995990394,0.998457174029632,0.99912039193455,,,,,,,,,,,,,,,,,,,0.0619057546505433,0.0822006256438661,0.0635271215301614,0.221613245036777,0.0858516931128338,0.155518679612498,0.0661450602063706,0.0644186612240457,0.180688063625117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.142068215951173,-5.728279681112,-0.643014886396251,-0.911190341093983,-0.216602178703345,-1.56041719692258,0.115114455929771,0.150010748352474,-1.0477593465779,,,,,,,,,,,,,,,,,,,-0.579794347816044,0.067972128805506,-0.882875883815197,0.216723874126985,0.0675468035572356,-0.807791368194207,-1.01660890533524,-0.68848104552153,-0.740919946993723,,,,,,,,,,,,
BDQ+LIN,0.9316591380771154,0.9733476223664014,0.9999999999999766,0.9999999999999777,0.9944986355251066,0.999999999999971,0.986456831161211,0.9849473310905,0.9743847208539679,0.999993362650768,0.996105249499785,0.9595937498313789,0.997415634230698,0.999959495366315,0.9998340778237697,0.950262475735425,0.977932444555423,0.999999999999977,0.999999999999972,0.994407340838867,0.992154208962902,0.951175555333618,0.979709250982623,0.999999999462505,0.999999999999977,0.993935721733061,0.985067132033196,0.1140512515462461,0.1113407236550589,0.2525396541872322,0.268181327636767,0.1052333338936148,0.06327592276673198,0.216435814020337,0.0921723629489283,0.08147933881203823,0.0912712320837394,0.0736723936193668,0.0689381813627995,0.0629167532765403,0.186365875645479,0.20529801213411458,0.165099989247367,0.122874095226288,0.0623037784236081,0.0626689918243976,0.222863448648354,0.154803260314916,0.201362256471802,0.125477831350135,0.212879762488074,0.19175180297364,0.261887519737033,0.0869391972397245,-0.03328392433400995,-0.02720617593873498,-0.8657638621514595,-0.5580418794720884,0.09664451379387473,0.5973646907973249,-0.173338413726189,-0.178679477024883,-1.20741256364515,-1.02271831923065,0.0436460769658589,0.0438436230721819,-0.182112519150243,-0.188772831347286,-1.2398978602629,-1.14120935182202,0.119405348641977,0.229431371974116,0.6900604894483398,0.8316649098383033,0.39280672736067274,-0.3028801903613398,0.4391761724555303,0.19989572648369308,-1.48679690234036,-4.74322876990232,1.682491696615741,-0.321997224649161,-0.616302794239265,-0.1148898200292533,0.805526350884681,-0.35807622697322,-1.0751231849112075,0.55308462364353,0.405443233897951,-0.849770431629161,-0.628510070241591,-1.26778623978435,-0.385702639756796,0.368875392026905,0.47347351170877,-0.71199949718717,-0.745157838394656,-0.0819637504986814,0.627779508637113,0.5054372437690264,0.9789637543046806,0.7455635653516037,0.7317295629855891,0.13382966193478776,-0.5836274020768607,-0.709365233367351,-1.97551954293471,0.3104940495357475,-2.0,-2.0,-0.3659370870154479,0.275760713251735,-0.259866099748514,-1.148931944506647,-0.657859141027221,-0.267419796806389,-0.905202612670768,-0.910137938506035,-0.748069365115522,0.0129171153005586,-0.161185338724021,-0.0506380139058433,0.359944804549171,-0.00327514445352164,1.04961849571596,0.641059641340957
BDQ+LIN+PRE,0.9343416313684796,0.9707937918220119,0.9999999960625104,0.9999999999954758,0.9932982971642295,0.9938223906035684,0.998105977752137,0.999999977124913,0.9935634452734668,0.995822852878097,0.996167202978613,0.9933271108422127,0.999999999999245,0.999295256165136,0.9999999858514181,0.950413462012195,0.977663943676529,0.973940385788845,0.992497760751303,0.987920420542365,0.992005194505111,0.942962265327989,0.977083453885908,0.950938158224925,0.916114457831291,0.993246467875929,0.996356033192222,0.2547498440296123,0.20505330591506932,0.2056873113556316,0.2580933963478834,0.06910062877544135,0.06388746538509542,0.0927844994919748,0.194017839663557,0.1160454736304911,0.0621907803724751,0.153023641958778,0.12991985261984934,0.062161826326309,0.0769080321998225,0.061970312852263565,0.21820844110897,0.148108359153725,0.162537833294058,0.0719310804640488,0.199422383611969,0.0670374744020043,0.215743774618259,0.165339336805045,0.0650083908315203,0.0910663339325429,0.219141714131624,0.068244320730283,-0.062201279384202,-0.043007693751642706,-0.8280680335801829,-0.8262634163143527,0.022099308933205667,0.1764143125934503,-0.170896798963773,-0.189386571036296,-0.380468500776678,-0.258165114937268,0.143355500424118,0.0415238225611816,-0.167227960547476,-0.154583543340164,-0.521816367622906,-0.0152804640739626,0.0850150403814809,-0.0129394316084478,0.6834045763900541,0.5023532734554677,-0.1382557882039981,-0.01669969236644773,0.08732445827294506,0.04598328017821821,-0.50166836295028,-3.72861006529165,-0.506903297016538,-1.14712129063244,-2.29368579875692,-2.1600453118553293,1.03636882448402,-1.02472058932456,-0.8256714207715736,0.672592754616099,0.631699604047068,-0.571945482239006,-0.626134433047932,-0.102312178683027,-0.599606989520403,0.955587284065401,0.596004137604739,-0.201808697854712,-0.00747296257443049,0.101331934772023,-0.172739828256476,0.7939829836542205,0.7580908732952296,0.46540237424008696,0.6183902563092081,0.03180785128787486,-0.529957199494198,-0.120796107112389,-1.28397735147095,-0.771273666251544,-1.56946278487083,-1.89176480674446,-1.6666748006579875,1.2209089103983,-0.993838306155637,-0.28553060655279383,-0.243415068521431,0.462068088573572,0.178288722131776,-0.633630627918394,0.0484762183389188,-0.694669499682199,0.497577019924611,0.525154623569095,,0.409822079984097,0.243146401092165,-0.587758821198754
BDQ+PRE,0.9412811940657491,0.9743707121241486,0.9174350192761813,0.9999999999999778,0.9600570519750837,0.994714812969024,0.987600466833423,0.988931021488144,0.991771731290327,0.990200605718777,0.992638862335442,0.9960164209284137,0.993305228609316,0.998350727830232,0.9999992413012242,0.946437379953958,0.97643993658588,0.991729761701634,0.99379645374578,0.995735403928846,0.995058290215162,0.952492136509682,0.975434033078214,0.92267748982232,0.940345205640362,0.999019439089353,0.99121663927748,0.2133387676525092,0.1603564584472282,0.10444131070166413,0.1357876890985834,0.09057968431943876,0.15152951498416198,0.081401069572606,0.0771671087539039,0.06212011953044676,0.13274874553357,0.0622753285509184,0.09010252811315617,0.0622983571819359,0.0620876053025268,0.08632254237349839,0.194937908048227,0.157097063608749,0.141244442368261,0.110380874366288,0.196108660838903,0.0639586492143622,0.244133461529802,0.173613944960565,0.117952212552355,0.150041957950224,0.233287347727875,0.0970623227559978,-0.01317048027098555,-0.02293789213541575,-0.40114172443804497,-0.11858919707215092,0.2514172621446482,0.2839988972275125,-0.166183493033323,-0.166473932886298,-0.482601469920387,-0.35218689985566,0.096301169545155,0.0836486184124585,-0.144566669981699,-0.134563784904169,-0.359580761185088,-0.226719064004154,0.0930591083811527,0.171262470190353,0.4566291545650905,0.5327739203971877,0.8710356524141304,0.7384606517846767,-0.28673179500079454,-0.25033998192800355,-0.113260180717483,-3.14192101818167,0.6332532697845452,-1.29490144287332,-1.72674210656506,-0.051501935912961476,0.678161034321739,-0.761267200888232,-0.2012793325036585,0.784979421587096,0.599151666466166,-0.15938738951989,-0.456896641845615,0.370701920615902,-0.519097747030449,0.466816209828176,0.551180095955727,1.78959068823562,1.75037454258531,0.265782339445949,0.11002559730585,0.6121727539338413,0.6709032956905354,0.7021257240215963,1.3168619115097666,-0.685190696212001,-0.7616279312775384,-0.0620524966640437,-1.66670015214554,-0.5685644294270429,-1.21044403693016,-2.153517258672,-0.02961307184360841,0.519629798068031,-0.817599004124272,-0.24692440413974376,0.0157525149237782,0.471716648949263,0.467259454853534,0.381363895229962,0.478043589077977,-0.5877695103812,0.802203283246147,0.609785530877937,1.33796854358927,2.23987029821675,0.322456349205127,-0.510755925102362
BDQ+QBS,0.9630919619557778,0.9811966112268657,0.9999999999999776,0.9999999999999777,0.9946717587712403,0.9999629361316507,0.996530487162964,0.997589956887369,0.997259464409957,0.999999991095061,0.982621042547318,0.999999999949392,0.993837408724575,0.99347023754813,0.999999999936228,0.929689758453162,0.975213993905702,,0.999999999999976,0.991869614128204,0.996474700915993,0.911053454555667,0.96665192026383,,0.998403403406121,0.999400156442647,0.983456580112934,0.1622136752030221,0.1218271528132402,0.1220302879801885,0.1112836593047501,0.185912949090184,0.2395146011366269,0.0826259262575946,0.219175994044921,0.0619765348506092,0.184951870489296,0.108260831089852,0.188384816471563,0.0664592183418172,0.0953952011628388,0.191949601869116,0.175539029412372,0.123492712648697,,0.0622337057752534,0.169081192145618,0.100633151271209,0.0936966240237012,0.0629177295341538,,0.0667360994351745,0.274362863160005,0.0716248251673292,-0.07781564902701188,-0.09693172002580486,-0.974344241878194,-0.611665995466018,-0.05167591966112506,0.6054193598876425,-0.135311927329834,-0.117478436234988,,-1.10435908926693,0.0376738088433066,0.1886214842389,-0.111606744776021,-0.105030376803636,,-0.980180964749239,0.0566662503756168,-0.00781383837691774,0.6960177703112929,0.7117886509148328,0.35574807435573635,0.43578700203166565,0.03403242613059396,-1.0322690745258296,-1.06556559943127,-3.25805475550058,0.171905604149416,-1.48932586108694,-1.88824655127791,-0.984421843971528,1.04883538792865,-0.725213742752281,-1.23653431602138,2.58415537051528,2.41449663355343,,1.86907874737178,0.382252519990614,0.303132714165882,2.9872845037066,5.71724724114235,,-0.316338792167028,1.04002326976156,0.287432535372519,,0.7727798801190422,0.1744826579821021,0.3984014992669348,-0.20436150739964576,-0.9505728612698863,-0.248254995045395,-1.74608969510163,-0.783668683296698,-1.61875565031646,-2.51544650418143,-0.684689542029825,-0.081815545160719,-1.40176500085133,-0.985019110786854,,2.43738627903927,,1.7353441979141,0.103811287173823,0.360980434700176,-3.23333953018754,0.338369480008406,,-0.822673940800972,2.18073931531142,0.0334029539967076
DEL,0.910077193891524,0.9653575525024314,0.8853357059036587,0.9781971235097564,0.9920011967985004,0.9997581887222381,0.993026309362999,0.993026309362999,0.993026309362999,0.998824441965786,0.998824441965786,0.998488877277907,0.989871113367434,0.989871113367434,0.989871113367434,,,,,,,,,,,,,0.2688018193440973,0.2437215246347555,0.204552215541359,0.1848817436611499,0.1691182848251329,0.2445541805295212,0.10358330885766,0.10358330885766,0.10358330885766,0.0619533383479065,0.0619533383479065,0.0620740786923822,0.0716274587939461,0.0716274587939461,0.0716274587939461,,,,,,,,,,,,,-0.024595287182355097,-0.00592780948494076,-0.1645836814698232,-0.3956400292066262,0.09070615330454501,0.09178917995561431,,,,,,,,,,,,,,,,,,,,-2.1393627400759,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,
DEL+QBS,0.9294115264142213,0.9625547566932138,0.9859450526135972,0.9999999999999778,0.9171491331724638,0.9959073064982003,0.999933839327869,0.999999631471642,0.999997750308158,0.999657050698722,0.999999999786003,0.997837073488702,0.958185970718034,0.999476637973389,0.999552625540108,,,,,,,,,,,,,0.1600793521385936,0.10429539366165613,0.06228419218153935,0.06334225794466972,0.24661007413376973,0.21965961243305093,0.0638296696242283,0.156198369291381,0.061922017865341,0.0626741949354797,0.062432623388927,0.062481750808827,0.0761563268452779,0.122370554619547,0.0950482682331207,,,,,,,,,,,,,-0.04957401885207313,-0.029626866826676923,-0.6962985753263007,-0.7613849951148113,0.6035703750905602,0.32362655754046776,,,,,,,,,,,,,1.321311481656538,0.5178614559955322,-0.2725317239462538,-0.3329964967042011,-0.40743166728854274,0.4812288607239627,0.549413948638728,-2.09498820867085,0.233227562804392,-0.141032759702504,0.753286888604819,-0.209605815259999,-0.371148285090806,0.280118135753144,0.184948679339475,,,,,,,,,,,,,,-0.4034442414101756,-0.6772437994039553,-0.5555198980386873,,0.3443792816693211,0.113770602852723,1.63801985933315,-0.356464346131545,1.16659520286235,0.744616110338393,-0.215438741074874,-0.397271159305819,0.157708739825224,0.0530173108110915,,,,,,,,,,,,
EMB+INH+PZA+RIF,0.9208950380474529,0.9597115340469796,0.9999999999999778,0.9999999999999777,,,0.990738907578012,0.997476074114594,0.977150788762009,0.990050106111413,0.962196362669207,0.966633172722871,0.991069746647071,0.995150404053422,0.980563537528545,0.906658129475567,0.957258874931837,0.994017851606738,0.999999999999977,0.99986737364505,0.984982048170262,0.910121758773456,0.963401869194031,0.999999999999978,0.999999999999978,0.995584317667773,0.991263892795232,0.1748930901059574,0.144725714018805,0.1180441140327979,0.1276174427931373,,,0.176516942572232,0.263263180956648,0.080039614144608,0.100443584000961,0.181491048816172,0.0733532622520703,0.065580277833205,0.170871002620358,0.160868744377628,0.197219045748069,0.157576279613287,0.0631668799391448,0.0619355656263931,0.207651137778942,0.0693233727685273,0.214829869225357,0.187228902716078,0.0619057138984591,0.0619057129674052,0.188955574249849,0.124242923679115,-0.02038310837364576,-0.02279364486216839,-0.9972997543502256,-0.775199585467268,,,-0.00668599785788193,-0.0237150703041902,-1.16912625131104,-0.967710615306248,0.0668111416471922,0.0774640081299278,-0.0349042213556908,-0.0441936582112672,-1.47510162474995,-1.13677882557233,0.0878677091977393,0.0878427050723467,0.6257466388378313,0.4137425276355138,1.2785102715964567,1.2338309038108197,,,-3.47133714240939,-2.0,-1.30354705921777,-6.30204608753962,-5.44943068106791,-1.46626334426263,-0.366416410859789,-2.5637856537494,-1.62225773210498,0.164457335314185,-0.217393115490216,0.062054786446213,0.635478697892641,0.161284803882878,,0.191341752452265,0.462124398909211,0.443782087917778,0.969306922505259,-0.294788508246602,,,,0.333298182623087,0.4383001245905255,,,-1.88176315280285,-1.31852214714898,-1.54374451028174,-5.64646126865506,-4.1754387452187,-2.14332176493855,-1.5067727927812,-4.04230833820632,-2.02189899866129,,,,0.13291794872233,,,,,-0.166193375895849,0.588727456921091,,
