feature,CFU_p,radiodensity (HU)_p,stdev radiodensity (HU)_p,soft volume (mL)_p,hard volume (mL)_p,PET activity (SUV)_p,∆ radiodensity (HU)_p,∆ stdev radiodensity (HU)_p,∆ soft volume (mL)_p,∆ hard volume (mL)_p,∆ PET activity (SUV)_p,CFU_p2,radiodensity (HU)_p2,stdev radiodensity (HU)_p2,soft volume (mL)_p2,hard volume (mL)_p2,PET activity (SUV)_p2,∆ radiodensity (HU)_p2,∆ stdev radiodensity (HU)_p2,∆ soft volume (mL)_p2,∆ hard volume (mL)_p2,∆ PET activity (SUV)_p2
AUC25 acidic (constant),0.74,0.64,0.44,0.46,0.58,0.31,0.44,0.91,0.05,0.71,0.02,0.88,0.21,0.68,0.21,0.41,0.19,0.23,0.71,0.44,0.27,0.06
AUC25 acidic (terminal),0.81,0.07,0.18,0.23,0.06,0.03,0.18,0.15,0.12,0.49,0.78,0.91,0.34,0.71,0.71,0.61,0.52,0.12,0.58,0.41,0.10,0.29
AUC25 butyrate (constant),0.28,0.70,0.24,0.46,0.78,0.31,0.85,0.83,0.37,0.48,0.10,0.40,0.34,0.05,0.08,0.19,0.83,0.60,0.16,0.87,0.53,0.09
AUC25 butyrate (terminal),0.18,0.92,0.28,0.59,0.48,0.42,0.85,0.57,0.34,0.78,0.13,0.13,0.12,0.06,0.50,0.28,0.97,0.33,0.39,0.89,0.33,0.22
AUC25 cholesterol (constant),0.57,0.72,0.54,0.67,0.89,0.62,0.32,0.94,0.92,0.38,0.78,0.44,0.39,0.23,0.18,0.80,0.50,0.68,0.26,0.34,0.62,0.16
AUC25 cholesterol (terminal),0.34,0.85,0.53,0.56,0.73,0.54,0.80,0.40,0.85,0.65,0.34,0.53,0.77,0.15,0.37,0.80,0.59,0.92,0.59,0.80,0.43,0.32
AUC25 dormancy (constant),0.83,0.65,0.40,0.47,0.53,0.88,0.21,0.49,0.73,0.13,0.60,0.65,0.96,0.07,0.10,0.83,0.68,0.93,0.17,0.23,0.73,0.29
AUC25 dormancy (terminal),0.93,0.03,0.13,0.10,0.01,0.14,0.11,0.01,0.40,0.49,0.68,0.47,0.37,0.99,0.43,0.83,0.56,0.16,0.85,0.75,0.20,0.14
AUC25 standard  (constant)-terminal),0.13,0.58,0.91,0.49,0.28,0.93,0.93,0.31,0.96,0.53,0.63,0.06,0.65,0.16,0.80,0.80,0.21,0.88,0.70,0.47,0.68,0.91
AUC25 valerate (constant),0.81,0.41,0.64,0.52,0.58,0.61,0.21,0.71,0.74,0.25,0.98,0.52,0.36,0.71,0.39,0.84,0.81,0.09,0.88,0.84,0.10,0.44
