feature,CFU,radiodensity (HU),stdev radiodensity (HU),soft volume (mL),hard volume (mL),PET activity (SUV),∆ radiodensity (HU),∆ stdev radiodensity (HU),∆ soft volume (mL),∆ hard volume (mL),∆ PET activity (SUV),CFU2,radiodensity (HU)2,stdev radiodensity (HU)2,soft volume (mL)2,hard volume (mL)2,PET activity (SUV)2,∆ radiodensity (HU)2,∆ stdev radiodensity (HU)2,∆ soft volume (mL)2,∆ hard volume (mL)2,∆ PET activity (SUV)2
acidicAUC25C,0.13,-0.18,-0.30,0.28,0.22,0.38,-0.30,0.05,0.68,0.15,0.78,0.07,0.47,-0.17,0.47,0.32,0.48,0.45,-0.15,0.30,0.42,0.67
acidicAUC25T,0.10,0.65,0.50,0.45,0.67,0.75,0.50,0.53,0.57,0.27,-0.12,0.05,0.37,-0.15,-0.15,0.20,0.25,0.57,-0.22,0.32,0.60,0.40
butyrateAUC25C,-0.34,-0.13,-0.37,0.24,0.09,0.32,-0.06,-0.07,0.29,-0.22,0.50,-0.27,0.30,-0.59,0.53,0.41,0.07,0.17,-0.43,-0.06,0.20,0.51
butyrateAUC25T,-0.42,-0.03,-0.34,0.17,0.22,0.26,0.06,0.18,0.30,0.09,0.47,-0.47,0.48,-0.56,0.22,0.34,0.01,0.31,-0.27,0.05,0.31,0.38
cholesterolAUC25C,0.18,-0.12,-0.20,0.14,0.05,0.16,-0.31,-0.03,0.03,-0.28,0.09,0.24,-0.27,-0.38,0.42,-0.08,-0.22,-0.13,-0.36,-0.30,0.16,0.43
cholesterolAUC25T,0.30,0.06,-0.20,0.19,0.11,0.20,-0.08,0.27,0.06,-0.15,0.30,0.20,-0.10,-0.44,0.29,-0.08,-0.17,-0.03,-0.17,-0.08,0.25,0.31
dormancyAUC25C,0.08,0.16,0.30,-0.26,-0.22,-0.05,0.43,-0.25,-0.13,0.52,-0.19,0.16,-0.02,0.59,-0.55,0.08,0.15,-0.03,0.47,0.42,0.13,-0.37
dormancyAUC25T,0.03,-0.70,-0.52,-0.55,-0.76,-0.50,-0.54,-0.76,-0.30,-0.25,0.15,0.26,-0.32,-0.01,0.28,0.08,-0.21,-0.48,-0.07,0.12,-0.44,-0.50
standardAUC25CT,-0.52,0.20,-0.04,0.25,0.38,0.03,0.03,0.36,0.02,-0.22,-0.18,-0.61,0.16,-0.48,0.09,-0.09,-0.43,0.05,-0.14,-0.26,-0.15,0.04
valerateAUC25C,-0.10,-0.32,-0.18,-0.25,-0.22,-0.20,-0.47,-0.15,-0.13,-0.43,-0.02,-0.25,-0.35,-0.15,0.33,0.08,-0.10,-0.62,-0.07,-0.08,-0.60,-0.30
valerateAUC25T,0.25,-0.01,0.30,-0.49,-0.26,-0.02,0.08,-0.14,-0.12,0.13,-0.22,0.03,-0.45,0.49,-0.15,0.25,0.28,-0.56,0.24,0.16,-0.30,-0.38
acidicFIC50C,0.25,-0.42,-0.20,-0.62,-0.48,-0.32,-0.37,-0.32,-0.25,-0.18,-0.10,0.18,-0.57,-0.08,0.17,0.03,-0.28,-0.67,-0.22,0.07,-0.37,-0.70
acidicFIC50T,0.38,-0.50,-0.42,-0.33,-0.32,-0.33,-0.63,-0.13,-0.17,-0.35,0.20,0.28,-0.43,-0.33,0.40,-0.18,-0.22,-0.42,-0.38,-0.20,-0.30,-0.28
butyrateFIC50C,-0.08,0.14,0.30,-0.40,-0.20,-0.01,0.34,-0.14,-0.27,0.10,-0.48,0.00,-0.29,0.17,-0.30,0.05,-0.03,-0.13,-0.31,-0.19,0.18,-0.17
butyrateFIC50T,-0.14,0.35,0.26,-0.11,0.01,-0.13,0.32,0.17,-0.34,-0.08,-0.60,-0.06,-0.29,-0.06,-0.39,-0.19,-0.36,-0.07,-0.41,-0.34,0.15,-0.21
cholesterolFIC50C,-0.58,0.29,0.25,0.34,0.61,0.11,0.34,0.55,0.47,0.54,-0.22,-0.67,0.79,-0.01,-0.53,0.12,0.18,0.78,0.01,0.17,0.18,0.08
cholesterolFIC50T,-0.77,0.14,0.08,0.38,0.59,0.21,0.20,0.36,0.55,0.46,-0.02,-0.79,0.84,-0.10,-0.30,0.29,0.24,0.74,-0.08,0.14,0.20,0.31
dormancyFIC50C,0.60,-0.19,-0.31,0.19,0.12,0.00,-0.19,0.52,0.14,0.21,0.48,0.40,0.21,-0.14,0.19,-0.24,0.26,0.60,-0.33,-0.21,0.57,0.45
dormancyFIC50T,0.38,-0.21,-0.07,-0.45,-0.26,0.26,0.19,0.00,0.55,0.67,0.48,0.24,0.29,0.14,0.00,0.45,0.67,0.14,0.02,0.71,0.29,-0.21
