Compound,MarmID,Lesion,TP1_MeanHU,TP2_MeanHU,TP3_MeanHU,TP4_MeanHU,TP5_MeanHU,TP6_MeanHU,TP1_MedianHU,TP2_MedianHU,TP3_MedianHU,TP4_MedianHU,TP5_MedianHU,TP6_MedianHU,TP1_StandDevHU,TP2_StandDevHU,TP3_StandDevHU,TP4_StandDevHU,TP5_StandDevHU,TP6_StandDevHU,TP1_MeanSUV,TP2_MeanSUV,TP3_MeanSUV,TP4_MeanSUV,TP5_MeanSUV,TP6_MeanSUV,TP1_MedianSUV,TP2_MedianSUV,TP3_MedianSUV,TP4_MedianSUV,TP5_MedianSUV,TP6_MedianSUV,TP1_StandDevSUV,TP2_StandDevSUV,TP3_StandDevSUV,TP4_StandDevSUV,TP5_StandDevSUV,TP6_StandDevSUV,TP1_MaxSUV,TP2_MaxSUV,TP3_MaxSUV,TP4_MaxSUV,TP5_MaxSUV,TP6_MaxSUV,TP1_HighSUV,TP2_HighSUV,TP3_HighSUV,TP4_HighSUV,TP5_HighSUV,TP6_HighSUV,TP1_VOLMORE1p5_SUV,TP2_VOLMORE1p5_SUV,TP3_VOLMORE1p5_SUV,TP4_VOLMORE1p5_SUV,TP5_VOLMORE1p5_SUV,TP6_VOLMORE1p5_SUV,TP1_VOLMORE2_SUV,TP2_VOLMORE2_SUV,TP3_VOLMORE2_SUV,TP4_VOLMORE2_SUV,TP5_VOLMORE2_SUV,TP6_VOLMORE2_SUV,TP1_TLG_SUV,TP2_TLG_SUV,TP3_TLG_SUV,TP4_TLG_SUV,TP5_TLG_SUV,TP6_TLG_SUV,TP1_TLG_HardPlusSoft_SUV,TP2_TLG_HardPlusSoft_SUV,TP3_TLG_HardPlusSoft_SUV,TP4_TLG_HardPlusSoft_SUV,TP5_TLG_HardPlusSoft_SUV,TP6_TLG_HardPlusSoft_SUV,TP1_TLG_HardPlusSoft_SublesionDivMuscleTLG,TP2_TLG_HardPlusSoft_SublesionDivMuscleTLG,TP3_TLG_HardPlusSoft_SublesionDivMuscleTLG,TP4_TLG_HardPlusSoft_SublesionDivMuscleTLG,TP5_TLG_HardPlusSoft_SublesionDivMuscleTLG,TP6_TLG_HardPlusSoft_SublesionDivMuscleTLG,TP1_SoftVol,TP2_SoftVol,TP3_SoftVol,TP4_SoftVol,TP5_SoftVol,TP6_SoftVol,TP1_HardVol,TP2_HardVol,TP3_HardVol,TP4_HardVol,TP5_HardVol,TP6_HardVol,TP1_log10CFU,TP2_log10CFU,TP3_log10CFU,TP4_log10CFU,TP5_log10CFU,TP6_log10CFU,TP1_LesionType,TP2_LesionType,TP3_LesionType,TP4_LesionType,TP5_LesionType,TP6_LesionType,TP1_FinalLesionType,TP2_FinalLesionType,TP3_FinalLesionType,TP4_FinalLesionType,TP5_FinalLesionType,TP6_FinalLesionType,TP1_Consolidate,TP2_Consolidate,TP3_Consolidate,TP4_Consolidate,TP5_Consolidate,TP6_Consolidate,TP1_Contour,TP2_Contour,TP3_Contour,TP4_Contour,TP5_Contour,TP6_Contour
INH+PZA,750NB,6,-259.41,-209.25,-274.66,-395.41,-418.64,-453.58,-244.51,-162.32,-299.07,-420.48,-431.44,-502.18,237.34,265.01,227.15,242.88,234.02,192.64,1.21,2.48,1.59,0.77,0.54,0.51,1.13,2.5,1.54,0.76,0.54,0.42,0.39,0.62,0.41,0.13,0.11,0.22,2.29,3.69,2.51,1.1,0.81,0.92,0.01,0.09,0.01,0.0,0.0,0.0,,,,,,,0.01,0.09,0.01,0.0,0.0,0.0,0.22,0.28,0.12,0.04,0.02,0.01,0.18,0.24,0.09,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.05,0.04,0.02,0.01,0.01,0.05,0.05,0.02,0.01,0.0,0.0,,,,,,,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Lesion 06 Day 037 FG,Lesion 06 Day 052 FG,Lesion 06 Day 065 FG,Lesion 06 Day 079 FG,Lesion 06 Day 093 FG,Lesion 06 Day 106 FG
LZD,BI01,14,-666.02,-2.34,-527.33,-231.79,-304.68,-443.65,-687.07,33.89,-656.4,-123.02,-247.78,-484.57,138.07,172.57,316.59,306.04,365.24,300.05,0.86,5.24,2.79,3.6,3.54,3.44,0.83,5.13,2.65,3.68,3.47,3.43,0.16,1.02,1.05,0.95,1.37,1.07,1.42,7.49,5.53,5.8,7.41,5.54,0.0,0.08,0.08,0.08,0.17,0.09,,,,,,,0.0,0.08,0.08,0.08,0.17,0.09,0.04,0.4,0.3,0.31,0.69,0.35,0.01,0.38,0.14,0.27,0.27,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.02,0.05,0.04,0.0,0.07,0.02,0.04,0.07,0.02,4.17,4.17,4.17,4.17,4.17,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Lesion 14 Day 033 CEB,Lesion 14 Day 053 CEB,Lesion 14 Day 067 CEB,Lesion 14 Day 081 CEB,Lesion 14 Day 095 CEB,Lesion 14 Day 109 CEB
LZD,BI07,4,-592.33,-474.7,-520.88,-618.22,-566.92,-643.61,-647.11,-538.41,-614.89,-700.57,-656.7,-701.92,230.02,289.02,312.91,259.52,272.73,218.44,2.16,2.98,3.71,2.73,2.26,1.53,2.08,2.83,3.44,2.45,2.18,1.53,0.57,1.19,1.43,1.15,0.6,0.36,3.46,5.72,7.76,6.09,3.76,2.25,0.03,0.11,0.14,0.09,0.05,0.01,,,,,,,0.03,0.11,0.14,0.09,0.05,0.01,0.14,0.45,0.58,0.37,0.18,0.1,0.04,0.26,0.31,0.13,0.07,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.04,0.03,0.02,0.01,0.0,0.02,0.02,0.01,0.01,0.0,,,,,,,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Lesion 04 Day 033 ceb,Lesion 04 day 055 ceb,Lesion 04 day 069 ceb,Lesion 04 day 085 ceb,Lesion 04 day 098 ceb,Lesion 04 day 111 ceb
LZD,BI07,12,-480.79,-383.29,-372.07,-433.63,-529.46,-627.68,-508.38,-417.18,-363.8,-461.08,-580.83,-655.12,198.56,270.02,284.21,247.93,235.81,208.55,2.67,3.67,4.74,2.76,2.4,1.85,2.66,3.65,4.64,2.61,2.44,1.81,0.32,0.64,1.15,0.6,0.31,0.32,4.02,5.82,11.43,4.17,3.9,3.36,0.04,0.06,0.06,0.05,0.03,0.01,,,,,,,0.04,0.06,0.06,0.05,0.03,0.01,0.11,0.21,0.33,0.14,0.08,0.06,0.05,0.14,0.2,0.08,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.03,0.02,0.01,0.01,0.0,0.01,0.01,0.01,0.0,0.0,,,,,,,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Lesion 12 Day 033 ceb,Lesion 12 day 055 ceb,Lesion 12 day 069 ceb,Lesion 12 day 085 ceb,Lesion 12 day 098 ceb,Lesion 12 day 111 ceb
RIF,BI60,1,-453.36,-354.17,-297.28,-319.56,-431.51,-461.94,-491.34,-344.89,-296.03,-324.07,-454.12,-476.29,188.42,268.11,234.12,221.32,180.96,163.22,1.04,1.46,1.35,1.3,0.77,1.05,1.01,1.41,1.28,1.3,0.75,0.85,0.13,0.36,0.32,0.23,0.11,0.48,1.32,2.34,2.21,1.82,1.15,2.69,0.0,0.02,0.0,0.0,0.0,0.0,,,,,,,0.0,0.02,0.0,0.0,0.0,0.0,0.04,0.21,0.12,0.08,0.04,0.03,0.04,0.18,0.11,0.08,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.07,0.05,0.04,0.03,0.02,0.0,0.04,0.03,0.02,0.01,0.0,,,,,,,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Lesion 01 Day 037 FG,Lesion 01 Day 052 FG,Lesion 01 Day 065 FG,Lesion 01 Day 079 FG,Lesion 01 Day 093 FG,Lesion 01 Day 106 FG
PZA,BI76,1,-441.89,-424.58,-654.24,-380.29,-561.31,-638.49,-459.06,-445.33,-704.19,-416.94,-587.09,-655.64,200.07,202.12,210.28,186.36,145.29,129.33,0.42,0.87,1.58,0.93,0.94,0.99,0.39,0.9,1.41,0.97,0.96,1.01,0.1,0.1,0.52,0.19,0.06,0.09,0.73,1.07,2.94,1.21,1.01,1.11,0.0,0.0,0.01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.03,0.06,0.02,0.01,0.01,0.0,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,Fibrotic Scar,Fibrotic Scar,Fibrotic Scar,Fibrotic Scar,Fibrotic Scar,Fibrotic Scar,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Lesion 01 Day 038 FG,Lesion 01 Day 051 FG,Lesion 01 Day 064 FG,Lesion 01 Day 078 FG,Lesion 01 Day 092 FG,Lesion 01 Day 105 FG
PZA,BI76,11,-722.08,-481.39,-450.98,-631.42,-717.53,-725.16,-736.79,-513.76,-489.97,-685.11,-727.36,-744.33,117.06,254.48,237.56,195.21,142.58,112.62,1.01,1.56,1.44,1.14,0.7,0.62,1.01,1.53,1.44,1.19,0.72,0.62,0.03,0.15,0.15,0.12,0.06,0.06,1.12,1.89,1.74,1.39,0.82,0.73,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.02,0.01,0.01,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,Not Visible,Not Visible,Not Visible,Not Visible,Not Visible,Not Visible,Not Visible,Not Visible,Not Visible,Not Visible,Not Visible,Not Visible,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Lesion 11 Day 038 FG,Lesion 11 Day 051 FG,Lesion 11 Day 064 FG,Lesion 11 Day 078 FG,Lesion 11 Day 092 FG,Lesion 11 Day 105 FG
MOX,BJ16,13,-609.64,-435.8,-453.42,-498.13,-506.86,-653.03,-636.9,-494.25,-496.06,-545.42,-539.34,-688.08,125.15,223.96,194.54,167.62,166.62,103.08,0.46,1.92,0.51,0.32,0.21,0.34,0.47,1.85,0.5,0.34,0.21,0.31,0.07,0.34,0.04,0.06,0.02,0.05,0.58,2.64,0.61,0.44,0.24,0.46,0.0,0.01,0.0,0.0,0.0,0.0,,,,,,,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Lesion 13 Day 033 FG,Lesion 13 Day 047 FG,Lesion 13 Day 060 FG,Lesion 13 Day 074 FG,Lesion 13 Day 090 FG,Lesion 13 Day 101 FG
PMD,BJ27,5,-466.88,-361.19,-351.99,-468.52,-468.93,-509.88,-503.48,-394.92,-388.67,-486.07,-514.0,-529.0,194.55,194.56,185.97,190.67,142.07,113.87,0.65,0.95,0.61,0.58,0.3,0.39,0.66,0.89,0.61,0.58,0.3,0.41,0.09,0.23,0.13,0.08,0.03,0.08,0.75,1.43,0.92,0.81,0.39,0.51,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.01,0.0,0.0,0.0,0.01,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Lesion 05 Day 036 FG,Lesion 05 Day 045 FG,Lesion 05 Day 060 FG,Lesion 05 Day 074 FG,Lesion 05 Day 088 FG,Lesion 05 Day 101 FG
PMD,BJ27,12,40.29,7.57,-3.2,27.49,29.47,88.43,86.4,52.01,28.25,73.63,27.94,87.55,214.48,194.65,206.91,182.37,110.97,56.27,1.88,2.33,1.57,1.34,1.13,1.07,1.83,2.4,1.62,1.34,1.15,1.1,0.34,0.32,0.23,0.19,0.16,0.09,2.63,2.9,1.93,1.72,1.45,1.19,0.01,0.02,0.0,0.0,0.0,0.0,,,,,,,0.01,0.02,0.0,0.0,0.0,0.0,0.04,0.05,0.03,0.01,0.02,0.01,0.03,0.05,0.02,0.01,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.01,0.01,0.02,0.0,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Lesion 12 Day 036 FG,Lesion 12 Day 045 FG,Lesion 12 Day 060 FG,Lesion 12 Day 074 FG,Lesion 12 Day 088 FG,Lesion 12 Day 101 FG
