Compound,MarmID,Lesion,TP1_MeanHU,TP2_MeanHU,TP3_MeanHU,TP4_MeanHU,TP5_MeanHU,TP6_MeanHU,TP1_MedianHU,TP2_MedianHU,TP3_MedianHU,TP4_MedianHU,TP5_MedianHU,TP6_MedianHU,TP1_StandDevHU,TP2_StandDevHU,TP3_StandDevHU,TP4_StandDevHU,TP5_StandDevHU,TP6_StandDevHU,TP1_MeanSUV,TP2_MeanSUV,TP3_MeanSUV,TP4_MeanSUV,TP5_MeanSUV,TP6_MeanSUV,TP1_MedianSUV,TP2_MedianSUV,TP3_MedianSUV,TP4_MedianSUV,TP5_MedianSUV,TP6_MedianSUV,TP1_StandDevSUV,TP2_StandDevSUV,TP3_StandDevSUV,TP4_StandDevSUV,TP5_StandDevSUV,TP6_StandDevSUV,TP1_MaxSUV,TP2_MaxSUV,TP3_MaxSUV,TP4_MaxSUV,TP5_MaxSUV,TP6_MaxSUV,TP1_HighSUV,TP2_HighSUV,TP3_HighSUV,TP4_HighSUV,TP5_HighSUV,TP6_HighSUV,TP1_VOLMORE1p5_SUV,TP2_VOLMORE1p5_SUV,TP3_VOLMORE1p5_SUV,TP4_VOLMORE1p5_SUV,TP5_VOLMORE1p5_SUV,TP6_VOLMORE1p5_SUV,TP1_VOLMORE2_SUV,TP2_VOLMORE2_SUV,TP3_VOLMORE2_SUV,TP4_VOLMORE2_SUV,TP5_VOLMORE2_SUV,TP6_VOLMORE2_SUV,TP1_TLG_SUV,TP2_TLG_SUV,TP3_TLG_SUV,TP4_TLG_SUV,TP5_TLG_SUV,TP6_TLG_SUV,TP1_TLG_HardPlusSoft_SUV,TP2_TLG_HardPlusSoft_SUV,TP3_TLG_HardPlusSoft_SUV,TP4_TLG_HardPlusSoft_SUV,TP5_TLG_HardPlusSoft_SUV,TP6_TLG_HardPlusSoft_SUV,TP1_TLG_HardPlusSoft_SublesionDivMuscleTLG,TP2_TLG_HardPlusSoft_SublesionDivMuscleTLG,TP3_TLG_HardPlusSoft_SublesionDivMuscleTLG,TP4_TLG_HardPlusSoft_SublesionDivMuscleTLG,TP5_TLG_HardPlusSoft_SublesionDivMuscleTLG,TP6_TLG_HardPlusSoft_SublesionDivMuscleTLG,TP1_SoftVol,TP2_SoftVol,TP3_SoftVol,TP4_SoftVol,TP5_SoftVol,TP6_SoftVol,TP1_HardVol,TP2_HardVol,TP3_HardVol,TP4_HardVol,TP5_HardVol,TP6_HardVol,TP1_log10CFU,TP2_log10CFU,TP3_log10CFU,TP4_log10CFU,TP5_log10CFU,TP6_log10CFU,TP1_LesionType,TP2_LesionType,TP3_LesionType,TP4_LesionType,TP5_LesionType,TP6_LesionType,TP1_FinalLesionType,TP2_FinalLesionType,TP3_FinalLesionType,TP4_FinalLesionType,TP5_FinalLesionType,TP6_FinalLesionType,TP1_Consolidate,TP2_Consolidate,TP3_Consolidate,TP4_Consolidate,TP5_Consolidate,TP6_Consolidate,TP1_Contour,TP2_Contour,TP3_Contour,TP4_Contour,TP5_Contour,TP6_Contour,UMAP1,UMAP2,cluster,classif
INH+PZA,750NB,1,-173.0,-162.53,-140.49,-178.7,-164.47,-170.58,-96.14,-63.37,-27.93,-55.45,-64.27,-108.22,252.75,242.21,245.29,283.07,259.31,258.38,1.92,2.99,2.06,1.46,1.15,1.28,1.9,2.92,2.08,1.41,1.1,1.31,0.5,0.74,0.72,0.43,0.48,0.23,3.09,4.71,3.41,2.56,2.22,1.82,0.04,0.25,0.17,0.04,0.01,0.0,,,,,,,0.04,0.25,0.17,0.04,0.01,0.0,0.19,0.8,0.65,0.41,0.26,0.19,0.16,0.72,0.59,0.33,0.24,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.08,0.09,0.08,0.08,0.05,0.05,0.15,0.2,0.16,0.13,0.07,,,,,,2.01,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,false,false,false,false,false,false,Lesion 01 Day 037 FG,Lesion 01 Day 052 FG,Lesion 01 Day 065 FG,Lesion 01 Day 079 FG,Lesion 01 Day 093 FG,Lesion 01 Day 106 FG,-0.11734412,2.8449817,12,hot
INH+PZA,750NB,2,-345.57,-318.27,-416.61,-629.97,-559.43,-648.37,-380.51,-362.27,-441.53,-645.26,-567.59,-669.26,211.86,228.4,178.51,163.63,95.83,94.69,0.59,0.44,0.38,0.23,0.39,0.31,0.62,0.42,0.38,0.22,0.37,0.3,0.11,0.08,0.08,0.03,0.11,0.07,0.79,0.72,0.59,0.3,0.58,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,,,,,,0.6,Fibrotic Scar,Fibrotic Scar,Fibrotic Scar,Fibrotic Scar,Fibrotic Scar,Fibrotic Scar,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,Fibrotic,false,false,false,false,false,false,Lesion 02 Day 037 FG,Lesion 02 Day 052 FG,Lesion 02 Day 065 FG,Lesion 02 Day 079 FG,Lesion 02 Day 093 FG,Lesion 02 Day 106 FG,5.7989993,2.9201875,13,cool
INH+PZA,750NB,3,-211.86,-59.76,-84.68,-140.2,-189.75,-153.71,-143.54,19.09,10.98,-45.14,-122.02,-93.78,271.14,203.1,227.26,254.43,268.44,234.55,1.7,3.05,2.46,1.75,1.29,1.03,1.59,3.08,2.45,1.64,1.19,0.97,0.78,1.07,0.87,0.72,0.49,0.36,4.11,5.76,4.39,3.64,2.86,2.03,0.66,2.75,2.14,0.83,0.17,0.0,,,,,,,0.66,2.75,2.14,0.83,0.17,0.0,3.36,10.69,8.03,3.95,2.09,1.42,2.84,10.01,7.47,3.53,1.74,1.29,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.61,0.71,0.68,0.61,0.55,0.92,2.6,2.23,1.27,0.75,0.69,,,,,,4.31,Cavity Consol,Cavity Consol,Cavity Consol,Cavity Consol,Cavity Consol,Cavity Consol,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,true,true,true,true,true,true,Lesion 03z04z05z07z09z10 Day 037 FG,Lesion 03z04z05z07z09z10 Day 052 FG,Lesion 03z04z05z07z09z10 Day 065 FG,Lesion 03z04z05z07z09z10 Day 079 FG,Lesion 03z04z05z07z09z10 Day 093 FG,Lesion 03z04z05z07z09z10 Day 106 FG,-5.86742,7.0042496,0,hot
INH+PZA,750NB,8,-203.65,-140.34,-166.68,-148.66,-189.48,-187.29,-153.84,-26.27,-40.0,-41.02,-113.77,-126.78,247.78,270.77,271.96,255.9,272.85,257.68,1.43,2.99,2.06,1.05,0.83,0.81,1.33,3.14,2.08,0.92,0.73,0.8,0.55,1.19,0.53,0.37,0.38,0.22,2.75,5.18,3.28,2.52,2.13,1.33,0.02,0.18,0.1,0.01,0.0,0.0,,,,,,,0.02,0.18,0.1,0.01,0.0,0.0,0.15,0.71,0.39,0.14,0.08,0.08,0.13,0.63,0.34,0.12,0.06,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.07,0.05,0.04,0.03,0.04,0.05,0.14,0.11,0.08,0.04,0.05,,,,,,1.78,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,false,false,false,false,false,false,Lesion 08 Day 037 FG,Lesion 08 Day 052 FG,Lesion 08 Day 065 FG,Lesion 08 Day 079 FG,Lesion 08 Day 093 FG,Lesion 08 Day 106 FG,0.34745622,2.8842347,12,hot
LIN,BH13,1,-508.84,-394.48,-282.18,-377.69,-333.12,-427.88,-591.38,-435.14,-249.27,-387.62,-321.23,-472.61,233.5,294.71,304.83,259.4,259.36,272.91,3.7,4.96,3.74,3.25,3.36,3.52,3.75,4.76,3.58,3.21,3.35,3.47,0.82,1.77,1.03,0.85,0.75,0.67,5.01,10.52,6.39,5.07,4.79,5.0,0.07,0.2,0.2,0.11,0.09,0.1,,,,,,,0.07,0.2,0.2,0.11,0.09,0.1,0.26,1.02,0.78,0.39,0.32,0.36,0.12,0.63,0.52,0.27,0.24,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.07,0.08,0.05,0.04,0.04,0.0,0.05,0.06,0.02,0.02,0.02,3.36,3.36,3.36,3.36,3.36,3.36,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,false,false,false,false,false,false,Lesion 01 day 031 ceb,Lesion 01 day 054 ceb,Lesion 01 day 066 ceb,Lesion 01 Day 081 CEB,Lesion 01 Day 095 CEB,Lesion 01 day 109 ceb,1.0521092,0.69204855,12,hot
LIN,BH13,2,-498.24,-269.31,-196.87,-418.52,-376.15,-423.45,-558.83,-227.0,-120.18,-453.52,-397.29,-472.61,221.1,278.35,272.09,313.17,295.24,319.68,2.37,4.0,4.33,3.94,3.58,3.12,2.32,3.93,4.16,3.84,3.54,3.08,0.53,1.27,1.29,1.4,1.11,0.83,3.75,8.79,7.8,7.53,6.17,4.87,0.03,0.19,0.22,0.21,0.2,0.19,,,,,,,0.03,0.19,0.22,0.21,0.2,0.19,0.11,0.8,0.95,0.9,0.78,0.67,0.04,0.64,0.84,0.58,0.54,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.08,0.08,0.07,0.07,0.06,0.0,0.08,0.11,0.06,0.06,0.05,3.24,3.24,3.24,3.24,3.24,3.24,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,false,false,false,false,false,false,Lesion 02 day 031 ceb,Lesion 02 day 054 ceb,Lesion 02 day 066 ceb,Lesion 02 Day 081 CEB,Lesion 02 Day 095 CEB,Lesion 02 day 109 ceb,0.23017085,0.8590051,12,hot
LIN,BH13,3,-484.26,-460.95,-551.96,-571.85,-500.8,-555.87,-540.53,-525.47,-628.37,-673.87,-574.07,-635.73,261.08,308.38,269.54,284.81,291.77,278.94,2.42,2.67,2.41,2.65,2.48,2.22,2.32,2.58,2.23,2.61,2.47,2.16,0.62,0.83,0.65,0.7,0.72,0.54,3.94,4.47,4.18,4.31,4.0,3.46,0.04,0.06,0.04,0.06,0.05,0.04,,,,,,,0.04,0.06,0.04,0.06,0.05,0.04,0.13,0.2,0.15,0.19,0.18,0.16,0.07,0.13,0.07,0.09,0.09,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.01,3.28,3.28,3.28,3.28,3.28,3.28,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,false,false,false,false,false,false,Lesion 03 day 031 ceb,Lesion 03 day 054 ceb,Lesion 03 day 066 ceb,Lesion 03 Day 081 CEB,Lesion 03 Day 095 CEB,Lesion 03 day 109 ceb,3.4338605,0.810342,1,cool
LIN,BH13,4,-425.41,-274.68,-290.65,-368.15,-327.23,-336.1,-481.53,-242.71,-263.62,-364.96,-335.62,-327.85,266.77,303.83,298.8,328.8,301.43,311.88,2.14,2.24,2.53,2.69,2.61,2.24,2.02,2.02,2.38,2.54,2.44,2.09,0.55,0.69,0.7,0.84,0.65,0.51,3.64,4.57,4.64,4.6,4.62,3.76,0.03,0.05,0.09,0.08,0.08,0.06,,,,,,,0.03,0.05,0.09,0.08,0.08,0.06,0.14,0.23,0.28,0.3,0.25,0.21,0.1,0.18,0.22,0.21,0.17,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.05,0.04,0.03,0.03,0.02,0.04,0.03,0.03,0.03,0.03,3.93,3.93,3.93,3.93,3.93,3.93,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,Cavity,false,false,false,false,false,false,Lesion 04 day 031 ceb,Lesion 04 day 054 ceb,Lesion 04 day 066 ceb,Lesion 04 Day 081 CEB,Lesion 04 Day 095 CEB,Lesion 04 day 109 ceb,2.53644,1.7938969,1,cool
LIN,BH13,5,-616.25,-493.96,-514.5,-584.14,-556.02,-646.61,-676.82,-558.86,-577.14,-680.04,-646.02,-760.1,217.75,284.33,251.85,277.18,258.1,288.62,1.64,1.37,2.08,1.88,1.96,1.46,1.56,1.19,2.01,1.82,1.91,1.35,0.34,0.49,0.43,0.45,0.5,0.44,2.53,3.56,2.93,3.1,3.21,2.88,0.01,0.01,0.03,0.03,0.04,0.01,,,,,,,0.01,0.01,0.03,0.03,0.04,0.01,0.09,0.09,0.13,0.16,0.17,0.17,0.02,0.04,0.06,0.06,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.02,0.02,0.02,0.02,0.0,0.01,0.01,0.01,0.01,0.01,2.95,2.95,2.95,2.95,2.95,2.95,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,false,false,false,false,false,false,Lesion 05 day 031 ceb,Lesion 05 day 054 ceb,Lesion 05 day 066 ceb,Lesion 05 Day 081 CEB,Lesion 05 Day 095 CEB,Lesion 05 day 109 ceb,4.4194884,1.3058907,1,cool
LIN,BH13,6,-665.04,-631.45,-596.51,-698.4,-616.52,-699.2,-737.85,-747.37,-689.85,-787.13,-707.69,-802.91,212.91,253.37,241.38,242.37,226.52,231.67,1.58,1.51,2.04,1.91,2.01,1.6,1.58,1.26,1.95,1.84,1.88,1.5,0.26,0.58,0.54,0.46,0.5,0.42,2.07,3.13,3.55,3.09,3.33,2.75,0.0,0.02,0.02,0.03,0.03,0.02,,,,,,,0.0,0.02,0.02,0.03,0.03,0.02,0.07,0.12,0.12,0.17,0.13,0.18,0.01,0.03,0.04,0.03,0.04,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.02,0.01,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,1.49,1.49,1.49,1.49,1.49,1.49,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,Necrotic,false,false,false,false,false,false,Lesion 06 day 031 ceb,Lesion 06 day 054 ceb,Lesion 06 day 066 ceb,Lesion 06 Day 081 CEB,Lesion 06 Day 095 CEB,Lesion 06 day 109 ceb,4.757936,1.0558362,1,cool
