Timepoint,Output,Rank,Feature,Mean_Abs_SHAP
TP3,TP3_MeanHU,1,TP2_MeanHU,35.48715119647679
TP3,TP3_MeanHU,2,TP2_MeanSUV,7.707474425653543
TP3,TP3_MeanHU,3,NeutralHequip_FBC50,1.2570369043340082
TP3,TP3_MeanHU,4,LoeweFIC50_acidic_Constant,0.858236361261504
TP3,TP3_MeanHU,5,LoeweFIC90_butyrate_Constant,0.6980105411824746
TP3,TP3_MeanHU,6,LoeweFIC90_valerate_Termil,0.5480658413693207
TP3,TP3_MeanHU,7,casAUC25_dormancySimplePK_Termil,0.4940021483828315
TP3,TP3_MeanHU,8,LoeweFIC50_standard_ConstantTermil,0.49333760343784466
TP3,TP3_MeanHU,9,LoeweFIC50_valerate_Termil,0.4756375602266332
TP3,TP3_MeanHU,10,AUC25_acidic_Constant,0.45269751468812164
TP3,TP3_MeanHU,11,casAUC25_cholesterolSimplePK_Termil,0.4488750217936688
TP3,TP3_MeanHU,12,casAUC25_cholesterolSimplePK_Constant,0.4395977364374972
TP3,TP3_MeanHU,13,LoeweFIC90_acidic_Termil,0.42586160171967086
TP3,TP3_MeanHU,14,casAUC25_butyrateSimplePK_Constant,0.41976685857778767
TP3,TP3_MeanHU,15,NeutralHequip_FBC90,0.3798152986487825
TP3,TP3_MeanSUV,1,TP2_MeanHU,0.2524223152478554
TP3,TP3_MeanSUV,2,TP2_MeanSUV,0.12444656266594814
TP3,TP3_MeanSUV,3,NeutralHequip_FBC50,0.008565047906403531
TP3,TP3_MeanSUV,4,casAUC25_cholesterolSimplePK_Termil,0.006304892360125373
TP3,TP3_MeanSUV,5,cellGRinf_dormancySimplePK_Constant,0.0053440081049746565
TP3,TP3_MeanSUV,6,GRinf_butyrate_Termil,0.005338956636581536
TP3,TP3_MeanSUV,7,casGRinf_dormancySimplePK_Termil,0.004852660409264121
TP3,TP3_MeanSUV,8,LoeweFIC90_butyrate_Constant,0.004843970230261471
TP3,TP3_MeanSUV,9,LoeweFIC50_acidic_Constant,0.004507429050924407
TP3,TP3_MeanSUV,10,LoeweFIC50_valerate_Termil,0.004465775936261252
