feature,importance_mean,importance_std
TP3_MeanHU,1322.330855007055,778.7330102724444
TP2_MeanSUV,53.13927727167307,57.33895160718518
TP3_MeanSUV,29.75682876295889,150.40352639239597
TP2_MeanHU,17.737693613318093,123.5884581081807
cellGRinf_butyrateSimplePK_Termil,2.6147972675971685e-13,1.6708484573313247e-13
AUC25_standard_ConstantTermil,2.501110429875553e-13,7.710616481660131e-14
LoeweFIC90_dormancy_Termil,2.0463630789890886e-13,2.5062726859969875e-13
AcidicNequip_Einf,1.9326762412674725e-13,2.3738508636848907e-13
AUC25_valerate_Termil,1.3642420526593923e-13,1.8189894035458563e-13
casGRinf_cholesterolSimplePK_Termil,1.3642420526593923e-13,1.2761315884201647e-13
AUC25_dormancy_Constant,1.2505552149377764e-13,2.501110429875553e-13
casAUC25_cholesterolSimplePK_Termil,1.2505552149377764e-13,1.7758451749402082e-13
cellGRinf_dormancySimplePK_Termil,1.2505552149377764e-13,1.7758451749402082e-13
NeutralHequip_FBC90,1.1368683772161603e-13,1.4380373887290168e-13
NeutralNcasPK_Einf,1.1368683772161603e-13,9.511723266474241e-14
NeutralHequip_AUC50,1.1368683772161603e-13,1.4380373887290168e-13
cellAUC25_dormancySimplePK_Constant,1.0231815394945443e-13,1.3642420526593923e-13
LoeweFIC90_dormancy_Constant,1.0231815394945443e-13,1.3642420526593926e-13
NeutralHcellPK_FBC90,1.0231815394945443e-13,2.0463630789890888e-13
LoeweFIC90_acidic_Termil,1.0231815394945443e-13,8.354242286656624e-14
NeutralHcellPK_Einf,1.0231815394945443e-13,1.3642420526593923e-13
LoeweFIC50_acidic_Termil,9.094947017729283e-14,1.8189894035458566e-13
LoeweFIC50_butyrate_Constant,9.094947017729283e-14,1.8189894035458566e-13
LoeweFIC90_valerate_Termil,9.094947017729283e-14,1.8189894035458568e-13
casGRinf_butyrateSimplePK_Termil,9.094947017729283e-14,1.8189894035458568e-13
casAUC25_butyrateSimplePK_Constant,7.958078640513122e-14,9.910988736784642e-14
LoeweFIC90_valerate_Constant,7.958078640513122e-14,9.910988736784642e-14
GRinf_cholesterol_Constant,7.958078640513122e-14,9.910988736784642e-14
AcidicNequip_AUC50,7.958078640513122e-14,9.910988736784642e-14
AUC25_butyrate_Constant,7.958078640513122e-14,9.910988736784642e-14
NeutralNequip_Einf,7.958078640513122e-14,9.910988736784642e-14
LoeweFIC50_dormancy_Constant,7.958078640513122e-14,9.910988736784642e-14
casAUC25_butyrateSimplePK_Termil,7.958078640513122e-14,9.910988736784642e-14
NeutralHequip_FBC50,6.821210263296962e-14,1.3642420526593926e-13
cellAUC25_butyrateSimplePK_Constant,6.821210263296962e-14,1.3642420526593923e-13
casGRinf_dormancySimplePK_Constant,6.821210263296962e-14,1.3642420526593923e-13
AUC25_acidic_Constant,6.821210263296962e-14,1.3642420526593926e-13
NeutralNequip_FBC50,6.821210263296962e-14,8.354242286656625e-14
NeutralHcasPK_FBC90,6.821210263296962e-14,1.3642420526593926e-13
AcidicNcellPK_Einf,6.821210263296962e-14,1.3642420526593926e-13
GRinf_dormancy_Termil,6.821210263296962e-14,8.354242286656624e-14
GRinf_valerate_Termil,6.821210263296962e-14,1.3642420526593923e-13
AUC25_cholesterol_Termil,6.821210263296962e-14,1.3642420526593926e-13
cellGRinf_dormancySimplePK_Constant,4.5474735088646414e-14,9.094947017729284e-14
AUC25_acidic_Termil,4.5474735088646414e-14,9.094947017729284e-14
casGRinf_dormancySimplePK_Termil,4.5474735088646414e-14,9.094947017729283e-14
NeutralHcellPK_FBC50,4.5474735088646414e-14,9.094947017729284e-14
GRinf_cholesterol_Termil,4.5474735088646414e-14,9.094947017729284e-14
LoeweFIC50_standard_ConstantTermil,4.5474735088646414e-14,9.094947017729284e-14
NeutralHcellPK_AUC50,4.5474735088646414e-14,9.094947017729283e-14
GRinf_dormancy_Constant,4.5474735088646414e-14,9.094947017729284e-14
LoeweFIC50_valerate_Constant,4.5474735088646414e-14,9.094947017729284e-14
AUC25_cholesterol_Constant,4.5474735088646414e-14,9.094947017729284e-14
cellAUC25_butyrateSimplePK_Termil,4.5474735088646414e-14,9.094947017729283e-14
AcidicNcasPK_Einf,4.5474735088646414e-14,9.094947017729284e-14
AcidicNcellPK_FBC90,4.5474735088646414e-14,9.094947017729284e-14
NeutralNequip_AUC50,3.410605131648481e-14,6.821210263296962e-14
NeutralNcellPK_Einf,3.410605131648481e-14,6.821210263296963e-14
NeutralHcasPK_AUC50,3.410605131648481e-14,6.821210263296962e-14
AcidicNcasPK_AUC50,3.410605131648481e-14,6.821210263296963e-14
AcidicNequip_FBC50,3.410605131648481e-14,6.821210263296963e-14
AUC25_valerate_Constant,3.410605131648481e-14,6.821210263296962e-14
cellAUC25_cholesterolSimplePK_Constant,3.410605131648481e-14,6.821210263296962e-14
LoeweFIC50_acidic_Constant,3.410605131648481e-14,6.821210263296962e-14
LoeweFIC50_dormancy_Termil,3.410605131648481e-14,6.821210263296963e-14
casGRinf_butyrateSimplePK_Constant,3.410605131648481e-14,6.821210263296963e-14
casAUC25_dormancySimplePK_Constant,3.410605131648481e-14,6.821210263296962e-14
cellAUC25_cholesterolSimplePK_Termil,0.0,0.0
GRinf_standard_ConstantTermil,0.0,0.0
LoeweFIC50_valerate_Termil,0.0,0.0
NeutralNcasPK_AUC50,0.0,0.0
