sample_id,feature_name,feature_value,shap_value
0,LoeweFIC90_cholesterol_Constant,0.088213263,-1.265350340953436e-07
1,LoeweFIC90_cholesterol_Constant,0.088213263,-0.00615248069386645
2,LoeweFIC90_cholesterol_Constant,0.088213263,-0.00010919894704317021
3,LoeweFIC90_cholesterol_Constant,0.088213263,-0.00030998129174029807
4,LoeweFIC90_cholesterol_Constant,0.088213263,0.00012449021757715507
5,LoeweFIC90_cholesterol_Constant,0.088213263,-0.0005571738448987862
6,LoeweFIC90_cholesterol_Constant,0.088213263,-0.0009739969722187559
7,LoeweFIC90_cholesterol_Constant,0.088213263,-0.00040351427139057955
8,LoeweFIC90_cholesterol_Constant,0.088213263,0.0010765688249863633
9,LoeweFIC90_cholesterol_Constant,0.088213263,-0.0019860841112117156
10,LoeweFIC90_cholesterol_Constant,0.088213263,-0.001655962912090493
11,LoeweFIC90_cholesterol_Constant,0.088213263,-0.00018281130670435246
12,LoeweFIC90_cholesterol_Constant,0.088213263,-7.81615733037612e-05
13,LoeweFIC90_cholesterol_Constant,0.088213263,-0.0015783777215527275
14,LoeweFIC90_cholesterol_Constant,0.088213263,-0.0038857853805735532
15,LoeweFIC90_cholesterol_Constant,0.088213263,-0.0006242345524850299
16,LoeweFIC90_cholesterol_Constant,0.088213263,0.0010248112869108818
17,LoeweFIC90_cholesterol_Constant,0.088213263,-0.0011538861085144043
18,LoeweFIC90_cholesterol_Constant,0.088213263,-0.0004989613640026743
19,LoeweFIC90_cholesterol_Constant,0.088213263,-0.0024416289297131575
20,LoeweFIC90_cholesterol_Constant,0.745563565,-0.00581760097284685
21,LoeweFIC90_cholesterol_Constant,0.745563565,-0.0018687572972238007
22,LoeweFIC90_cholesterol_Constant,0.745563565,-0.0007809043996030831
23,LoeweFIC90_cholesterol_Constant,0.745563565,-0.0003089154527117165
24,LoeweFIC90_cholesterol_Constant,0.745563565,-0.000863281546735059
25,LoeweFIC90_cholesterol_Constant,0.745563565,-0.0004422715944518757
26,LoeweFIC90_cholesterol_Constant,0.745563565,-0.0011606207650596766
27,LoeweFIC90_cholesterol_Constant,0.745563565,-0.0004209114103362468
28,LoeweFIC90_cholesterol_Constant,0.745563565,0.0005599681547436937
29,LoeweFIC90_cholesterol_Constant,0.745563565,-0.0004797913757148182
30,LoeweFIC90_cholesterol_Constant,0.745563565,-0.004288215719986637
31,LoeweFIC90_cholesterol_Constant,0.745563565,-0.0006677115908675417
32,LoeweFIC90_cholesterol_Constant,0.745563565,-0.0012881123048933806
33,LoeweFIC90_cholesterol_Constant,0.745563565,0.0009274176413690403
34,LoeweFIC90_cholesterol_Constant,0.745563565,-0.0018146753197707671
35,LoeweFIC90_cholesterol_Constant,0.745563565,-0.001983333534443518
36,LoeweFIC90_cholesterol_Constant,0.745563565,-0.0004090611780822103
37,LoeweFIC90_cholesterol_Constant,0.745563565,-0.0019262896588662453
38,LoeweFIC90_cholesterol_Constant,0.745563565,0.0022179832256376424
39,LoeweFIC90_cholesterol_Constant,0.745563565,-0.0006084936243653878
40,LoeweFIC90_cholesterol_Constant,0.745563565,-0.00031186625346630074
41,LoeweFIC90_cholesterol_Constant,0.745563565,-0.0016845436893866193
42,LoeweFIC90_cholesterol_Constant,0.465402374,-0.0008498252437921988
43,LoeweFIC90_cholesterol_Constant,0.465402374,0.0002614720799777556
44,LoeweFIC90_cholesterol_Constant,0.465402374,0.000517693174033825
45,LoeweFIC90_cholesterol_Constant,0.465402374,-0.0006538848129509848
46,LoeweFIC90_cholesterol_Constant,0.465402374,0.0010082448764702119
47,LoeweFIC90_cholesterol_Constant,0.465402374,0.0001466454734289537
48,LoeweFIC90_cholesterol_Constant,0.465402374,-0.0019512042263849128
49,LoeweFIC90_cholesterol_Constant,0.465402374,-0.0029599513948040733
50,LoeweFIC90_cholesterol_Constant,0.465402374,0.001448520883516082
51,LoeweFIC90_cholesterol_Constant,0.465402374,-0.000338835597367176
52,LoeweFIC90_cholesterol_Constant,0.465402374,-0.0012754752686124815
53,LoeweFIC90_cholesterol_Constant,0.465402374,-0.0016392624698717507
54,LoeweFIC90_cholesterol_Constant,0.465402374,1.9158828295803567e-05
55,LoeweFIC90_cholesterol_Constant,0.465402374,-0.003151473346065533
56,LoeweFIC90_cholesterol_Constant,0.465402374,-8.463071512754918e-06
57,LoeweFIC90_cholesterol_Constant,0.465402374,0.001331063946009917
58,LoeweFIC90_cholesterol_Constant,0.465402374,-0.0021510052793382206
59,LoeweFIC90_cholesterol_Constant,0.465402374,-0.0012225363431501394
60,LoeweFIC90_cholesterol_Constant,0.465402374,0.0004531218747345566
61,LoeweFIC90_cholesterol_Constant,0.465402374,-0.0005911499228247694
62,LoeweFIC90_cholesterol_Constant,0.465402374,0.0037772611816584843
63,LoeweFIC90_cholesterol_Constant,0.702125724,-0.0028707136834053982
64,LoeweFIC90_cholesterol_Constant,0.702125724,-0.0008202437496156183
65,LoeweFIC90_cholesterol_Constant,0.702125724,-0.0009042896716942847
66,LoeweFIC90_cholesterol_Constant,0.702125724,-0.002576218310532781
67,LoeweFIC90_cholesterol_Constant,0.702125724,0.0004734090072231601
