model,timepoint,output,mse,mae,r2,
na•ve,week 8,HU,10344.127964625983,73.44091138609613,0.3586173973858412,
,week 8,SUV,0.6642817112011367,0.6195360692576911,-0.11389194418644,
marmoset,week 2,HU,2554.8274806883646,42.12779476753629,0.5730536145122647,
,week 4,HU,1762.9582377963309,34.71673984119860,0.7202830220989132,
,week 6,HU,1441.1160562982686,29.123100665185827,0.8158522606932038,
,week 8,HU,2076.5122499373365,35.70791431565060,0.8060229565262483,
,week 2,SUV,0.6341758851566929,0.5531136859609509,0.25789091669784125,
,week 4,SUV,0.33205214611317496,0.44401139829887243,0.5391112776686917,
,week 6,SUV,0.22777071179194197,0.3633554514195915,0.5941894206394658,
,week 8,SUV,0.4344670633136544,0.44308157805479836,0.3778229127839571,
marmoset + in vitro,week 2,HU,2565.384883943625,41.81143330708201,0.5712893289806422,
,week 4,HU,1236.7526513966206,26.398259410957582,0.8037725984409935,
,week 6,HU,1279.1643124292727,26.84149516681335,0.8365466713757647,
,week 8,HU,1851.9078646151086,33.61765088873305,0.8270043375016602,
,week 2,SUV,0.5224462642538006,0.5225763314340462,0.3886362958373466,
,week 4,SUV,0.2429596345759217,0.36413753182702024,0.6627717758535061,
,week 6,SUV,0.20397501883625405,0.3491211171698698,0.63658531899120,
,week 8,SUV,0.43384729186319215,0.44253924559684016,0.3787104543914779,
,,,,,,
