Compound,SHAP
BDQ+LIN,0.1284918351999716
MOX+RIF,-0.11306186793389329
INH+PZA,-0.14762429528485072
BDQ+PRE,0.04628029714196575
BDQ+LIN+PRE,0.17217847194808905
PZA+RIF,0.11889215833824915
BDQ+LIN+PRE,0.10155208100640371
MOX+RIF,-0.078520442881992
BDQ+DEL,-0.18459097299244273
EMB+INH+PZA+RIF,-0.16347993123643095
INH+PZA,-0.07377059277660414
MOX+RIF,-0.07896216313335915
LIN+PRE,-0.0033985439907495032
BDQ+PRE,0.09414462402336794
BDQ+DEL,-1.241697245378541
PZA+RIF,0.04295958269810907
MOX+RIF,-0.10479940310727108
BDQ+DEL,-1.0997042958569878
PZA+RIF,0.037200705514780254
EMB+INH+PZA+RIF,0.45155908186282273
BDQ+PRE,-0.018723616767203653
BDQ+LIN+PRE,-0.007548370992959042
LIN+PRE,0.0252946340888032
PZA+RIF,0.10010279241457323
LIN+PRE,-0.21375030505575746
INH+PZA,-0.14243391917031628
BDQ+LIN,0.038681608201159456
EMB+MOX+PZA+RIF,0.23986690553142576
BDQ+DEL,-0.019169429739819242
MOX+RIF,-0.0014634651720128798
INH+PZA,-0.3523777747488092
INH+PZA,-0.18098508506673625
EMB+MOX+PZA+RIF,0.4936032512853237
BDQ+PRE,0.006565370131017249
BDQ+PRE,-0.5449444615257227
LIN+PRE,0.24862715719355702
MOX+RIF,-0.06411241684777126
EMB+INH+PZA+RIF,0.046034085349094235
PZA+RIF,0.1273364965228283
EMB+INH+PZA+RIF,0.1338262094203059
EMB+MOX+PZA+RIF,0.04269841722546725
LIN+PRE,0.007791015570561135
PZA+RIF,0.07908993188730644
INH+PZA,0.13770906706107708
EMB+MOX+PZA+RIF,0.8760655413196412
BDQ+PRE,0.031379046798780875
BDQ+PRE,-0.21910928007358027
EMB+INH+PZA+RIF,0.10184095824135225
EMB+MOX+PZA+RIF,0.08512001987020437
BDQ+LIN,0.6445741061610297
BDQ+LIN,0.5402233238869381
MOX+RIF,-0.4635139067539078
EMB+MOX+PZA+RIF,0.04909671884147117
BDQ+LIN,0.04409428031681728
BDQ+DEL,-0.42342985673394656
MOX+RIF,-0.04909417876328376
EMB+INH+PZA+RIF,0.171543599189319
BDQ+PRE,0.03542319692287594
BDQ+PRE,0.11336300679213984
BDQ+DEL,-0.5522003902691015
MOX+RIF,-0.06609488881520008
BDQ+LIN+PRE,0.030448907105916356
EMB+INH+PZA+RIF,0.8094525472189508
LIN+PRE,-0.22163892304627955
PZA+RIF,0.0930032530671082
BDQ+PRE,0.019438603129763872
EMB+MOX+PZA+RIF,0.06534158173801047
MOX+RIF,-0.597486174285632
BDQ+LIN,0.4477543339329083
BDQ+DEL,-0.4983954723908598
BDQ+LIN,0.24806622230761907
BDQ+LIN,-0.07876254506322336
BDQ+LIN+PRE,-0.033411159231578794
INH+PZA,0.2367228398665283
PZA+RIF,0.10907209013562727
INH+PZA,-0.14382514329335458
BDQ+LIN+PRE,0.059896970800174594
EMB+MOX+PZA+RIF,0.11006325086839709
MOX+RIF,-0.5620457700902745
BDQ+PRE,0.11747454281058672
BDQ+LIN,0.02358932606201244
MOX+RIF,-0.11963561676662197
BDQ+PRE,0.07503293451188633
INH+PZA,-0.22822386301680841
BDQ+LIN,0.48169055685698586
INH+PZA,-0.14021003883932295
EMB+MOX+PZA+RIF,0.10382529224510359
INH+PZA,-0.03068360507460111
BDQ+DEL,-0.8841552071609545
BDQ+PRE,-0.32025404677147423
BDQ+LIN+PRE,0.10864759255025135
INH+PZA,0.12831235610365177
EMB+MOX+PZA+RIF,0.1090663784373381
EMB+INH+PZA+RIF,0.4112856519244493
BDQ+PRE,0.3251202618101948
INH+PZA,0.13448184453685194
BDQ+LIN,0.9580868231667442
EMB+MOX+PZA+RIF,0.01089301112929415
BDQ+LIN+PRE,0.11522099177374776
BDQ+LIN,0.10057947857746569
INH+PZA,-0.11311995149895472
EMB+MOX+PZA+RIF,0.15957063582180978
BDQ+LIN,-0.2141074269050431
BDQ+DEL,-0.11034975363202919
PZA+RIF,0.06333969922978994
MOX+RIF,-0.08026562230335997
BDQ+DEL,-0.058897055918606875
BDQ+LIN,0.025739618378596923
PZA+RIF,0.08928402812947672
PZA+RIF,0.6608545885731278
LIN+PRE,-0.198671927557035
BDQ+DEL,-1.0395996267236236
BDQ+LIN,0.06620026869870606
EMB+MOX+PZA+RIF,0.1249544847841328
LIN+PRE,0.008418508774646867
PZA+RIF,0.12379473745016704
