Compound,SHAP
BDQ+LIN,-0.19906347692689996
MOX+RIF,0.18553423337039648
INH+PZA,0.33891073355842366
BDQ+PRE,-0.17082731134157803
BDQ+LIN+PRE,0.23466344930202623
PZA+RIF,0.48103172639358566
BDQ+LIN+PRE,0.04053367886250635
MOX+RIF,0.0687982674350593
BDQ+DEL,0.17458045578197856
EMB+INH+PZA+RIF,0.17819685480258132
INH+PZA,-0.48075198671998426
MOX+RIF,-0.05380461375622644
LIN+PRE,0.22219152543048418
BDQ+PRE,-0.3652099798037939
BDQ+DEL,0.08774560627305983
PZA+RIF,0.13507857959447067
MOX+RIF,0.33154186663085955
BDQ+DEL,0.19978126335395138
PZA+RIF,0.2131535684145948
EMB+INH+PZA+RIF,0.17364529245901478
BDQ+PRE,-0.43563359736727103
BDQ+LIN+PRE,-0.09799617431867684
LIN+PRE,0.2062868695628242
PZA+RIF,0.1806019555681604
LIN+PRE,0.2485640523732146
INH+PZA,-0.07469745053503624
BDQ+LIN,-0.20005796183443733
EMB+MOX+PZA+RIF,0.4797989577182003
BDQ+DEL,0.22105368977394257
MOX+RIF,-0.07417061566666917
INH+PZA,-0.28252817785696877
INH+PZA,-0.3988976649116998
EMB+MOX+PZA+RIF,0.16347489491930156
BDQ+PRE,-0.46796885060797844
BDQ+PRE,-0.07705381154880178
LIN+PRE,0.16303895157986278
MOX+RIF,-0.11862679124043679
EMB+INH+PZA+RIF,0.3709283501904314
PZA+RIF,0.03540387394489501
EMB+INH+PZA+RIF,0.24762212885705012
EMB+MOX+PZA+RIF,0.07064870283455599
LIN+PRE,0.25598263887958417
PZA+RIF,0.17744753401647012
INH+PZA,-0.33796093422983503
EMB+MOX+PZA+RIF,0.15449076293263975
BDQ+PRE,-0.20760042517815613
BDQ+PRE,-0.26310301863871244
EMB+INH+PZA+RIF,0.14996880447702893
EMB+MOX+PZA+RIF,0.10334379920279105
BDQ+LIN,-0.1808975963413639
BDQ+LIN,-0.10803278340618913
MOX+RIF,0.06844586069457635
EMB+MOX+PZA+RIF,0.18742386004889164
BDQ+LIN,-0.16507991470218206
BDQ+DEL,0.22038896330969276
MOX+RIF,0.1325239238833243
EMB+INH+PZA+RIF,0.021602268492830624
BDQ+PRE,-0.6931617913014352
BDQ+PRE,-0.4687511309402584
BDQ+DEL,0.09935370012770446
MOX+RIF,0.20473634749617697
BDQ+LIN+PRE,-0.008550498252972926
EMB+INH+PZA+RIF,0.33586205846872774
LIN+PRE,0.3327082331507932
PZA+RIF,0.41296955728307216
BDQ+PRE,-0.09546496067200996
EMB+MOX+PZA+RIF,0.18282702437483817
MOX+RIF,0.04032207731863215
