Compound,SHAP
BDQ+LIN,-0.1936332898499566
MOX+RIF,0.3192708194942338
INH+PZA,0.007271262128327154
BDQ+PRE,-0.17925686034631305
BDQ+LIN+PRE,0.3090712775095953
PZA+RIF,0.09276916668028108
BDQ+LIN+PRE,0.07799865268721201
MOX+RIF,0.06410530737044155
BDQ+DEL,0.2719208317791574
EMB+INH+PZA+RIF,-0.06320508206891846
INH+PZA,-0.26600702092235046
MOX+RIF,0.15792430698087398
LIN+PRE,0.04501956890276656
BDQ+PRE,-0.25863831302895574
BDQ+DEL,-0.046222701491980406
PZA+RIF,0.06131415365343616
MOX+RIF,0.18891357084556568
BDQ+DEL,0.14660777355136284
PZA+RIF,0.04864442071877939
EMB+INH+PZA+RIF,-0.25870878348812765
BDQ+PRE,-0.34899937685585714
BDQ+LIN+PRE,0.12215400295052332
LIN+PRE,0.12667307732161132
PZA+RIF,0.23452474392876835
LIN+PRE,-0.05466828785475676
INH+PZA,-0.20214697910013218
BDQ+LIN,-0.3157499566537724
EMB+MOX+PZA+RIF,0.22348613633612738
BDQ+DEL,0.30711331380585843
MOX+RIF,0.13327842193340889
INH+PZA,-0.44198312507794696
INH+PZA,-0.3766701100743516
EMB+MOX+PZA+RIF,0.2414690681225202
BDQ+PRE,-1.1808556965186159
BDQ+PRE,-0.3900790349456676
LIN+PRE,0.026641336083662374
MOX+RIF,0.15761657040958418
EMB+INH+PZA+RIF,-0.056143444851143934
PZA+RIF,0.0631758434185435
EMB+INH+PZA+RIF,-0.06005575445678575
EMB+MOX+PZA+RIF,0.23918130403455481
LIN+PRE,0.1615299882473472
PZA+RIF,0.04347553811537624
INH+PZA,-0.11581562278793986
EMB+MOX+PZA+RIF,0.1612943135268484
BDQ+PRE,-0.5405525619907775
BDQ+PRE,-0.2513642296877019
EMB+INH+PZA+RIF,-0.19217018537002312
EMB+MOX+PZA+RIF,0.26264038049873667
BDQ+LIN,-0.3805505608895788
BDQ+LIN,-0.36168695446139504
MOX+RIF,0.2795401989059536
EMB+MOX+PZA+RIF,0.260268907795608
BDQ+LIN,-0.21451714812193745
BDQ+DEL,0.0756185469516691
MOX+RIF,-0.011704952627714349
EMB+INH+PZA+RIF,-0.21200772869990533
BDQ+PRE,-0.33855631721157314
BDQ+PRE,-0.4881840248584428
BDQ+DEL,-0.14157986262045635
MOX+RIF,0.27950009672490306
BDQ+LIN+PRE,0.10197441546487299
EMB+INH+PZA+RIF,-0.3770506879212751
LIN+PRE,0.3568536698166247
PZA+RIF,0.2391176739249553
BDQ+PRE,-0.46027674224921833
EMB+MOX+PZA+RIF,0.1816544419300034
MOX+RIF,0.23858973837615657
BDQ+LIN,-0.641808810501342
BDQ+DEL,0.12905046905357964
BDQ+LIN,-0.8639983120365875
BDQ+LIN,-0.31435208597532877
BDQ+LIN+PRE,0.48893808695764934
INH+PZA,-0.43154052088649775
PZA+RIF,0.2736042032225952
INH+PZA,-0.157228733449715
BDQ+LIN+PRE,0.13003889655027503
EMB+MOX+PZA+RIF,0.13767674325041815
MOX+RIF,0.24797294321297894
BDQ+PRE,-0.2685282542973701
BDQ+LIN,-0.6904376468326849
MOX+RIF,0.21598586548811227
BDQ+PRE,-0.34262701587180083
INH+PZA,-0.17492541642810844
BDQ+LIN,-0.2762786009845136
INH+PZA,-0.20464964336954228
EMB+MOX+PZA+RIF,0.25693808927927836
INH+PZA,-0.43955669884122717
BDQ+DEL,0.04511450155167372
BDQ+PRE,-0.284011121312393
BDQ+LIN+PRE,0.12127975075097822
INH+PZA,-1.0320420300526336
EMB+MOX+PZA+RIF,0.1284695338129484
EMB+INH+PZA+RIF,-0.30180943906492136
BDQ+PRE,0.06218044937301309
INH+PZA,-0.4491145043530474
BDQ+LIN,-0.3603574072550391
EMB+MOX+PZA+RIF,0.15729652871166716
BDQ+LIN+PRE,0.032078281741455314
BDQ+LIN,-0.3137234075444456
INH+PZA,-0.12005622487700704
EMB+MOX+PZA+RIF,0.2620086835125132
BDQ+LIN,-0.2788308217840429
BDQ+DEL,0.2387986654948184
PZA+RIF,0.2829252010781471
MOX+RIF,0.27125670267889157
BDQ+DEL,0.3718344729022951
BDQ+LIN,-0.6364412596204584
PZA+RIF,0.2172034925600871
PZA+RIF,0.08898457260428909
LIN+PRE,0.036828583370105535
BDQ+DEL,0.1444086496589062
BDQ+LIN,-0.14417541313230792
EMB+MOX+PZA+RIF,0.22103507810261053
LIN+PRE,0.07600560585325057
PZA+RIF,0.05925198735684497
LIN+PRE,-0.0045309972538763975
EMB+MOX+PZA+RIF,0.522351758139272
BDQ+DEL,0.21467174544321427
BDQ+LIN+PRE,0.297214738726754
EMB+MOX+PZA+RIF,0.1488347547467031
LIN+PRE,-0.18776129283589396
MOX+RIF,0.18512515035285507
BDQ+DEL,0.044850312299311974
PZA+RIF,0.28512007460731126
LIN+PRE,-0.0054293885137196
BDQ+PRE,-0.3417840229131381
LIN+PRE,0.25032986672742674
BDQ+PRE,-0.13167241336730612
BDQ+LIN+PRE,0.002690802213207262
INH+PZA,-0.4649865838551993
BDQ+LIN,-0.2999862696423142
EMB+MOX+PZA+RIF,0.1675706807543038
BDQ+LIN,-0.14886776793651982
LIN+PRE,0.2520061727430872
LIN+PRE,0.029748758227686085
BDQ+PRE,-0.48730009151578557
BDQ+LIN,-0.06084008706714377
MOX+RIF,0.40308683172014237
BDQ+LIN+PRE,0.156565290270218
EMB+INH+PZA+RIF,-0.2774892144902984
LIN+PRE,0.04466676637944757
BDQ+LIN+PRE,0.2762274259202612
LIN+PRE,0.06329372004391147
BDQ+DEL,-0.043675638701420175
EMB+MOX+PZA+RIF,0.14949153592788703
BDQ+LIN+PRE,0.11578165652527796
INH+PZA,-0.3466005038702308
PZA+RIF,-0.005526412816763086
LIN+PRE,-0.013852941881090954
PZA+RIF,0.041351396155119444
BDQ+LIN+PRE,0.09550427452242725
BDQ+PRE,-0.5614792723401288
BDQ+LIN,-0.5372944160172313
BDQ+DEL,0.2694703184406372
EMB+MOX+PZA+RIF,0.3226842913271457
EMB+INH+PZA+RIF,-0.062052601559215936
BDQ+PRE,-0.06107654848854438
PZA+RIF,0.03425315455543061
PZA+RIF,0.03550007290363726
EMB+INH+PZA+RIF,-0.09335759881478199
BDQ+DEL,0.2533232854853258
BDQ+DEL,0.06815734492741742
BDQ+LIN+PRE,0.09924453622657847
MOX+RIF,0.25297753110805504
INH+PZA,-0.01906530857671961
BDQ+DEL,0.16810452511700252
MOX+RIF,0.18942923247273952
BDQ+PRE,0.0399704367251727
MOX+RIF,0.29968652075567187
INH+PZA,-0.060046753446575854
MOX+RIF,0.16874445545858538
PZA+RIF,0.23571074476190643
BDQ+PRE,0.017234496979954838
BDQ+LIN+PRE,-0.032660980472190126
EMB+MOX+PZA+RIF,0.19358011669399508
BDQ+LIN+PRE,0.4280661577724457
MOX+RIF,0.34379746926393595
PZA+RIF,0.04298654178560007
MOX+RIF,0.06622605299527431
BDQ+LIN+PRE,0.1429112228608569
BDQ+LIN+PRE,0.002254790985718673
EMB+INH+PZA+RIF,-0.04638524289579472
BDQ+LIN,-0.46091142941625535
BDQ+LIN+PRE,0.13831946529286332
LIN+PRE,0.05405164575913525
PZA+RIF,-0.159704480025945
MOX+RIF,0.3439444706984408
INH+PZA,-0.25988885920404
BDQ+LIN,-0.8076839859319146
LIN+PRE,0.1765732713022408
PZA+RIF,0.16327382524629494
BDQ+DEL,-0.16466302100379762
BDQ+LIN+PRE,0.21903687194317242
LIN+PRE,0.059164752092991144
INH+PZA,-0.3504344636414103
LIN+PRE,0.11469892087826246
EMB+MOX+PZA+RIF,0.44814214270876307
EMB+INH+PZA+RIF,-0.08181323879426584
EMB+MOX+PZA+RIF,0.3538347612194654
EMB+INH+PZA+RIF,-0.296460032365457
BDQ+PRE,-0.27400105674976155
EMB+MOX+PZA+RIF,0.05846394856083528
PZA+RIF,0.2216977110382106
BDQ+LIN,-0.4263572629217768
MOX+RIF,0.10705060214752839
BDQ+PRE,-0.19332848937224664
EMB+MOX+PZA+RIF,0.15312092439222358
BDQ+DEL,-0.02108794557892795
EMB+INH+PZA+RIF,-0.25195046853125225
MOX+RIF,0.10856002887176812
EMB+MOX+PZA+RIF,0.6868372745708403
