Compound,SHAP
BDQ+LIN,-0.4805277783280134
MOX+RIF,0.6181192049397299
INH+PZA,-0.23003365203198078
BDQ+PRE,-0.3784502340621477
BDQ+LIN+PRE,0.11575055493473935
PZA+RIF,0.32456017476456156
BDQ+LIN+PRE,0.028427565418739406
MOX+RIF,0.48760075379496803
BDQ+DEL,0.2883570635553787
EMB+INH+PZA+RIF,-1.786708957495607
INH+PZA,-1.2867816178401945
MOX+RIF,0.7977083869585954
LIN+PRE,0.2456866187243013
BDQ+PRE,-0.7501374076154147
BDQ+DEL,-0.23028895267064076
PZA+RIF,0.2631430934693008
MOX+RIF,0.694058529024605
BDQ+DEL,0.21322480522285633
PZA+RIF,0.24382320876738925
EMB+INH+PZA+RIF,-0.377200030005727
BDQ+PRE,-0.5166625765608773
BDQ+LIN+PRE,-0.6054248447949689
LIN+PRE,0.48323346022302566
PZA+RIF,0.9232367256769601
LIN+PRE,0.5930871961578658
INH+PZA,-0.31906700436398777
BDQ+LIN,-1.061347211412311
EMB+MOX+PZA+RIF,0.1806163549379481
BDQ+DEL,0.597700073150683
MOX+RIF,0.4017484558813465
INH+PZA,-0.14923902781522816
INH+PZA,-0.2416615429538685
EMB+MOX+PZA+RIF,0.3342448868744169
BDQ+PRE,-0.8782198741565246
BDQ+PRE,-0.23971397383310045
LIN+PRE,0.37608401806206804
MOX+RIF,0.1736442430055557
EMB+INH+PZA+RIF,-0.4223069473874032
PZA+RIF,0.2972012965858276
EMB+INH+PZA+RIF,-0.4148753422428662
EMB+MOX+PZA+RIF,0.549529428728613
LIN+PRE,1.0009433897135185
PZA+RIF,0.6864942862674746
INH+PZA,-0.24581872094497664
EMB+MOX+PZA+RIF,0.25744615863899006
BDQ+PRE,-0.7923732107876131
BDQ+PRE,-0.26864650116941347
EMB+INH+PZA+RIF,-0.48671842398786025
EMB+MOX+PZA+RIF,0.6638736362810819
BDQ+LIN,-0.46749658572544256
BDQ+LIN,-0.597800845287159
MOX+RIF,0.22385634383820366
EMB+MOX+PZA+RIF,0.7560251158513637
BDQ+LIN,-0.625726499794548
BDQ+DEL,0.13511111545207347
MOX+RIF,0.30343067231326754
EMB+INH+PZA+RIF,-0.45287796325193164
BDQ+PRE,-1.106773108844874
BDQ+PRE,-0.7754564169992069
BDQ+DEL,-0.1219469636621508
MOX+RIF,0.8826118540218789
BDQ+LIN+PRE,-0.15031366954190023
EMB+INH+PZA+RIF,-1.1067666115621546
LIN+PRE,0.7025594118473949
PZA+RIF,0.9736549437320983
BDQ+PRE,-0.44386317780487095
EMB+MOX+PZA+RIF,0.6832018427858935
MOX+RIF,0.3724581707680068
BDQ+LIN,-0.6981115997696148
BDQ+DEL,0.6491783556107057
BDQ+LIN,-1.7789971885592335
BDQ+LIN,-1.1668304823301578
BDQ+LIN+PRE,0.6097937732862487
INH+PZA,-0.9666592177907822
PZA+RIF,0.9698934439738756
INH+PZA,-0.273495552042319
BDQ+LIN+PRE,-0.21144515899832347
EMB+MOX+PZA+RIF,0.35899208304575403
MOX+RIF,0.4650635700711765
BDQ+PRE,-0.6858498221023742
BDQ+LIN,-2.348432630655883
MOX+RIF,0.5695143227164466
BDQ+PRE,-0.7857374046784643
INH+PZA,-0.1751158545377817
BDQ+LIN,-0.5510813247755632
INH+PZA,-0.3180677389048822
EMB+MOX+PZA+RIF,0.21923306947498403
INH+PZA,-1.6627229589745296
BDQ+DEL,-0.14449915430215038
BDQ+PRE,-0.26961815483715235
BDQ+LIN+PRE,-0.07349149864907245
INH+PZA,-1.3190912223470848
EMB+MOX+PZA+RIF,0.3010884851554644
EMB+INH+PZA+RIF,-0.3215020054573866
BDQ+PRE,-0.5931538396232139
INH+PZA,-1.1912069460115866
BDQ+LIN,-0.4996040789977308
EMB+MOX+PZA+RIF,0.7382933598233533
BDQ+LIN+PRE,-0.07077496986627496
BDQ+LIN,-1.1086669324093943
INH+PZA,-0.24547589125049346
EMB+MOX+PZA+RIF,0.17723287391123507
BDQ+LIN,-0.5362182653158328
BDQ+DEL,0.5741487718732754
PZA+RIF,0.5824436824622053
MOX+RIF,0.8518727434872155
BDQ+DEL,0.29392728505903293
BDQ+LIN,-1.1293732196392237
PZA+RIF,0.7473179023282989
PZA+RIF,0.37612259554241756
LIN+PRE,0.4401486081739345
BDQ+DEL,0.17870371771901275
BDQ+LIN,-0.4800262167600184
EMB+MOX+PZA+RIF,0.8190659175026054
LIN+PRE,0.31837592705640694
PZA+RIF,0.4105281166210279
LIN+PRE,0.6579261219021914
EMB+MOX+PZA+RIF,1.1556926109054915
BDQ+DEL,0.7313017037673047
BDQ+LIN+PRE,-0.010379879613652726
EMB+MOX+PZA+RIF,0.2700326057409675
LIN+PRE,0.49030851164157996
MOX+RIF,0.5249872055193043
BDQ+DEL,-0.10196505332156837
PZA+RIF,1.0126085826770364
LIN+PRE,0.3292257938883066
BDQ+PRE,-0.13827547857309214
LIN+PRE,0.47171583153047947
BDQ+PRE,-0.1890790839723089
BDQ+LIN+PRE,-0.11729437191906704
INH+PZA,-1.1268609174904454
BDQ+LIN,-0.5717162041066135
EMB+MOX+PZA+RIF,0.3351296434056802
BDQ+LIN,-0.6163786119908855
LIN+PRE,0.8504667304662193
LIN+PRE,0.24120464990990617
BDQ+PRE,-0.7221860286399568
BDQ+LIN,-0.5874205959920632
MOX+RIF,0.2521810392196312
BDQ+LIN+PRE,-0.6024161685066161
EMB+INH+PZA+RIF,-1.241377660804684
LIN+PRE,0.26120295287791007
BDQ+LIN+PRE,-0.053486567532295394
LIN+PRE,0.5545669224037959
BDQ+DEL,0.3685375851543493
EMB+MOX+PZA+RIF,0.3383622856053688
BDQ+LIN+PRE,-0.4920718101341293
INH+PZA,-0.2227255085287064
PZA+RIF,0.3016977629482637
LIN+PRE,0.25825698587016144
PZA+RIF,0.5033558664214819
BDQ+LIN+PRE,-0.054922283006767846
BDQ+PRE,-0.6421119292855517
BDQ+LIN,-0.9459194333569318
BDQ+DEL,0.24158732478339973
EMB+MOX+PZA+RIF,0.631441711079342
EMB+INH+PZA+RIF,-1.8525134675307418
BDQ+PRE,-0.2059685461844566
PZA+RIF,0.420242769568673
PZA+RIF,0.21925143159721397
EMB+INH+PZA+RIF,-0.4088062838360894
BDQ+DEL,0.6532395520027068
BDQ+DEL,0.21665725797820243
BDQ+LIN+PRE,-0.15676880204207977
MOX+RIF,0.8168175206926906
INH+PZA,-0.3528176835518851
BDQ+DEL,0.07840301775439748
MOX+RIF,0.17039642886025644
BDQ+PRE,-0.4414889569541205
MOX+RIF,0.17140018822496766
INH+PZA,-0.23125663591624382
MOX+RIF,0.5665694835019126
PZA+RIF,0.8069287156329462
BDQ+PRE,-0.4563876371563022
BDQ+LIN+PRE,0.06574193288665753
EMB+MOX+PZA+RIF,0.18463121769068347
BDQ+LIN+PRE,0.07844868057559456
MOX+RIF,0.6732738950145793
PZA+RIF,0.47799968618977723
MOX+RIF,0.2497185578124537
BDQ+LIN+PRE,-0.31366128852312547
BDQ+LIN+PRE,-0.011065850148930774
EMB+INH+PZA+RIF,-0.9183342628800742
BDQ+LIN,-1.0802281816264678
BDQ+LIN+PRE,-0.08641657296144195
LIN+PRE,0.26380892414951174
PZA+RIF,0.4040265255660482
MOX+RIF,0.8489606201671187
INH+PZA,-0.9274917998702156
BDQ+LIN,-1.6781781103215911
LIN+PRE,0.9948747013234353
PZA+RIF,0.9866939310295224
BDQ+DEL,0.2676750548681893
BDQ+LIN+PRE,-0.2123402607765864
LIN+PRE,0.45655439416642535
INH+PZA,-0.29370877717021515
LIN+PRE,0.3644693159164208
EMB+MOX+PZA+RIF,0.21959896298902412
EMB+INH+PZA+RIF,-1.571436488306655
EMB+MOX+PZA+RIF,0.557013447523623
EMB+INH+PZA+RIF,-1.088762480361125
BDQ+PRE,-0.6426177111772358
EMB+MOX+PZA+RIF,0.3937722941736435
PZA+RIF,0.7236256662353067
BDQ+LIN,-0.5400133478104329
MOX+RIF,0.2456247088585032
BDQ+PRE,-0.11722066946610049
EMB+MOX+PZA+RIF,0.24712559736022036
BDQ+DEL,0.15120855167372144
EMB+INH+PZA+RIF,-0.4108708732768477
MOX+RIF,0.9468128143422491
EMB+MOX+PZA+RIF,0.18132291664009564
