Compound,SHAP
BDQ+LIN,0.0368663609912696
MOX+RIF,0.5179673214408796
INH+PZA,-0.3156850226078756
BDQ+PRE,0.0611572758784776
BDQ+LIN+PRE,0.0007474607535206064
PZA+RIF,0.32391511131165435
BDQ+LIN+PRE,-0.12156580752607747
MOX+RIF,0.16851984351958002
BDQ+DEL,-0.7953319616965852
EMB+INH+PZA+RIF,-0.7462502400582381
INH+PZA,-0.40938416692064344
MOX+RIF,-0.12943994891682523
LIN+PRE,0.40751192537500924
BDQ+PRE,-0.008564190112315228
BDQ+DEL,-0.5025234953722592
PZA+RIF,0.10361679439583865
MOX+RIF,0.38263978219000805
BDQ+DEL,-0.4354344533216349
PZA+RIF,0.3198803990265244
EMB+INH+PZA+RIF,-0.02960349820702204
BDQ+PRE,-0.3805534904974121
BDQ+LIN+PRE,-0.427825157127296
LIN+PRE,0.38200976812841925
PZA+RIF,0.5662578856790078
LIN+PRE,0.3413775823802978
INH+PZA,-0.2508719014837055
BDQ+LIN,-0.0017558118502454543
EMB+MOX+PZA+RIF,-0.0982764791568184
BDQ+DEL,-0.2900132415632123
MOX+RIF,0.24180149543809606
INH+PZA,-0.1711094375116061
INH+PZA,-0.10076122233323652
EMB+MOX+PZA+RIF,-0.15351845082341287
BDQ+PRE,0.24075577500707976
BDQ+PRE,-0.5847933984526886
LIN+PRE,0.6143575443774955
MOX+RIF,0.11325434870892569
EMB+INH+PZA+RIF,-0.15728686123982993
PZA+RIF,0.2978139600980767
EMB+INH+PZA+RIF,-0.31278261336339874
EMB+MOX+PZA+RIF,0.10312872976138343
LIN+PRE,0.4273670499748871
PZA+RIF,0.2671289823835191
INH+PZA,-0.2901753623512668
EMB+MOX+PZA+RIF,-0.18758780866172686
BDQ+PRE,-0.043065289915265086
BDQ+PRE,-0.14423795519946134
EMB+INH+PZA+RIF,-0.30663325005783754
EMB+MOX+PZA+RIF,0.14300184529623405
BDQ+LIN,0.39967070239593344
BDQ+LIN,0.24505845935431367
MOX+RIF,0.2969577153992629
EMB+MOX+PZA+RIF,0.16733034720080445
BDQ+LIN,-0.2868030740636047
BDQ+DEL,-0.4267489180743977
MOX+RIF,0.3132796618150296
EMB+INH+PZA+RIF,-0.35973765851461714
BDQ+PRE,0.14039385750636532
BDQ+PRE,-0.13928205764687843
BDQ+DEL,-0.17131107692945693
MOX+RIF,0.3396436082934998
BDQ+LIN+PRE,0.03951412427228185
EMB+INH+PZA+RIF,-0.08548173475512903
LIN+PRE,0.35279744201368746
PZA+RIF,0.3654933752381704
BDQ+PRE,0.02445338955160978
EMB+MOX+PZA+RIF,-0.12028617892612084
MOX+RIF,0.6919993416942956
BDQ+LIN,-0.15303585719976173
BDQ+DEL,-0.1794934484006709
BDQ+LIN,-0.24265377551884826
BDQ+LIN,-0.4209345383563535
BDQ+LIN+PRE,0.6610578134748223
INH+PZA,-0.5796250233342877
PZA+RIF,0.3768644981525874
INH+PZA,-0.18918804240375184
BDQ+LIN+PRE,-0.41573860520478795
EMB+MOX+PZA+RIF,0.08530013501063256
MOX+RIF,0.2520329545509494
BDQ+PRE,-0.18211644532447285
BDQ+LIN,-0.21950395103749906
MOX+RIF,0.30686234109846383
BDQ+PRE,0.12929532220520493
INH+PZA,0.05894594277981726
BDQ+LIN,0.06274084081882901
INH+PZA,-0.04539861167402563
EMB+MOX+PZA+RIF,-0.1530812254459287
INH+PZA,-0.4685008703053027
BDQ+DEL,-0.3403318109980636
BDQ+PRE,-0.07643517900564392
BDQ+LIN+PRE,-0.09802779912856428
INH+PZA,-0.17318153887859047
EMB+MOX+PZA+RIF,0.17071171860627168
EMB+INH+PZA+RIF,-0.0716179096316473
BDQ+PRE,-0.23474053437603865
INH+PZA,-0.2837503732417831
BDQ+LIN,0.2838518180762834
EMB+MOX+PZA+RIF,-0.047111600772975396
BDQ+LIN+PRE,-0.31071455049962066
BDQ+LIN,-0.08392775651262936
INH+PZA,-0.2697005928345897
EMB+MOX+PZA+RIF,-0.10564426526705935
BDQ+LIN,-0.21293202352072435
BDQ+DEL,-0.23165043025443047
PZA+RIF,0.13778416561303847
MOX+RIF,0.96031890851222
BDQ+DEL,-0.42529303312830713
BDQ+LIN,-0.1224283080514387
PZA+RIF,0.5573891592046664
PZA+RIF,0.6503280496604412
LIN+PRE,0.3178765507627721
BDQ+DEL,-0.4271732244633069
BDQ+LIN,-0.13078393525663462
EMB+MOX+PZA+RIF,-0.03803318069107465
LIN+PRE,0.23675243235440654
PZA+RIF,0.2803709521971834
LIN+PRE,0.8115294671072731
EMB+MOX+PZA+RIF,0.7645872711833553
BDQ+DEL,-0.46813703767112036
BDQ+LIN+PRE,-0.2517597798350647
EMB+MOX+PZA+RIF,0.04145149987690727
LIN+PRE,0.5393893486060797
MOX+RIF,-0.2542596542053883
BDQ+DEL,-0.42128336678988704
PZA+RIF,0.8658347823513786
LIN+PRE,-0.059293902180039076
BDQ+PRE,-0.07970916378123505
LIN+PRE,0.03901488331308671
BDQ+PRE,-0.3099475665982489
BDQ+LIN+PRE,-0.5341694854360401
INH+PZA,-0.34172574828213
BDQ+LIN,0.1296781057301426
EMB+MOX+PZA+RIF,-0.03053363994984312
BDQ+LIN,-0.07705153272641702
LIN+PRE,0.48356533976818916
LIN+PRE,0.05913942326575594
BDQ+PRE,-0.2245593380701831
BDQ+LIN,-0.08658434377595067
MOX+RIF,0.16870086656809793
BDQ+LIN+PRE,0.3585433137547016
EMB+INH+PZA+RIF,-0.046464350544053325
LIN+PRE,0.4172980800851469
BDQ+LIN+PRE,-0.32130020247219165
LIN+PRE,0.15112312562084948
BDQ+DEL,-0.25359150951776416
EMB+MOX+PZA+RIF,0.12309186869955323
BDQ+LIN+PRE,-0.42757021552801466
INH+PZA,-0.09220985432231839
PZA+RIF,0.28907328043882474
LIN+PRE,0.3938144703927137
PZA+RIF,0.22350449865939864
BDQ+LIN+PRE,-0.22452805697282396
BDQ+PRE,-0.07036697244041322
BDQ+LIN,-0.23644914157087912
BDQ+DEL,-0.46632503271124204
EMB+MOX+PZA+RIF,-0.01915373967755917
EMB+INH+PZA+RIF,-0.31024414189436594
BDQ+PRE,-0.21612227624843802
PZA+RIF,-0.5198372610294799
PZA+RIF,0.5322612801857883
EMB+INH+PZA+RIF,-0.27915870752462013
BDQ+DEL,-0.21708709751165484
BDQ+DEL,-0.3816736692656316
BDQ+LIN+PRE,-0.346107718708177
MOX+RIF,0.7198471368168834
INH+PZA,-0.2714449477138609
BDQ+DEL,-0.8234666076983062
MOX+RIF,0.21379836370663322
BDQ+PRE,-0.13597868688191816
MOX+RIF,0.23260463596497905
INH+PZA,-0.13128373267090687
MOX+RIF,0.1518903412459595
PZA+RIF,0.23275448505806057
BDQ+PRE,-0.13829452681682985
BDQ+LIN+PRE,-0.2628838082089951
EMB+MOX+PZA+RIF,-0.13110733986910675
BDQ+LIN+PRE,-0.27554422895635194
MOX+RIF,0.2251216940221903
PZA+RIF,0.469139980486588
MOX+RIF,0.4978286173305957
BDQ+LIN+PRE,-0.24869504738867257
BDQ+LIN+PRE,-0.22594681819230816
EMB+INH+PZA+RIF,-0.3073993989985154
BDQ+LIN,-0.0523313962497414
BDQ+LIN+PRE,0.1833353750731287
LIN+PRE,0.4618627021473307
PZA+RIF,0.1589685139204813
MOX+RIF,0.6247370903472687
INH+PZA,-0.4142671629056053
BDQ+LIN,-0.286664275972
LIN+PRE,0.5189480601685992
PZA+RIF,0.7681123245358636
BDQ+DEL,-0.14452880609578128
BDQ+LIN+PRE,-0.33023251282755095
LIN+PRE,0.22684320575612377
INH+PZA,-0.3387567299877844
LIN+PRE,0.1242191559630462
EMB+MOX+PZA+RIF,-0.1559512289511218
EMB+INH+PZA+RIF,-0.7477195074609918
EMB+MOX+PZA+RIF,-0.04553697723029886
EMB+INH+PZA+RIF,-0.33881771530768895
BDQ+PRE,0.08643316094955907
EMB+MOX+PZA+RIF,-0.280285561647132
PZA+RIF,0.5533459648461102
BDQ+LIN,0.012246459661070453
MOX+RIF,0.36272925025025327
BDQ+PRE,0.07101004061956843
EMB+MOX+PZA+RIF,0.08221804710283204
BDQ+DEL,-0.5257903201695486
EMB+INH+PZA+RIF,-0.10448044730292701
MOX+RIF,-0.16208794243587696
EMB+MOX+PZA+RIF,-0.03807036446727742
