Compound,SHAP
BDQ+LIN,-0.06305739552975162
MOX+RIF,0.08777592628088456
INH+PZA,0.3180641098032815
BDQ+PRE,0.1759098823008992
BDQ+LIN+PRE,-0.34069988037659454
PZA+RIF,0.28144119456364103
BDQ+LIN+PRE,-0.3568744114731181
MOX+RIF,0.11184358346372171
BDQ+DEL,-0.05927794031160558
EMB+INH+PZA+RIF,-0.20187210203552278
INH+PZA,0.03688687956162626
MOX+RIF,0.0536547988896927
LIN+PRE,0.4226047828538479
BDQ+PRE,0.03843809203370227
BDQ+DEL,0.051043488624062966
PZA+RIF,0.10583710638153031
MOX+RIF,0.062326322920331995
BDQ+DEL,0.16741111261368552
PZA+RIF,0.4388924744149278
EMB+INH+PZA+RIF,-0.17524381669391956
BDQ+PRE,0.05561935954082182
BDQ+LIN+PRE,-0.18339903408452835
LIN+PRE,0.015466786091874123
PZA+RIF,0.08059234040204537
LIN+PRE,0.2454322857721263
INH+PZA,0.261907975217189
BDQ+LIN,-0.11055992631927929
EMB+MOX+PZA+RIF,0.3857075029096904
BDQ+DEL,0.024444372626706654
MOX+RIF,0.12443957953306008
INH+PZA,-0.20541359271218376
INH+PZA,-0.09717932542872461
EMB+MOX+PZA+RIF,0.02771471489836858
BDQ+PRE,0.08050282477378097
BDQ+PRE,-0.14821096792557636
LIN+PRE,0.0434832820581706
MOX+RIF,0.14989225484759922
EMB+INH+PZA+RIF,0.02683426215231445
PZA+RIF,0.27724447866397406
EMB+INH+PZA+RIF,-0.3724897710201078
EMB+MOX+PZA+RIF,0.048148517811166504
LIN+PRE,0.039257645489258926
PZA+RIF,0.06823447365968417
INH+PZA,0.15977147967971783
EMB+MOX+PZA+RIF,0.036539679014329314
BDQ+PRE,0.07699485589351364
BDQ+PRE,0.2235184393999944
EMB+INH+PZA+RIF,-0.3552975544275818
EMB+MOX+PZA+RIF,0.027424912035500595
BDQ+LIN,-0.1749169451834599
BDQ+LIN,-0.25978912616168576
MOX+RIF,0.2652877197630884
EMB+MOX+PZA+RIF,0.08270388199704547
BDQ+LIN,-1.0857091103808383
BDQ+DEL,0.32676641912138205
MOX+RIF,0.2157071450778355
EMB+INH+PZA+RIF,-1.8272368721814798
BDQ+PRE,0.1843783824460441
BDQ+PRE,0.10043937149225658
BDQ+DEL,0.20471771428014848
MOX+RIF,0.07394456624980211
BDQ+LIN+PRE,-0.34489082354276457
EMB+INH+PZA+RIF,-0.1543874826098132
LIN+PRE,0.18700301275896328
PZA+RIF,0.140179358542182
BDQ+PRE,0.06611261970405681
EMB+MOX+PZA+RIF,0.07410501493483128
MOX+RIF,0.14648300443529688
BDQ+LIN,-0.0971112738665061
BDQ+DEL,0.15736609278682814
BDQ+LIN,-0.16407116351696646
BDQ+LIN,-0.19952515790363723
BDQ+LIN+PRE,-0.3597031786124943
INH+PZA,0.07746232563271531
PZA+RIF,0.07454972862536575
INH+PZA,0.13152806982932624
BDQ+LIN+PRE,-0.1951654693179199
EMB+MOX+PZA+RIF,0.30408163811626654
MOX+RIF,0.0824928024475481
BDQ+PRE,0.0283669252744529
BDQ+LIN,-0.09340295227825886
MOX+RIF,0.08123497977811875
BDQ+PRE,0.194552547220119
INH+PZA,0.08764511589989928
BDQ+LIN,-0.1534710633431765
INH+PZA,-0.048218554781624144
EMB+MOX+PZA+RIF,0.23657845172151176
INH+PZA,0.019190054448347375
BDQ+DEL,0.1591797840826997
BDQ+PRE,-0.1780254652424653
BDQ+LIN+PRE,-0.15020367580098337
INH+PZA,0.16696604037508198
EMB+MOX+PZA+RIF,0.14272613943812845
EMB+INH+PZA+RIF,-0.145378992719376
BDQ+PRE,0.24043417544023826
INH+PZA,0.05831306345839456
BDQ+LIN,-0.12581513098272676
EMB+MOX+PZA+RIF,-0.009012455646134522
BDQ+LIN+PRE,-0.28023597170948183
