Compound,SHAP
BDQ+LIN,-0.6824326078603362
MOX+RIF,0.21950711148388402
INH+PZA,2.0741049429610623
BDQ+PRE,-0.9168237292481507
BDQ+LIN+PRE,-0.9346461537939915
PZA+RIF,2.0428043974775365
BDQ+LIN+PRE,-0.5368744974414051
MOX+RIF,0.07965370619331041
BDQ+DEL,-0.5142782833391227
EMB+INH+PZA+RIF,-1.1579946581681562
INH+PZA,0.5754921073149882
MOX+RIF,0.49433208862055994
LIN+PRE,2.064385101402884
BDQ+PRE,-0.6662788547081159
BDQ+DEL,-0.23951942269332738
PZA+RIF,0.5572575052172483
MOX+RIF,0.129857234017512
BDQ+DEL,-0.33644012746264157
PZA+RIF,2.4004010447528676
EMB+INH+PZA+RIF,-0.726089424834555
BDQ+PRE,-0.7769190689195845
BDQ+LIN+PRE,-0.8374115328942654
LIN+PRE,0.4930786336773289
PZA+RIF,0.5147114860607989
LIN+PRE,1.387741485818135
INH+PZA,2.1469319325172234
BDQ+LIN,-1.0360984347207283
EMB+MOX+PZA+RIF,2.120934666823918
BDQ+DEL,-0.26447976337870704
MOX+RIF,0.1883340695514106
INH+PZA,0.49407507288813657
INH+PZA,0.46873587958637714
EMB+MOX+PZA+RIF,0.5258927111984589
BDQ+PRE,-1.1307520069052934
BDQ+PRE,-0.7412540331434047
LIN+PRE,0.5693619365950521
MOX+RIF,-0.4895733685215709
EMB+INH+PZA+RIF,-0.6684626972571601
PZA+RIF,1.4812168285581313
EMB+INH+PZA+RIF,-1.9939958410863385
EMB+MOX+PZA+RIF,0.8465142977612052
LIN+PRE,0.586103978127466
PZA+RIF,0.5483011867565092
INH+PZA,0.7662073066088598
EMB+MOX+PZA+RIF,0.5953045628277578
BDQ+PRE,-1.0071308336424245
BDQ+PRE,-3.1783168173775147
EMB+INH+PZA+RIF,-1.586657394488644
EMB+MOX+PZA+RIF,0.9109716151158271
BDQ+LIN,-0.6946069422118302
BDQ+LIN,-0.8030425626065957
MOX+RIF,0.2876327040912346
EMB+MOX+PZA+RIF,0.626345021632784
BDQ+LIN,-3.7811557680976695
BDQ+DEL,-2.866324023165571
MOX+RIF,0.8040262326370536
EMB+INH+PZA+RIF,-4.2748075698549455
BDQ+PRE,-0.7150917214663153
BDQ+PRE,-0.7564382217696435
BDQ+DEL,-0.21949472755013028
MOX+RIF,0.11070564537016377
BDQ+LIN+PRE,-0.8442435453868626
EMB+INH+PZA+RIF,-0.8299123773044518
LIN+PRE,1.1034604717510723
PZA+RIF,0.9444992171085524
BDQ+PRE,-0.6982768677143956
EMB+MOX+PZA+RIF,0.6475704026925811
MOX+RIF,0.0580976568697533
BDQ+LIN,-0.8745331423775119
BDQ+DEL,-0.3137344269672038
BDQ+LIN,-1.135185316017901
BDQ+LIN,-1.1990213115617683
BDQ+LIN+PRE,-0.7259088474896545
INH+PZA,0.9558493563712868
PZA+RIF,0.5435968830384998
INH+PZA,1.5615975150621833
BDQ+LIN+PRE,-0.8540664421258878
EMB+MOX+PZA+RIF,1.4195694955500042
MOX+RIF,0.22417659091132952
BDQ+PRE,-0.7822815606147738
BDQ+LIN,-1.373708459541963
MOX+RIF,0.0956867087672366
BDQ+PRE,-0.6852011172002347
INH+PZA,0.5711164253646407
BDQ+LIN,-0.9197286219195283
INH+PZA,0.680102781093538
EMB+MOX+PZA+RIF,0.5123674380556629
INH+PZA,0.5584949708817596
BDQ+DEL,-0.3307389015395844
BDQ+PRE,-0.8691142116097422
BDQ+LIN+PRE,-3.018454221313992
INH+PZA,0.9575396664972439
EMB+MOX+PZA+RIF,0.7919132069779081
EMB+INH+PZA+RIF,-0.7708296054276176
BDQ+PRE,-1.6113837778160198
INH+PZA,0.8358427325186529
BDQ+LIN,-0.8354254100388405
EMB+MOX+PZA+RIF,0.9181794458160856
BDQ+LIN+PRE,-3.3841291794036406
BDQ+LIN,-1.2048852177243312
