Compound,SHAP
BDQ+LIN,-0.0664397461065289
MOX+RIF,0.49646980591681994
INH+PZA,-0.13081375510099777
BDQ+PRE,-0.14518084041349075
BDQ+LIN+PRE,-0.07195970289209172
PZA+RIF,-0.07069809417925661
BDQ+LIN+PRE,-0.13967084292624465
MOX+RIF,0.2792021678024705
BDQ+DEL,-0.00016381709497780667
EMB+INH+PZA+RIF,-0.24032559158665318
INH+PZA,-0.297855535324123
MOX+RIF,0.3204968241129244
LIN+PRE,0.003019000736511983
BDQ+PRE,-0.22018054664074005
BDQ+DEL,-0.08628086380285054
PZA+RIF,-0.1288952683008827
MOX+RIF,0.6882513899960285
BDQ+DEL,0.006986868784749223
PZA+RIF,-0.11355141961662196
EMB+INH+PZA+RIF,-0.2761898486945517
BDQ+PRE,-0.29794035438961425
BDQ+LIN+PRE,-0.280355851491283
LIN+PRE,0.09418514617450739
PZA+RIF,-0.16957718479282594
LIN+PRE,0.03902386528063426
INH+PZA,-0.16281767374730485
BDQ+LIN,-0.03732169353623401
EMB+MOX+PZA+RIF,0.49482288387800516
BDQ+DEL,-0.018580779352139573
MOX+RIF,0.12243702369580597
INH+PZA,-0.08669746420118761
INH+PZA,-0.12056973782017034
EMB+MOX+PZA+RIF,0.5621575284674845
BDQ+PRE,-0.3484458252669511
BDQ+PRE,-0.03563907557524855
LIN+PRE,0.015466946540098244
MOX+RIF,0.16911959659940157
EMB+INH+PZA+RIF,-0.14090196192379428
PZA+RIF,-0.09441933895051619
EMB+INH+PZA+RIF,-0.15335594506505923
EMB+MOX+PZA+RIF,0.37817700058201675
LIN+PRE,0.031168429787883478
PZA+RIF,-0.1327445529581509
INH+PZA,-0.14225730987736013
EMB+MOX+PZA+RIF,0.5082851490848885
BDQ+PRE,-0.1367867911978971
BDQ+PRE,-0.17289000822662862
EMB+INH+PZA+RIF,-0.12839159007551273
EMB+MOX+PZA+RIF,0.6174147390521242
BDQ+LIN,-0.22468520502076686
BDQ+LIN,-0.24917198675066546
MOX+RIF,0.07105029567993379
EMB+MOX+PZA+RIF,0.2849477010245575
BDQ+LIN,0.06708926508161026
BDQ+DEL,-0.06326483935986549
MOX+RIF,0.5945165317857269
EMB+INH+PZA+RIF,-0.27307439009524476
BDQ+PRE,-0.13885990182808977
BDQ+PRE,-0.09874585548890957
BDQ+DEL,0.03947371863990901
MOX+RIF,0.6377961620356797
BDQ+LIN+PRE,-0.16716511263316167
EMB+INH+PZA+RIF,-0.3707618751432258
LIN+PRE,-0.0765426584542622
PZA+RIF,-0.1508169987355595
BDQ+PRE,0.062199225433635756
EMB+MOX+PZA+RIF,0.3790215970568568
MOX+RIF,0.13742035936092178
BDQ+LIN,-0.04923861386629765
BDQ+DEL,0.043984045888869144
BDQ+LIN,-0.005272275455595212
BDQ+LIN,-0.08970256782219257
BDQ+LIN+PRE,-0.025972461538872733
INH+PZA,-0.16115274907816948
PZA+RIF,-0.18384569226490244
INH+PZA,-0.11460009965612605
BDQ+LIN+PRE,-0.3036584587219701
EMB+MOX+PZA+RIF,0.40295861973768077
MOX+RIF,0.4074147955796359
BDQ+PRE,-0.17551487279915035
BDQ+LIN,-0.12296008724122695
MOX+RIF,0.5739575418796123
BDQ+PRE,-0.09905482804948262
INH+PZA,-0.049642099964313485
BDQ+LIN,-0.023858791697289855
INH+PZA,-0.04024027542506518
EMB+MOX+PZA+RIF,0.3651376455486072
INH+PZA,-0.39798269265171987
BDQ+DEL,-0.01711185613222757
BDQ+PRE,-0.04384177373040108
BDQ+LIN+PRE,-0.1221621352076585
INH+PZA,-0.1438745850321356
EMB+MOX+PZA+RIF,0.3357257951317758
EMB+INH+PZA+RIF,-0.22794286660303426
BDQ+PRE,-0.18238073491031095
INH+PZA,-0.1634307806414033
BDQ+LIN,-0.0646355143573771
EMB+MOX+PZA+RIF,0.6471857479951244
BDQ+LIN+PRE,-0.10359739835982415
BDQ+LIN,-0.08253930943035935
INH+PZA,-0.1340077576489507
EMB+MOX+PZA+RIF,0.3116432710127218
BDQ+LIN,-0.07972466315302008
BDQ+DEL,0.02122148246836404
PZA+RIF,-0.10777702665206132
MOX+RIF,0.6798129066049721
BDQ+DEL,0.05292443737991131
BDQ+LIN,-0.05373488793545438
PZA+RIF,-0.10754526574301128
PZA+RIF,-0.05809886204673127
LIN+PRE,-0.09765620687874599
BDQ+DEL,0.0145387851517638
BDQ+LIN,-0.039099351798643975
EMB+MOX+PZA+RIF,0.45705166361182276
LIN+PRE,0.06276962940429628
PZA+RIF,-0.07214754637290408
LIN+PRE,0.12988139460240683
EMB+MOX+PZA+RIF,0.26927081456687374
BDQ+DEL,-0.0901359221247589
BDQ+LIN+PRE,-0.07008454607610803
EMB+MOX+PZA+RIF,0.4648938336758525
LIN+PRE,0.1028635330029567
MOX+RIF,0.4817269493860173
BDQ+DEL,-0.04390857184899034
PZA+RIF,-0.1870330176362597
LIN+PRE,-0.05307290512062327
BDQ+PRE,-0.06120877307462032
LIN+PRE,-0.02770692358368149
BDQ+PRE,0.02650259717712631
BDQ+LIN+PRE,-0.1468463426077806
INH+PZA,-0.33915823282944185
BDQ+LIN,-0.2856025350679006
EMB+MOX+PZA+RIF,0.401545441043083
BDQ+LIN,-0.044769835379218914
LIN+PRE,0.04935080530843189
LIN+PRE,-0.04950743976978003
BDQ+PRE,-0.2545697353616982
BDQ+LIN,0.133610981806674
MOX+RIF,0.21080491378623772
BDQ+LIN+PRE,-0.47090264911286606
EMB+INH+PZA+RIF,-0.19778299960759832
