Compound,SHAP
BDQ+LIN,-0.20130649419767913
MOX+RIF,1.0559855870310078
INH+PZA,0.2159135033063335
BDQ+PRE,-0.566241147117672
BDQ+LIN+PRE,-0.5800655196906963
PZA+RIF,0.9550592940550777
BDQ+LIN+PRE,-1.0190594336908436
MOX+RIF,0.7754613931502388
BDQ+DEL,-0.4339106307452602
EMB+INH+PZA+RIF,-0.7996585801240369
INH+PZA,-0.4136332985443501
MOX+RIF,0.2701068410119181
LIN+PRE,0.9261916857264386
BDQ+PRE,-0.7203137826665165
BDQ+DEL,-1.0671971226176835
PZA+RIF,0.4949829994821041
MOX+RIF,0.8657123895236277
BDQ+DEL,-0.9610293476256188
PZA+RIF,1.1623836691872682
EMB+INH+PZA+RIF,-0.19015630124402044
BDQ+PRE,-0.56608453548926
BDQ+LIN+PRE,-0.7473731349489482
LIN+PRE,0.817600422439466
PZA+RIF,0.8068421986847205
LIN+PRE,0.6193770513966971
INH+PZA,0.15657090568452933
BDQ+LIN,-0.30483303405720913
EMB+MOX+PZA+RIF,0.7780838452536286
BDQ+DEL,-0.49140262208172003
MOX+RIF,0.7714984505340513
INH+PZA,0.04247100331274879
INH+PZA,0.05483550018846632
EMB+MOX+PZA+RIF,0.45059735474468177
BDQ+PRE,-1.2410816007370666
BDQ+PRE,-0.8893432803744998
LIN+PRE,0.5692550428440046
MOX+RIF,0.9787902722696681
EMB+INH+PZA+RIF,-0.12640989986672957
PZA+RIF,0.836493649549306
EMB+INH+PZA+RIF,-0.9164511020796943
EMB+MOX+PZA+RIF,0.6956345715891946
LIN+PRE,0.8032747602307125
PZA+RIF,0.7738641691172058
INH+PZA,-0.14525977164446738
EMB+MOX+PZA+RIF,0.554995893093227
BDQ+PRE,-0.9193594254196366
BDQ+PRE,-1.305598350330228
EMB+INH+PZA+RIF,-0.5105156911303762
EMB+MOX+PZA+RIF,0.4709993460851622
BDQ+LIN,-0.17793711518709487
BDQ+LIN,-0.11253405885999483
MOX+RIF,0.46970001108058845
EMB+MOX+PZA+RIF,0.5754214967113128
BDQ+LIN,-0.9026219755477837
BDQ+DEL,-1.1122471847740196
MOX+RIF,0.7507280457326314
EMB+INH+PZA+RIF,-1.2501443657127311
BDQ+PRE,-1.0002938659927385
BDQ+PRE,-0.6910400477332338
BDQ+DEL,-0.9311285617517706
MOX+RIF,1.0754576721484164
BDQ+LIN+PRE,-0.44840824832212894
EMB+INH+PZA+RIF,0.041108909866868465
LIN+PRE,1.5213018629726693
PZA+RIF,1.0714285338874618
BDQ+PRE,-0.6640041177453387
EMB+MOX+PZA+RIF,0.9871086313472971
MOX+RIF,0.9522432316026506
BDQ+LIN,-0.43033941601410564
BDQ+DEL,-0.9592097610271074
BDQ+LIN,-0.8512604519737151
BDQ+LIN,-0.7735516458603228
BDQ+LIN+PRE,-0.8764953135848635
INH+PZA,-0.28508355788324014
PZA+RIF,0.7590338189962067
INH+PZA,0.07855376812881396
BDQ+LIN+PRE,-0.9505758462101422
EMB+MOX+PZA+RIF,0.762450955958468
MOX+RIF,0.7425482949099518
BDQ+PRE,-0.7409396198409638
BDQ+LIN,-0.6987791621675568
MOX+RIF,0.8595327735980666
BDQ+PRE,-1.0370778815084818
INH+PZA,0.1390330545533466
BDQ+LIN,-0.19390912712179315
INH+PZA,0.01593653012236098
EMB+MOX+PZA+RIF,0.2892538401446076
INH+PZA,-0.5495914135553052
BDQ+DEL,-0.7148216380969632
BDQ+PRE,-1.0544110521078642
BDQ+LIN+PRE,-1.1249819669505308
INH+PZA,-0.9341769915881577
EMB+MOX+PZA+RIF,0.6551954364924886
EMB+INH+PZA+RIF,-0.1148525102937968
BDQ+PRE,-1.30663545909699
INH+PZA,-0.2245061050820724
BDQ+LIN,-0.18721051342802547
EMB+MOX+PZA+RIF,0.9004865284095891
BDQ+LIN+PRE,-1.6568577739542492
BDQ+LIN,-0.9932799521186068
INH+PZA,0.32360195685956544
EMB+MOX+PZA+RIF,0.8499099857888478
BDQ+LIN,-0.676709209729793
BDQ+DEL,-0.5947745812136846
PZA+RIF,0.6818905851998159
MOX+RIF,0.97521665554484
BDQ+DEL,-0.7483163241403742
BDQ+LIN,-0.5544571906629248
PZA+RIF,0.8863633125028516
PZA+RIF,0.8673568041534708
LIN+PRE,1.2576668051391195
BDQ+DEL,-1.0042347505717604
BDQ+LIN,-0.26287635975590845
EMB+MOX+PZA+RIF,1.2287468057168205
LIN+PRE,0.7783353513002644
PZA+RIF,0.8223051283847722
LIN+PRE,0.7020636112541033
EMB+MOX+PZA+RIF,1.1129999119160925
BDQ+DEL,-1.1722015173851985
BDQ+LIN+PRE,-0.4688242117395444
EMB+MOX+PZA+RIF,1.0881451366644923
LIN+PRE,0.4430045982717136
MOX+RIF,1.5025248073214357
BDQ+DEL,-0.9539405428259854
PZA+RIF,0.8306793031362252
LIN+PRE,0.8149916430765225
BDQ+PRE,-0.3731648266606794
LIN+PRE,1.3707748937511297
BDQ+PRE,-0.6048902156735949
BDQ+LIN+PRE,-0.7364306986955208
INH+PZA,-0.40504370880718993
BDQ+LIN,-0.24391728638112653
EMB+MOX+PZA+RIF,0.8542361413934899
BDQ+LIN,-0.5782707552237696
LIN+PRE,0.9274296343444364
LIN+PRE,0.6158528973856883
BDQ+PRE,-0.7064019333426867
BDQ+LIN,-0.6953983995789256
MOX+RIF,0.3593627873185971
BDQ+LIN+PRE,-1.2209906165962519
EMB+INH+PZA+RIF,-0.614062189001801
LIN+PRE,0.9275734256643396
BDQ+LIN+PRE,-0.7156633993189864
LIN+PRE,0.6275526476508065
BDQ+DEL,-0.5929571741389624
EMB+MOX+PZA+RIF,0.6780982260413552
BDQ+LIN+PRE,-0.8489950638176867
INH+PZA,0.028979756516835438
PZA+RIF,1.0690662571377763
LIN+PRE,0.5865540799453117
PZA+RIF,0.6848603274178516
BDQ+LIN+PRE,-1.9501378275356422
BDQ+PRE,-0.8798048935470976
BDQ+LIN,-0.6487228607310883
BDQ+DEL,-0.9343065946323935
EMB+MOX+PZA+RIF,0.8258166011091898
EMB+INH+PZA+RIF,-0.5927605935762922
BDQ+PRE,-1.0391397686892128
PZA+RIF,0.8753573407855644
PZA+RIF,0.7810794210298131
EMB+INH+PZA+RIF,-0.5866269038172361
BDQ+DEL,-0.611804453041433
BDQ+DEL,-0.7097154606475844
BDQ+LIN+PRE,-1.237983369761295
MOX+RIF,1.1418501441051039
INH+PZA,0.20156632578586822
BDQ+DEL,-1.0752408106304931
MOX+RIF,0.30922716867329925
BDQ+PRE,-0.5432799721674989
MOX+RIF,0.31696990451767404
INH+PZA,-0.4676301027524518
MOX+RIF,0.931011530045804
PZA+RIF,0.7116348536589322
BDQ+PRE,-0.91393742476224
BDQ+LIN+PRE,-0.786730927398075
EMB+MOX+PZA+RIF,1.296668669898495
BDQ+LIN+PRE,-0.4807403398647357
MOX+RIF,0.8965961159133637
PZA+RIF,0.5891681735460107
MOX+RIF,1.248253002822662
