Compound,SHAP
BDQ+LIN,0.11630204639286588
MOX+RIF,0.41644736684304123
INH+PZA,0.23468239255615608
BDQ+PRE,0.11100139324742866
BDQ+LIN+PRE,0.2656388741922098
PZA+RIF,-0.13489343479093446
BDQ+LIN+PRE,0.1055353838506436
MOX+RIF,0.36387708937382013
BDQ+DEL,0.05182366274708477
EMB+INH+PZA+RIF,0.013101764608233611
INH+PZA,-0.032779594672538735
MOX+RIF,0.38341785119001415
LIN+PRE,0.1324657575648043
BDQ+PRE,0.10481194372340734
BDQ+DEL,-0.11438347398083148
PZA+RIF,0.3929826405712652
MOX+RIF,0.38450267105820896
BDQ+DEL,0.0346772942707332
PZA+RIF,-0.05944701363894234
EMB+INH+PZA+RIF,-0.1450861009493362
BDQ+PRE,0.11861883667713355
BDQ+LIN+PRE,0.21794451882911697
LIN+PRE,0.48318834483526285
PZA+RIF,0.40556064026821936
LIN+PRE,0.24567737730995398
INH+PZA,0.20287304161174688
BDQ+LIN,0.1558973122094385
EMB+MOX+PZA+RIF,0.3381703429937929
BDQ+DEL,0.06267236323517954
MOX+RIF,0.07605020447958816
INH+PZA,0.09040656439600167
INH+PZA,0.03744573760961181
EMB+MOX+PZA+RIF,0.03277287063976437
BDQ+PRE,-0.07343330315751455
BDQ+PRE,-0.07485611942923627
LIN+PRE,0.049675037910300625
MOX+RIF,-0.4930459960202555
EMB+INH+PZA+RIF,0.05105571364639596
PZA+RIF,-0.05397807356065914
EMB+INH+PZA+RIF,-0.47271331659358956
EMB+MOX+PZA+RIF,0.021854187711179678
LIN+PRE,0.481981704082311
PZA+RIF,0.13973648692106205
INH+PZA,0.0419558415974053
EMB+MOX+PZA+RIF,-0.0003884487430964987
BDQ+PRE,0.10657208365409865
BDQ+PRE,-0.06952017034837023
EMB+INH+PZA+RIF,-0.26073348477885333
EMB+MOX+PZA+RIF,0.05128188979969883
BDQ+LIN,0.002332361872148436
BDQ+LIN,0.08510466705774422
MOX+RIF,0.12914322274463794
EMB+MOX+PZA+RIF,0.010439531618545345
BDQ+LIN,0.3959425685365971
BDQ+DEL,-0.2612561312348321
MOX+RIF,-0.005267739896850506
EMB+INH+PZA+RIF,-0.5382455494075482
BDQ+PRE,0.11483815045753334
BDQ+PRE,0.12235205615238612
BDQ+DEL,-0.15986900161152784
MOX+RIF,0.42725396418195577
BDQ+LIN+PRE,0.05404683577144249
EMB+INH+PZA+RIF,0.06694151431798698
LIN+PRE,0.6437015139938098
PZA+RIF,0.4318173766537607
BDQ+PRE,0.06529312544542122
EMB+MOX+PZA+RIF,-0.012795597433403652
MOX+RIF,0.11647927300339604
BDQ+LIN,0.17078482819086352
BDQ+DEL,0.0745452276291176
BDQ+LIN,0.0019585894969568027
BDQ+LIN,-0.019659404337332667
BDQ+LIN+PRE,0.36171849990029364
INH+PZA,0.017885742044993887
PZA+RIF,0.429549410543411
INH+PZA,0.22999574916639207
BDQ+LIN+PRE,0.1623250609624048
EMB+MOX+PZA+RIF,0.642899764594001
MOX+RIF,0.43052215549891715
BDQ+PRE,0.0828455708351774
BDQ+LIN,-0.1711452380399682
MOX+RIF,0.4161501428192808
BDQ+PRE,0.137195140258724
INH+PZA,0.022650848881160635
BDQ+LIN,0.16810447401245807
INH+PZA,0.03934786338646324
EMB+MOX+PZA+RIF,0.12420591297939003
INH+PZA,0.01287259121152272
BDQ+DEL,-0.03295037013892771
BDQ+PRE,0.15124489255621487
BDQ+LIN+PRE,-0.027973288441037372
INH+PZA,-0.24478786221080495
EMB+MOX+PZA+RIF,0.5806202028124687
EMB+INH+PZA+RIF,-0.012159371049821005
BDQ+PRE,0.05846722430743988
INH+PZA,0.01778103942899499
BDQ+LIN,0.11569180025860878
EMB+MOX+PZA+RIF,-0.0360377346525665
BDQ+LIN+PRE,-0.11702134290572976
BDQ+LIN,0.13434528596107503
INH+PZA,0.2241319959242555
EMB+MOX+PZA+RIF,0.6312319523831428
BDQ+LIN,0.1167002549631339
BDQ+DEL,0.05105903468721192
PZA+RIF,0.4052519861447951
MOX+RIF,0.41436993848221926
BDQ+DEL,0.19548689716746293
BDQ+LIN,-0.14308596624625342
PZA+RIF,0.4112756153287706
PZA+RIF,0.05369961143536847
LIN+PRE,0.45623234181090244
BDQ+DEL,0.025181907273446772
BDQ+LIN,0.3653952551785121
EMB+MOX+PZA+RIF,-0.25544008759738807
LIN+PRE,0.6260467825879609
PZA+RIF,-0.06672654652941794
LIN+PRE,0.17150055783427476
EMB+MOX+PZA+RIF,0.05979223819514545
BDQ+DEL,0.05796311250890093
BDQ+LIN+PRE,0.10917570561498682
EMB+MOX+PZA+RIF,0.921727656651153
LIN+PRE,0.19175452320322078
MOX+RIF,0.3261068010058809
BDQ+DEL,-0.08432140841308432
PZA+RIF,0.42433207247470384
LIN+PRE,0.3178923091387269
BDQ+PRE,0.055680936178899715
LIN+PRE,0.45507898183560946
BDQ+PRE,0.2348777413619041
BDQ+LIN+PRE,0.050491857266528876
INH+PZA,-0.03177486322715041
BDQ+LIN,-0.019885571761319335
EMB+MOX+PZA+RIF,0.6618150472806047
BDQ+LIN,0.24003501639385175
LIN+PRE,0.4789589359274759
LIN+PRE,0.22280030962095557
BDQ+PRE,0.10622172514371092
BDQ+LIN,0.33594251980251566
MOX+RIF,0.07445679388691401
BDQ+LIN+PRE,0.04307520074789933
EMB+INH+PZA+RIF,0.021819514474433463
LIN+PRE,0.17484256346692353
BDQ+LIN+PRE,0.04997375325163779
LIN+PRE,0.5067430183918465
BDQ+DEL,-0.01422700371852305
EMB+MOX+PZA+RIF,0.4600563026614932
BDQ+LIN+PRE,0.21796482356107266
INH+PZA,0.033729854152463386
PZA+RIF,0.04338340580504837
LIN+PRE,0.20895171543477611
PZA+RIF,0.41533675123161373
BDQ+LIN+PRE,-0.33483892411393407
BDQ+PRE,0.0031094935464908904
BDQ+LIN,0.003938296069557936
BDQ+DEL,0.026530016195704588
EMB+MOX+PZA+RIF,-0.2795522520935708
EMB+INH+PZA+RIF,-0.003753578775916555
BDQ+PRE,-0.04778784643458879
PZA+RIF,0.7089988527362627
PZA+RIF,-0.10178492042017791
EMB+INH+PZA+RIF,-0.15625762813979116
BDQ+DEL,0.06133071382514646
BDQ+DEL,-0.4994869136436042
BDQ+LIN+PRE,-0.12773379360133788
MOX+RIF,0.5070406072067657
INH+PZA,0.1683845235510769
BDQ+DEL,0.2851418754093393
MOX+RIF,0.09502411488572489
BDQ+PRE,0.1261567931638851
MOX+RIF,0.08139561598058206
INH+PZA,0.046041558167834035
MOX+RIF,0.12240984389448041
PZA+RIF,0.4540172208222983
BDQ+PRE,0.23431035741593698
BDQ+LIN+PRE,0.02490948048862772
EMB+MOX+PZA+RIF,0.7129669773906451
BDQ+LIN+PRE,0.040295257259973544
MOX+RIF,0.4801361683229666
PZA+RIF,0.12989532286468874
MOX+RIF,-0.03614873999311081
BDQ+LIN+PRE,-0.19848586530882253
BDQ+LIN+PRE,-0.30271633289175703
EMB+INH+PZA+RIF,0.15213164440197263
BDQ+LIN,0.12811333128130112
BDQ+LIN+PRE,0.07530466207973352
LIN+PRE,0.2455770865368381
PZA+RIF,-0.06389239377873453
MOX+RIF,0.40350061685781446
INH+PZA,0.023011928689381306
BDQ+LIN,-0.21586261724244882
LIN+PRE,0.5572860914716512
PZA+RIF,0.41252404683085125
BDQ+DEL,-0.029876151660733406
BDQ+LIN+PRE,0.049959730377241926
LIN+PRE,0.23188338988123436
INH+PZA,-0.12345831043318892
LIN+PRE,0.49896369575478555
EMB+MOX+PZA+RIF,0.08664871900967763
EMB+INH+PZA+RIF,0.06994174170494227
EMB+MOX+PZA+RIF,0.003532103501818473
EMB+INH+PZA+RIF,0.04208900509376902
BDQ+PRE,0.12115462443528656
EMB+MOX+PZA+RIF,-0.19782764805889322
PZA+RIF,0.5065608035671347
BDQ+LIN,0.1279513382716952
MOX+RIF,0.12284824323768066
BDQ+PRE,0.1035397183509238
EMB+MOX+PZA+RIF,0.11348875681404222
BDQ+DEL,0.24241204338285707
EMB+INH+PZA+RIF,-0.008925909039146553
MOX+RIF,0.4073451738863686
EMB+MOX+PZA+RIF,0.03502322688759247
