Compound,SHAP
BDQ+LIN,-0.1665144349555731
MOX+RIF,0.12996630779644272
INH+PZA,0.05194919048549325
BDQ+PRE,0.18034095873196973
BDQ+LIN+PRE,0.43954540791697233
PZA+RIF,0.21606947919850567
BDQ+LIN+PRE,-0.08091612439578197
MOX+RIF,0.044065548053427356
BDQ+DEL,-0.0458899936686542
EMB+INH+PZA+RIF,-0.7835384250622129
INH+PZA,-0.08786260297463226
MOX+RIF,0.14303033881480437
LIN+PRE,0.49494757636440123
BDQ+PRE,0.34117278045822186
BDQ+DEL,-0.6670952586403732
PZA+RIF,0.09411179442019017
MOX+RIF,0.1551600011294973
BDQ+DEL,-0.29083948613290145
PZA+RIF,0.535788393056028
EMB+INH+PZA+RIF,-0.09026157064646445
BDQ+PRE,0.05307004617494635
BDQ+LIN+PRE,-0.49358977838947565
LIN+PRE,0.2187551372209998
PZA+RIF,0.21090139365343452
LIN+PRE,0.28319220492995717
INH+PZA,-0.06449066764566606
BDQ+LIN,0.062329616064078844
EMB+MOX+PZA+RIF,0.5558550619248326
BDQ+DEL,0.15108408150805863
MOX+RIF,0.11909747491858279
INH+PZA,0.1222116759550009
INH+PZA,-0.27087835051573617
EMB+MOX+PZA+RIF,0.12637090668248283
BDQ+PRE,-0.014361629622044507
BDQ+PRE,0.0865794262878209
LIN+PRE,0.12650361791556294
MOX+RIF,0.0015345748967012464
EMB+INH+PZA+RIF,-0.1533832062723986
PZA+RIF,0.32967335591015906
EMB+INH+PZA+RIF,0.21320713458789195
EMB+MOX+PZA+RIF,0.26778277855244664
LIN+PRE,0.21959629576039436
PZA+RIF,0.19000157080073948
INH+PZA,-0.17978646316637584
EMB+MOX+PZA+RIF,0.06937689269791819
BDQ+PRE,0.253060415109805
BDQ+PRE,-0.022007184986245713
EMB+INH+PZA+RIF,0.05914709563673715
EMB+MOX+PZA+RIF,0.2445892253092185
BDQ+LIN,-0.08900381213384258
BDQ+LIN,-0.20695316026159535
MOX+RIF,-0.042440232702647344
EMB+MOX+PZA+RIF,0.24196696500740483
BDQ+LIN,-0.14207906911990548
BDQ+DEL,-0.22258823213926995
MOX+RIF,0.2997337148704966
EMB+INH+PZA+RIF,0.24025364924469647
BDQ+PRE,0.11865352337780191
BDQ+PRE,0.31160684862932236
BDQ+DEL,-0.3717253453590728
MOX+RIF,0.27872059806002597
BDQ+LIN+PRE,-0.0739859000272105
EMB+INH+PZA+RIF,-0.09562703853985483
LIN+PRE,0.11874650338019768
PZA+RIF,0.2311039819427787
BDQ+PRE,0.10443556917233902
EMB+MOX+PZA+RIF,0.4201091055786846
MOX+RIF,0.058679498260601315
BDQ+LIN,-0.12464971984364492
BDQ+DEL,0.029077586640570773
BDQ+LIN,-0.20979046637150173
BDQ+LIN,-0.6947501124264113
BDQ+LIN+PRE,-0.10426580521553411
INH+PZA,-0.5327261123570946
PZA+RIF,0.201257667091682
INH+PZA,0.1083184122062016
BDQ+LIN+PRE,-0.4331155805184479
EMB+MOX+PZA+RIF,0.3254085264138452
MOX+RIF,0.05410283235718717
BDQ+PRE,0.16458230909889252
BDQ+LIN,-0.9383658405550641
MOX+RIF,0.007315904330695603
BDQ+PRE,0.2290674818568599
INH+PZA,-0.042112646189830204
BDQ+LIN,0.1282199057736978
INH+PZA,-0.33846410380988406
EMB+MOX+PZA+RIF,0.1539903248112107
INH+PZA,-0.7103541091896339
BDQ+DEL,-0.3249721521646805
BDQ+PRE,0.09759062304447558
BDQ+LIN+PRE,-0.7743512607605402
INH+PZA,-0.08143564363895062
EMB+MOX+PZA+RIF,0.1348530778891245
EMB+INH+PZA+RIF,-0.09155965148345122
BDQ+PRE,0.01951185152195494
INH+PZA,-0.6228339420159646
BDQ+LIN,-0.1051110458720035
EMB+MOX+PZA+RIF,0.30919673604884346
BDQ+LIN+PRE,-1.126926304402071
BDQ+LIN,-0.14403749396530305
INH+PZA,0.18541247622706644
EMB+MOX+PZA+RIF,0.2534656186877267
BDQ+LIN,-0.13768611931443636
BDQ+DEL,0.2929084709226749
PZA+RIF,0.10193097990834302
MOX+RIF,0.10722198751798992
BDQ+DEL,0.00608901522740491
BDQ+LIN,-0.5607738832367596
PZA+RIF,0.3232728605238095
PZA+RIF,0.13072577409869815
LIN+PRE,0.20339056485162937
BDQ+DEL,-0.29319074292157055
BDQ+LIN,-0.014322731276419164
EMB+MOX+PZA+RIF,0.4658728903802657
LIN+PRE,0.5075319306540359
PZA+RIF,0.2250752008075305
LIN+PRE,0.21403988003823765
EMB+MOX+PZA+RIF,0.4249961548538782
BDQ+DEL,0.15972675354593188
BDQ+LIN+PRE,-0.6462314630758964
EMB+MOX+PZA+RIF,0.3442528755411559
LIN+PRE,0.12777522871546332
MOX+RIF,0.0798297969879483
BDQ+DEL,-0.2997917040758975
PZA+RIF,0.16554361456829766
LIN+PRE,0.2807905776524167
BDQ+PRE,0.07975010702466705
LIN+PRE,0.1337252213341111
BDQ+PRE,0.08829025556261538
BDQ+LIN+PRE,-0.46872164133156363
INH+PZA,-0.3056530938017803
BDQ+LIN,-0.16811297468571385
EMB+MOX+PZA+RIF,0.3433558887669963
BDQ+LIN,0.030662140608732017
LIN+PRE,0.2875801911411738
LIN+PRE,0.39622921223065977
BDQ+PRE,0.12082584218771407
BDQ+LIN,-0.12767053479986432
MOX+RIF,0.08769467554624774
BDQ+LIN+PRE,-0.09166374526275749
EMB+INH+PZA+RIF,0.22356500323466041
LIN+PRE,0.8571588347450918
BDQ+LIN+PRE,0.20708126504577026
LIN+PRE,0.1579097364307856
BDQ+DEL,-0.1133348876115559
EMB+MOX+PZA+RIF,0.2689135684457737
BDQ+LIN+PRE,-0.48451247855035096
INH+PZA,-0.08391604247779526
PZA+RIF,0.07283390428274344
LIN+PRE,0.4173431092115313
PZA+RIF,0.13488592464681723
BDQ+LIN+PRE,-1.2478727690106453
BDQ+PRE,-0.01311970046386244
BDQ+LIN,-0.36265549308150635
BDQ+DEL,-0.036146927052696474
EMB+MOX+PZA+RIF,0.17987081190341694
EMB+INH+PZA+RIF,-0.8817111636939203
BDQ+PRE,0.09929162026478694
PZA+RIF,0.10338524239810118
PZA+RIF,0.008858185427968669
EMB+INH+PZA+RIF,-0.0746525409076357
BDQ+DEL,0.21080041390338822
BDQ+DEL,-0.4749839697376631
BDQ+LIN+PRE,-0.4242816975401419
MOX+RIF,0.2638224252298529
INH+PZA,-0.27712395352930985
BDQ+DEL,0.5675928108860616
MOX+RIF,0.09187992358683263
BDQ+PRE,-0.03611014816285205
MOX+RIF,0.031301665936778494
INH+PZA,-0.17660473907285615
MOX+RIF,0.09726910186293086
PZA+RIF,0.3130246287916028
BDQ+PRE,0.2646919204952395
BDQ+LIN+PRE,-0.3938916179172221
EMB+MOX+PZA+RIF,0.6572842596294367
BDQ+LIN+PRE,-0.4849927648580968
MOX+RIF,0.4258609195708372
PZA+RIF,0.17545035043599386
MOX+RIF,0.2614723733415034
BDQ+LIN+PRE,0.12928701964325348
BDQ+LIN+PRE,-0.1140689179013224
EMB+INH+PZA+RIF,-0.7078186691976508
BDQ+LIN,-0.1708820203597606
BDQ+LIN+PRE,0.1005240764098272
LIN+PRE,0.7725772968157835
PZA+RIF,0.11469093541088421
MOX+RIF,0.19579633839620406
INH+PZA,-0.47118151862091395
BDQ+LIN,-1.0806473576585203
LIN+PRE,0.19556115723437675
PZA+RIF,0.23979775088719948
