Compound,SHAP
BDQ+LIN,-0.08679152116021939
MOX+RIF,0.39191263301019647
INH+PZA,-0.04065959995395606
BDQ+PRE,0.36999387868843897
BDQ+LIN+PRE,0.16128893989260534
PZA+RIF,-0.17599971243988619
BDQ+LIN+PRE,0.11504420637547635
MOX+RIF,0.27019678618426457
BDQ+DEL,-0.30912257342916427
EMB+INH+PZA+RIF,-0.3879458299310618
INH+PZA,-0.23578337318103926
MOX+RIF,0.23314147804292906
LIN+PRE,0.32487075292877443
BDQ+PRE,0.13233233075460424
BDQ+DEL,-0.12747923169897377
PZA+RIF,-0.1452475483956628
MOX+RIF,0.1294648712152883
BDQ+DEL,-0.224192466475047
PZA+RIF,-0.19158742428762437
EMB+INH+PZA+RIF,-0.16497760666864175
BDQ+PRE,-0.07176029048214702
BDQ+LIN+PRE,-0.1256153391931508
LIN+PRE,0.2061517819244372
PZA+RIF,-0.2191909452472294
LIN+PRE,0.18096871092191275
INH+PZA,-0.06362533199271553
BDQ+LIN,-0.06600621066374115
EMB+MOX+PZA+RIF,0.25702608879717953
BDQ+DEL,-0.10537949443706444
MOX+RIF,0.1313258564332356
INH+PZA,-0.0023049228736703497
INH+PZA,-0.02035953585597059
EMB+MOX+PZA+RIF,0.05785288700906168
BDQ+PRE,0.12874043061645526
BDQ+PRE,0.06522552338636198
LIN+PRE,0.0870012834175535
MOX+RIF,0.11583446199943986
EMB+INH+PZA+RIF,-0.16403043047738336
PZA+RIF,-0.25728786340916765
EMB+INH+PZA+RIF,-0.12438237281177839
EMB+MOX+PZA+RIF,0.18096959971770432
LIN+PRE,0.3981728118585883
PZA+RIF,-0.16415053138649657
INH+PZA,0.41110308330758116
EMB+MOX+PZA+RIF,0.07229736814711885
BDQ+PRE,0.4091210416043997
BDQ+PRE,0.07108549228343071
EMB+INH+PZA+RIF,-0.12146752241117831
EMB+MOX+PZA+RIF,0.2141261450811841
BDQ+LIN,-0.10275271183509471
BDQ+LIN,-0.12247092904581068
MOX+RIF,0.09062076363734739
EMB+MOX+PZA+RIF,0.21124815565390379
BDQ+LIN,-0.12297114754784291
BDQ+DEL,-0.040948094879397046
MOX+RIF,0.2848173390554172
EMB+INH+PZA+RIF,-0.17709478855216504
BDQ+PRE,0.47447640232551525
BDQ+PRE,0.5057894151343878
BDQ+DEL,-0.12897481336341757
MOX+RIF,0.41739268950191344
BDQ+LIN+PRE,0.16143379125057375
EMB+INH+PZA+RIF,-0.13439659584256747
LIN+PRE,0.1364167158426183
PZA+RIF,-0.17338499909207383
BDQ+PRE,0.02172627083464045
EMB+MOX+PZA+RIF,0.20194927098256613
MOX+RIF,0.15714218443812364
BDQ+LIN,-0.17484493443289206
BDQ+DEL,-0.08385031998167336
BDQ+LIN,-0.3945265892093681
BDQ+LIN,-0.25119022338013325
BDQ+LIN+PRE,0.1858403037722785
INH+PZA,0.5544470816365202
PZA+RIF,-0.2624205182910724
INH+PZA,0.07126536287462061
BDQ+LIN+PRE,0.0023197940201622465
EMB+MOX+PZA+RIF,0.12360892837227118
MOX+RIF,0.253742128112863
BDQ+PRE,-0.09092514564083158
BDQ+LIN,-0.3341991025673116
MOX+RIF,0.32766800540096996
