Compound,SHAP
BDQ+LIN,-0.6011994302740783
MOX+RIF,-0.246707702897461
INH+PZA,-2.2867620248742297
BDQ+PRE,0.24084492019362233
BDQ+LIN+PRE,-0.21545267771272786
PZA+RIF,3.5365079671801145
BDQ+LIN+PRE,-0.7293370280823586
MOX+RIF,-0.5269290753239647
BDQ+DEL,-0.5743636491853004
EMB+INH+PZA+RIF,-0.6527838244876711
INH+PZA,-0.5411786294665185
MOX+RIF,-0.978189272181951
LIN+PRE,2.423512258705007
BDQ+PRE,0.15700804562331006
BDQ+DEL,-0.7095072497615538
PZA+RIF,0.9997438161273925
MOX+RIF,-0.6574717705379776
BDQ+DEL,-0.5531381976132457
PZA+RIF,3.53266190021555
EMB+INH+PZA+RIF,-0.5541815231783127
BDQ+PRE,0.12163792829977284
BDQ+LIN+PRE,-0.5501289425767559
LIN+PRE,0.8683274083140801
PZA+RIF,0.9304077867223365
LIN+PRE,1.1880234740353577
INH+PZA,-2.4087304679527755
BDQ+LIN,-0.6253574166687267
EMB+MOX+PZA+RIF,1.3856324690132822
BDQ+DEL,-0.7094431066367971
MOX+RIF,-0.5223852742525714
INH+PZA,-0.44890570729182855
INH+PZA,-0.5389605129312379
EMB+MOX+PZA+RIF,0.7684407135884844
BDQ+PRE,0.03189646337462174
BDQ+PRE,0.27374143059788236
LIN+PRE,0.6543235485172672
MOX+RIF,-1.9385315840813848
EMB+INH+PZA+RIF,-0.5301866564510402
PZA+RIF,2.36992941032726
EMB+INH+PZA+RIF,-1.6125942678721166
EMB+MOX+PZA+RIF,0.9502256006483126
LIN+PRE,1.005327176416966
PZA+RIF,0.9892743606975786
INH+PZA,-0.6341214837460611
EMB+MOX+PZA+RIF,0.678770792792308
BDQ+PRE,0.1581143970014398
BDQ+PRE,0.7674667235268695
EMB+INH+PZA+RIF,-2.1043254465794945
EMB+MOX+PZA+RIF,0.9642314867538919
BDQ+LIN,-0.6150612912631805
BDQ+LIN,-0.5678812178552374
MOX+RIF,-0.6318019898640274
EMB+MOX+PZA+RIF,0.9346171324619178
BDQ+LIN,-2.3756672737940674
BDQ+DEL,-2.743784977945023
MOX+RIF,-1.5465221222767236
EMB+INH+PZA+RIF,-2.729582457103778
BDQ+PRE,-0.14715125468418078
BDQ+PRE,0.20914862342374677
