Compound,SHAP
BDQ+LIN,-0.2104091504206005
MOX+RIF,0.474980635086324
INH+PZA,-0.22940123512015287
BDQ+PRE,-0.521177438735127
BDQ+LIN+PRE,0.4327892895898008
PZA+RIF,0.19669669446704652
BDQ+LIN+PRE,0.0899570648199257
MOX+RIF,0.06671157835329886
BDQ+DEL,0.10830803462744729
EMB+INH+PZA+RIF,-0.8066439450750832
INH+PZA,-0.8103135944069855
MOX+RIF,-0.052888097506265754
LIN+PRE,0.0757267573772765
BDQ+PRE,-0.5454619400211721
BDQ+DEL,0.1393235973142062
PZA+RIF,0.06561795299378417
MOX+RIF,0.33722213498346887
BDQ+DEL,0.10947769733810671
PZA+RIF,0.12445620601765112
EMB+INH+PZA+RIF,-0.267740939972003
BDQ+PRE,-0.7132253714826574
BDQ+LIN+PRE,-0.06636292906613943
LIN+PRE,0.27669294068608646
PZA+RIF,0.43240519111866166
LIN+PRE,0.09545791607853482
INH+PZA,-0.2309823730699694
BDQ+LIN,-0.5902668952481357
EMB+MOX+PZA+RIF,0.1741695040941495
BDQ+DEL,0.39710977045921786
MOX+RIF,0.15735391127669573
INH+PZA,-0.2744534605179716
INH+PZA,-0.22945486317682892
EMB+MOX+PZA+RIF,0.19720311196599632
BDQ+PRE,-0.7316197550465044
BDQ+PRE,-0.12414979299009948
LIN+PRE,0.17300750293032283
MOX+RIF,0.16476682125756117
EMB+INH+PZA+RIF,-0.1937456712269173
PZA+RIF,0.19231578047543887
EMB+INH+PZA+RIF,-0.2221844895989293
EMB+MOX+PZA+RIF,0.6909889986352994
LIN+PRE,0.2757343042587671
PZA+RIF,0.5445352705326986
INH+PZA,-0.076838081211054
EMB+MOX+PZA+RIF,0.15575907466433833
BDQ+PRE,-0.8942850703071042
BDQ+PRE,-0.25462820875314596
EMB+INH+PZA+RIF,-0.2201331111353531
EMB+MOX+PZA+RIF,0.5048834882982648
BDQ+LIN,-0.4254408217293489
BDQ+LIN,-0.20669878184002666
MOX+RIF,0.150335208601177
EMB+MOX+PZA+RIF,0.17127421436071574
BDQ+LIN,-0.2307121650374853
BDQ+DEL,0.09722396901403861
MOX+RIF,0.13952546778972452
EMB+INH+PZA+RIF,-0.23155772241539754
BDQ+PRE,-0.877844516637543
BDQ+PRE,-0.6012210247279828
BDQ+DEL,0.1504579347849387
MOX+RIF,0.5870934930350079
BDQ+LIN+PRE,0.09208054491886505
EMB+INH+PZA+RIF,-0.27155758559130805
LIN+PRE,0.3119443843893226
PZA+RIF,0.5562921176849519
BDQ+PRE,-0.21343557058412516
EMB+MOX+PZA+RIF,0.5383451375761984
MOX+RIF,0.21765983371254535
BDQ+LIN,-0.1981189351788573
BDQ+DEL,0.254644969595508
BDQ+LIN,-0.9397107619995834
BDQ+LIN,-0.6946519536346161
BDQ+LIN+PRE,0.248674499816741
INH+PZA,-0.5420611334289146
PZA+RIF,0.6186645537348996
INH+PZA,-0.23647551606018968
BDQ+LIN+PRE,0.06373723144304627
EMB+MOX+PZA+RIF,0.15408208005759438
MOX+RIF,0.27237742282097177
BDQ+PRE,-0.45172931686342793
BDQ+LIN,-0.6770086388794045
MOX+RIF,0.3536656374381048
BDQ+PRE,-0.2436237552590396
INH+PZA,-0.2474553259105251
BDQ+LIN,-0.23040598185232017
INH+PZA,-0.21991531824586702
EMB+MOX+PZA+RIF,0.24293405812921257
INH+PZA,-1.0092388602092446
BDQ+DEL,0.11336471008912441
BDQ+PRE,-0.16947421800491633
BDQ+LIN+PRE,0.0968384134898768
INH+PZA,-0.6776842430342834
EMB+MOX+PZA+RIF,0.1782192902522334
EMB+INH+PZA+RIF,-0.19464620928904433
BDQ+PRE,-0.14955949790659673
INH+PZA,-0.6936676401601419
BDQ+LIN,-0.2621883613573459
EMB+MOX+PZA+RIF,0.771930999114955
BDQ+LIN+PRE,0.08689310181956315
BDQ+LIN,-0.36140515516266286
INH+PZA,-0.21516673736941733
EMB+MOX+PZA+RIF,0.15769606168590386
BDQ+LIN,-0.2252573894781862
BDQ+DEL,0.3638472583222071
PZA+RIF,0.15169837355899546
MOX+RIF,0.8183275552857525
BDQ+DEL,0.4727379409779805
BDQ+LIN,-0.3349561533848163
PZA+RIF,0.7071899948436002
PZA+RIF,0.3418888929276035
LIN+PRE,0.06045500151501012
BDQ+DEL,0.1128452684447492
BDQ+LIN,-0.2002532686089717
EMB+MOX+PZA+RIF,0.45980914914293697
LIN+PRE,0.10270943555921873
PZA+RIF,0.16032433904677196
LIN+PRE,0.2928901215885933
EMB+MOX+PZA+RIF,0.42339715405336803
BDQ+DEL,0.200038876529869
BDQ+LIN+PRE,0.15915409376631923
EMB+MOX+PZA+RIF,0.15163887725744254
LIN+PRE,0.18620939127330988
MOX+RIF,0.14656634064874266
BDQ+DEL,0.1462146287572153
PZA+RIF,0.6862284022680865
LIN+PRE,0.11753817814367654
BDQ+PRE,-0.15894147775720047
LIN+PRE,0.024742630453533095
BDQ+PRE,-0.3159612777598645
BDQ+LIN+PRE,0.11389302189424348
INH+PZA,-0.729257947026192
BDQ+LIN,-0.39588922198086396
EMB+MOX+PZA+RIF,0.17624208921349735
BDQ+LIN,-0.1782960747687698
LIN+PRE,0.27981398250074463
LIN+PRE,0.06683574915193422
BDQ+PRE,-0.515745351004356
BDQ+LIN,-0.2182933314799335
MOX+RIF,0.1255324045679307
BDQ+LIN+PRE,0.011364369762777214
EMB+INH+PZA+RIF,-0.448861049903253
LIN+PRE,0.06752279008820081
BDQ+LIN+PRE,0.450779337596923
LIN+PRE,0.11089396489163524
BDQ+DEL,0.11095997435253371
EMB+MOX+PZA+RIF,0.1811228354860934
BDQ+LIN+PRE,-0.06914595389261742
INH+PZA,-0.21794664530610278
PZA+RIF,0.2667111923596353
LIN+PRE,0.08927776043949531
PZA+RIF,0.42446969333478407
BDQ+LIN+PRE,0.06624845442041898
BDQ+PRE,-0.5004549955190893
BDQ+LIN,-0.5778605846611248
BDQ+DEL,0.0962775228056708
EMB+MOX+PZA+RIF,0.08789164707771212
EMB+INH+PZA+RIF,-0.9707470971967108
BDQ+PRE,-0.10502817038671149
PZA+RIF,0.1960236597465068
PZA+RIF,0.14617301150667636
EMB+INH+PZA+RIF,-0.2664396118191416
BDQ+DEL,0.30249450583035753
BDQ+DEL,0.1147472292636951
BDQ+LIN+PRE,0.09271355926615879
MOX+RIF,0.41029632065009003
INH+PZA,-0.19625425879732397
BDQ+DEL,0.16492939409299834
MOX+RIF,0.08947065737936154
BDQ+PRE,-0.17583209958473567
MOX+RIF,0.16202460640580368
INH+PZA,-0.1598579100522833
MOX+RIF,0.23706995250516877
PZA+RIF,0.3757973480885256
BDQ+PRE,-0.4426724860410027
BDQ+LIN+PRE,0.045968803057977695
EMB+MOX+PZA+RIF,0.41993516855553864
BDQ+LIN+PRE,0.12628126684992735
MOX+RIF,0.36844626023042154
PZA+RIF,0.41465937265060443
MOX+RIF,0.08700626522512916
BDQ+LIN+PRE,0.17152764684349336
BDQ+LIN+PRE,0.06651817753615315
EMB+INH+PZA+RIF,-0.7808784816894848
BDQ+LIN,-0.419348051247714
BDQ+LIN+PRE,0.08727925849784417
LIN+PRE,0.06722075565969314
PZA+RIF,0.18914814655967374
MOX+RIF,0.39539888402894
INH+PZA,-0.3167449033874045
BDQ+LIN,-0.8214322235343418
LIN+PRE,0.18921695024607613
PZA+RIF,0.9146990189648888
BDQ+DEL,0.07248039819463263
BDQ+LIN+PRE,0.16988540972437044
LIN+PRE,0.028541500554265575
INH+PZA,-0.354837736134659
LIN+PRE,0.12107128471619036
EMB+MOX+PZA+RIF,0.30537338925165053
EMB+INH+PZA+RIF,-0.6956764360251445
EMB+MOX+PZA+RIF,0.23635654747776494
EMB+INH+PZA+RIF,-0.21370745620085688
BDQ+PRE,-0.6979549403943364
EMB+MOX+PZA+RIF,0.04619300622293805
PZA+RIF,0.7282279729764307
BDQ+LIN,-0.18003173164886074
MOX+RIF,0.10634977073718321
BDQ+PRE,-0.02034480571772697
EMB+MOX+PZA+RIF,0.14259736964337316
BDQ+DEL,0.07327804722783306
EMB+INH+PZA+RIF,-0.2859010902083184
MOX+RIF,0.44703265219657273
EMB+MOX+PZA+RIF,0.2788439844820397
