Compound,SHAP
BDQ+LIN,-0.35286372242312836
MOX+RIF,0.3519473808575443
INH+PZA,-0.19559800849579662
BDQ+PRE,-0.25057310742011896
BDQ+LIN+PRE,1.1685543216154535
PZA+RIF,0.5461559245313674
BDQ+LIN+PRE,0.8765387933221376
MOX+RIF,0.40724671342484126
BDQ+DEL,-0.2545733583421596
EMB+INH+PZA+RIF,-0.6830682653694252
INH+PZA,-0.7091125028367234
MOX+RIF,0.2980636199862871
LIN+PRE,-0.1690192354195327
BDQ+PRE,-0.37060891220088243
BDQ+DEL,-0.4037266646383695
PZA+RIF,0.26278826191968835
MOX+RIF,0.10162619097950204
BDQ+DEL,-0.30655666237961693
PZA+RIF,0.285479223116842
EMB+INH+PZA+RIF,-0.3138597045327798
BDQ+PRE,-0.42061576196151296
BDQ+LIN+PRE,0.12917648180321512
LIN+PRE,-0.1832107112624943
PZA+RIF,0.844367798373344
LIN+PRE,0.11323309970661753
INH+PZA,-0.32380572702101806
BDQ+LIN,-0.5720741245095099
EMB+MOX+PZA+RIF,0.38086439631485025
BDQ+DEL,-0.32602812890205424
MOX+RIF,0.2846356332659616
INH+PZA,-0.46398688075365624
INH+PZA,-0.3368069194376166
EMB+MOX+PZA+RIF,0.9524268729064091
BDQ+PRE,-0.7428927152667725
BDQ+PRE,-0.32609958174955095
LIN+PRE,-0.17359654528481355
MOX+RIF,0.09999952479343253
EMB+INH+PZA+RIF,-0.25297285030864886
PZA+RIF,0.4408441143184668
EMB+INH+PZA+RIF,-0.2673782168559609
EMB+MOX+PZA+RIF,0.7596700256868849
LIN+PRE,-0.15312014205197924
PZA+RIF,0.4951941894941149
INH+PZA,-0.20353677086896013
EMB+MOX+PZA+RIF,0.6104642765903935
BDQ+PRE,-0.5550750096774039
BDQ+PRE,-0.2430763054496616
EMB+INH+PZA+RIF,-0.5086905637157579
EMB+MOX+PZA+RIF,0.7646262929888342
BDQ+LIN,-0.5208992184514502
BDQ+LIN,-0.3793242294338331
MOX+RIF,0.12282431554672474
EMB+MOX+PZA+RIF,0.6898445784811807
BDQ+LIN,-0.5654213201194358
BDQ+DEL,-0.5973632625075608
MOX+RIF,0.10929786608549476
EMB+INH+PZA+RIF,-0.27196560519546575
BDQ+PRE,-1.054434584240352
BDQ+PRE,-0.48426802803001684
BDQ+DEL,-0.2561971720159098
MOX+RIF,0.7342154300820927
BDQ+LIN+PRE,0.48923974500862427
EMB+INH+PZA+RIF,-0.03355047320729417
LIN+PRE,-0.4829784705987677
PZA+RIF,1.292786918137469
BDQ+PRE,-0.367096644317323
EMB+MOX+PZA+RIF,0.7087309288964821
MOX+RIF,0.24281667961034442
BDQ+LIN,-0.4190893516032361
BDQ+DEL,0.039314419072939824
BDQ+LIN,-0.5574187000959964
BDQ+LIN,-0.611870353105038
BDQ+LIN+PRE,2.272890435718576
INH+PZA,-0.4996977007832712
PZA+RIF,1.0166540770976076
INH+PZA,-0.22874488946505736
BDQ+LIN+PRE,0.5695819474355113
EMB+MOX+PZA+RIF,0.43761617108889567
MOX+RIF,0.23849016482292562
BDQ+PRE,-0.3340964894022371
BDQ+LIN,-0.8966083205008801
MOX+RIF,0.3010060087214897
BDQ+PRE,-0.9466260765714845
INH+PZA,-0.3052320868649982
BDQ+LIN,-0.34137924973191086
INH+PZA,-0.3517296554821365
EMB+MOX+PZA+RIF,0.8959033894939729
INH+PZA,-0.7045467395808325
BDQ+DEL,-0.31027434890170413
BDQ+PRE,-0.2947139449796268
BDQ+LIN+PRE,0.36522724425617986
INH+PZA,-1.3056852383602484
EMB+MOX+PZA+RIF,0.4735029465388403
EMB+INH+PZA+RIF,-0.4528742187398351
BDQ+PRE,-0.32597061318397413
INH+PZA,-0.4922326517622985
BDQ+LIN,-0.4699945992758054
EMB+MOX+PZA+RIF,0.7984345129121294
BDQ+LIN+PRE,0.3111846968775297
BDQ+LIN,-0.6426913799023204
INH+PZA,-0.18875968337121224
EMB+MOX+PZA+RIF,0.48488967849095416
BDQ+LIN,-0.33511455595696216
BDQ+DEL,-0.2816743151417133
PZA+RIF,0.19141437385288407
MOX+RIF,0.836557055970052
BDQ+DEL,-0.4257938162704264
BDQ+LIN,-0.39460581206529977
PZA+RIF,0.6735408542358399
PZA+RIF,0.682177892677852
LIN+PRE,-0.4659154697941536
BDQ+DEL,-0.2500940993173373
BDQ+LIN,-0.2467430220346415
EMB+MOX+PZA+RIF,1.0330417212126115
LIN+PRE,-0.09751583026330263
PZA+RIF,0.5452533475072098
LIN+PRE,-0.20362315908572007
EMB+MOX+PZA+RIF,1.7452388259922775
BDQ+DEL,-0.6143624819960875
BDQ+LIN+PRE,1.111223512113516
EMB+MOX+PZA+RIF,0.6822185519931535
LIN+PRE,-0.1616255341110498
MOX+RIF,0.3195006467411033
BDQ+DEL,-0.29727425043706746
PZA+RIF,1.009835068143311
LIN+PRE,-0.27359789654983907
BDQ+PRE,-0.13118867818653504
LIN+PRE,-0.5222296820010554
BDQ+PRE,-0.3373174182434147
BDQ+LIN+PRE,0.6797905701236859
INH+PZA,-0.5463345979552894
BDQ+LIN,-0.5395351825805698
EMB+MOX+PZA+RIF,0.6473727092097349
BDQ+LIN,-0.2689212621566018
LIN+PRE,-0.2761584631169739
LIN+PRE,-0.32543104047586546
BDQ+PRE,-0.5217033272694102
BDQ+LIN,-0.5175064378644706
MOX+RIF,0.12986320153699438
BDQ+LIN+PRE,0.12200325315815785
EMB+INH+PZA+RIF,-0.24509078694025674
LIN+PRE,-0.2815917489604551
BDQ+LIN+PRE,0.9768113495683081
LIN+PRE,-0.5972042293278127
BDQ+DEL,-0.4685593913817185
EMB+MOX+PZA+RIF,0.45572797323148784
BDQ+LIN+PRE,0.46495813126812263
INH+PZA,-0.2881607989379889
PZA+RIF,0.37898265089941197
LIN+PRE,-0.09347978699347204
PZA+RIF,0.5921102183300581
BDQ+LIN+PRE,0.2517835801910658
BDQ+PRE,-0.3858873894148695
BDQ+LIN,-0.3330246271399723
BDQ+DEL,-0.5154935330669921
EMB+MOX+PZA+RIF,0.4376379652946781
EMB+INH+PZA+RIF,-1.130572218019777
BDQ+PRE,-0.13045928079662056
PZA+RIF,0.9355648902898278
PZA+RIF,0.2843157567691742
EMB+INH+PZA+RIF,-0.3245325244407193
BDQ+DEL,-0.0372104948011219
BDQ+DEL,-0.308998669566514
BDQ+LIN+PRE,0.26581373332636526
MOX+RIF,0.612267087967508
INH+PZA,-0.16515104873039108
BDQ+DEL,-0.9070235028881304
MOX+RIF,0.05227004515172082
BDQ+PRE,-0.07248747183274477
MOX+RIF,0.16162650606626217
INH+PZA,-0.29573299225084104
MOX+RIF,0.39757439396725297
PZA+RIF,0.9025289960318665
BDQ+PRE,-0.8258478415244905
BDQ+LIN+PRE,0.4783075930176016
EMB+MOX+PZA+RIF,0.23368583129323733
BDQ+LIN+PRE,1.0692650301803925
MOX+RIF,0.415772103753121
PZA+RIF,0.13226878031329076
MOX+RIF,0.24247808642190793
BDQ+LIN+PRE,0.5742792103595444
BDQ+LIN+PRE,0.31282622560729406
EMB+INH+PZA+RIF,-0.822372686903158
BDQ+LIN,-0.7037953114296653
BDQ+LIN+PRE,0.46815637614338523
LIN+PRE,-0.1656910193288931
PZA+RIF,-0.024790957396092873
MOX+RIF,0.457979225705921
INH+PZA,-0.5393993845369662
BDQ+LIN,-0.8827180389737628
LIN+PRE,-0.07625257761077141
PZA+RIF,1.2069565177338657
BDQ+DEL,-0.5971079955936737
BDQ+LIN+PRE,0.5357574704946669
LIN+PRE,-0.2944129199553619
INH+PZA,-0.5326235445698512
LIN+PRE,-0.47335496007829914
EMB+MOX+PZA+RIF,1.022643470800608
EMB+INH+PZA+RIF,-0.5472943327553571
EMB+MOX+PZA+RIF,0.7139492704166773
EMB+INH+PZA+RIF,-0.5606746333339798
BDQ+PRE,-0.3583073825763402
EMB+MOX+PZA+RIF,0.26966004023502016
PZA+RIF,0.8839768411258032
BDQ+LIN,-0.3044724904665924
MOX+RIF,0.25439934469938463
BDQ+PRE,-0.24971399043864023
EMB+MOX+PZA+RIF,0.30230677141085266
BDQ+DEL,-0.9926558135579482
EMB+INH+PZA+RIF,-0.37933319578969843
MOX+RIF,0.20659853538868925
EMB+MOX+PZA+RIF,0.8221850924900149
