Compound,SHAP
BDQ+LIN,-1.188646448856803
MOX+RIF,2.2026058132830046
INH+PZA,-1.0952544299800613
BDQ+PRE,-1.0587638421130774
BDQ+LIN+PRE,1.89069113945632
PZA+RIF,1.287208111531989
BDQ+LIN+PRE,2.8274373141023355
MOX+RIF,1.0665537085805024
BDQ+DEL,-2.523712202386098
EMB+INH+PZA+RIF,-3.370833295387558
INH+PZA,-1.7379414876320525
MOX+RIF,-0.12427647195711279
LIN+PRE,0.945356206458723
BDQ+PRE,-1.2919313620253028
BDQ+DEL,-1.8439091950693096
PZA+RIF,1.3503761223352309
MOX+RIF,0.5255312754391958
BDQ+DEL,-1.1553802385776586
PZA+RIF,1.5137891243174764
EMB+INH+PZA+RIF,-1.176860823716264
BDQ+PRE,-1.8369957078457275
BDQ+LIN+PRE,-0.25268498653548427
LIN+PRE,2.546179043795254
PZA+RIF,3.0448767191252077
LIN+PRE,1.523510319203536
INH+PZA,-0.8809709104282578
BDQ+LIN,-1.6772308136055367
EMB+MOX+PZA+RIF,0.8664705474254618
BDQ+DEL,-1.73525794778743
MOX+RIF,1.4617127987218548
INH+PZA,-0.8172755179035421
INH+PZA,-1.1569743882241879
EMB+MOX+PZA+RIF,1.481530730455012
BDQ+PRE,-3.0734306956460498
BDQ+PRE,-1.2695652090922405
LIN+PRE,1.4975301864238089
MOX+RIF,0.5581825928619352
EMB+INH+PZA+RIF,-1.0696657580917537
PZA+RIF,1.0619086229829284
EMB+INH+PZA+RIF,-1.2405451786927852
EMB+MOX+PZA+RIF,2.2519679239927224
LIN+PRE,3.122949606867319
PZA+RIF,2.113006373425223
INH+PZA,-1.18012408908812
EMB+MOX+PZA+RIF,1.282375573343388
BDQ+PRE,-2.4828010342229745
BDQ+PRE,-0.7502114409504236
EMB+INH+PZA+RIF,-1.2368783582800307
EMB+MOX+PZA+RIF,2.067637063966671
BDQ+LIN,-1.2914381654985807
BDQ+LIN,-1.252647663288537
MOX+RIF,0.8236780581417065
EMB+MOX+PZA+RIF,2.222514310730002
BDQ+LIN,-1.1357706637666378
BDQ+DEL,-0.948585861936155
MOX+RIF,0.4197529552788024
EMB+INH+PZA+RIF,-1.2021096970553047
BDQ+PRE,-3.24615894131654
BDQ+PRE,-2.1563063355790018
BDQ+DEL,-1.5365586970006415
MOX+RIF,1.669761958914851
BDQ+LIN+PRE,1.7045737946025967
EMB+INH+PZA+RIF,-0.60146866110782
LIN+PRE,2.8698212187661576
PZA+RIF,3.7263381716937793
BDQ+PRE,-0.6558343894534506
EMB+MOX+PZA+RIF,2.122582318191126
MOX+RIF,1.2452533938313373
BDQ+LIN,-1.2550089781750982
BDQ+DEL,-1.291925987398049
BDQ+LIN,-3.3315597107793065
BDQ+LIN,-2.762371626004597
BDQ+LIN+PRE,5.911710126936487
INH+PZA,-2.6731207268428934
PZA+RIF,2.768519143485765
INH+PZA,-0.9617064485907099
BDQ+LIN+PRE,0.6260470848828374
EMB+MOX+PZA+RIF,1.0607142465480952
MOX+RIF,1.5588203341442297
BDQ+PRE,-1.7485844251045373
BDQ+LIN,-3.253188712902995
MOX+RIF,1.3918720352681209
BDQ+PRE,-3.20696403318513
INH+PZA,-0.8785252929516167
BDQ+LIN,-1.0767866748359423
INH+PZA,-0.7883160939757275
EMB+MOX+PZA+RIF,0.9641598737099693
INH+PZA,-2.466770046076453
BDQ+DEL,-1.3686063208979078
BDQ+PRE,-1.0609245731081254
BDQ+LIN+PRE,0.4751631586038661
INH+PZA,-4.578548301263722
EMB+MOX+PZA+RIF,1.0002155433254543
EMB+INH+PZA+RIF,-0.9619811090223056
BDQ+PRE,-1.840761573512292
INH+PZA,-2.0420206240477583
BDQ+LIN,-0.8405524484377656
EMB+MOX+PZA+RIF,2.8783091293407095
BDQ+LIN+PRE,0.43867337753277313
BDQ+LIN,-3.226357269580527
INH+PZA,-0.9214031451555629
EMB+MOX+PZA+RIF,0.9068885951049005
BDQ+LIN,-0.9576188069956577
BDQ+DEL,-1.8506862525330048
PZA+RIF,1.3414151848455953
MOX+RIF,2.512445990582499
BDQ+DEL,-2.6716548570423035
BDQ+LIN,-2.521627087129318
PZA+RIF,2.875056895535069
PZA+RIF,1.8629300714180996
LIN+PRE,1.4123877600193162
BDQ+DEL,-1.1746210666724148
BDQ+LIN,-1.0501113738118368
EMB+MOX+PZA+RIF,2.5819741057773635
LIN+PRE,1.3032317799532065
PZA+RIF,1.4487705846575683
LIN+PRE,1.7141020843745833
EMB+MOX+PZA+RIF,4.780880538601542
BDQ+DEL,-3.216379338543785
BDQ+LIN+PRE,1.4122454014640782
EMB+MOX+PZA+RIF,1.162616579452359
LIN+PRE,1.0889896840872255
MOX+RIF,1.6580209565976454
BDQ+DEL,-1.3598854124310793
PZA+RIF,2.900764981765559
LIN+PRE,1.118359872202323
BDQ+PRE,-0.8348984563686305
LIN+PRE,1.2896856861544954
BDQ+PRE,-0.8172552262172527
BDQ+LIN+PRE,0.6172757011070408
INH+PZA,-1.7900473166320936
BDQ+LIN,-1.2562513679087184
EMB+MOX+PZA+RIF,1.0109885805364525
BDQ+LIN,-1.3381481988675017
LIN+PRE,3.3528476419646913
LIN+PRE,0.9761767028485414
BDQ+PRE,-1.9352859697768843
BDQ+LIN,-1.5772088458156541
MOX+RIF,0.7310440757775366
BDQ+LIN+PRE,0.5080877829392086
