Compound,SHAP
BDQ+LIN,-0.14182143219375498
MOX+RIF,0.33589577149761163
INH+PZA,0.19583370534898686
BDQ+PRE,-0.16444589205299695
BDQ+LIN+PRE,-0.3229498019414464
PZA+RIF,0.2408471571580877
BDQ+LIN+PRE,-0.33209758628982655
MOX+RIF,0.5899585045577755
BDQ+DEL,0.21111625306021636
EMB+INH+PZA+RIF,-0.06860221537744912
INH+PZA,0.012761158913914885
MOX+RIF,0.6017188126832129
LIN+PRE,0.3842330801367465
BDQ+PRE,-0.08000021950767561
BDQ+DEL,-0.05855056965421447
PZA+RIF,0.02534529883444153
MOX+RIF,0.26493564912658074
BDQ+DEL,-0.04911369971330907
PZA+RIF,0.37913341887488305
EMB+INH+PZA+RIF,-0.12118600657119792
BDQ+PRE,-0.1187124523099722
BDQ+LIN+PRE,-0.32807320421543623
LIN+PRE,0.04285031371931851
PZA+RIF,0.22666324965736862
LIN+PRE,0.16823285655046555
INH+PZA,0.2223059266794911
BDQ+LIN,-0.21563743109627367
EMB+MOX+PZA+RIF,0.0707818361058672
BDQ+DEL,-0.21875101299763275
MOX+RIF,0.1297026954659955
INH+PZA,0.028931702070389056
INH+PZA,0.17880036692506707
EMB+MOX+PZA+RIF,0.123265757331158
BDQ+PRE,-0.45069081384905285
BDQ+PRE,-0.2685681070523661
LIN+PRE,0.0991711852991928
MOX+RIF,0.2991655473388533
EMB+INH+PZA+RIF,-0.04117149862685587
PZA+RIF,0.26089949041644794
EMB+INH+PZA+RIF,0.013032638298845463
EMB+MOX+PZA+RIF,0.3186793957698849
LIN+PRE,0.021849197140525474
PZA+RIF,-0.02839818032512788
INH+PZA,0.12923536975769073
EMB+MOX+PZA+RIF,0.04135415628334548
BDQ+PRE,-0.17688136778806207
BDQ+PRE,-0.35369646813110395
EMB+INH+PZA+RIF,-0.058871763297210035
EMB+MOX+PZA+RIF,0.24351763169750582
BDQ+LIN,-0.26381156105748516
BDQ+LIN,-0.3487807766431665
MOX+RIF,0.13496860628651858
EMB+MOX+PZA+RIF,0.07894089424612047
BDQ+LIN,-0.34005685389101015
BDQ+DEL,-0.14872077172419743
MOX+RIF,0.1662534440815734
EMB+INH+PZA+RIF,-0.019839563567993632
BDQ+PRE,-0.324698916528106
BDQ+PRE,-0.16765880044406042
BDQ+DEL,-0.07719483679509635
MOX+RIF,0.19415428892320083
BDQ+LIN+PRE,-0.04463876908251018
EMB+INH+PZA+RIF,-0.0877077628331521
LIN+PRE,0.6745795101561799
PZA+RIF,0.21519776006897615
BDQ+PRE,-0.05340512978360811
EMB+MOX+PZA+RIF,0.11749178851688495
MOX+RIF,0.2528541313354523
BDQ+LIN,-0.19109015927472817
