Compound,SHAP
BDQ+LIN,0.010860996843291316
MOX+RIF,-0.5020862183622299
INH+PZA,-0.10594652650847142
BDQ+PRE,0.11391025132231963
BDQ+LIN+PRE,0.5373768947168743
PZA+RIF,-0.16495175596811287
BDQ+LIN+PRE,0.11971994705017534
MOX+RIF,0.36109731938222006
BDQ+DEL,0.17729007822529325
EMB+INH+PZA+RIF,0.14860107246479123
INH+PZA,-0.06724519674897961
MOX+RIF,0.21839243238515332
LIN+PRE,-0.13694390351387734
BDQ+PRE,0.15925592308661995
BDQ+DEL,-0.20827589013181352
PZA+RIF,0.1270646632274591
MOX+RIF,0.4146015181688426
BDQ+DEL,0.0009995825306257104
PZA+RIF,-0.09362157148809505
EMB+INH+PZA+RIF,0.18004791637943485
BDQ+PRE,-0.024096352071974133
BDQ+LIN+PRE,0.392679686645574
LIN+PRE,-0.4004817143845029
PZA+RIF,0.13752329245407463
LIN+PRE,0.16458227566545963
INH+PZA,-0.4683348650221105
BDQ+LIN,-0.09991288900604094
EMB+MOX+PZA+RIF,-0.38031877567966826
BDQ+DEL,0.1483138116597106
MOX+RIF,0.09162566175658197
INH+PZA,0.17813987074005194
INH+PZA,0.2859818225174667
EMB+MOX+PZA+RIF,0.028140943948418335
BDQ+PRE,-0.3711555524410929
BDQ+PRE,-0.002112491619518761
LIN+PRE,0.1060045947089125
MOX+RIF,0.49350565374615685
EMB+INH+PZA+RIF,0.2690848072439279
PZA+RIF,0.013652587284438715
EMB+INH+PZA+RIF,0.21929525042229017
EMB+MOX+PZA+RIF,0.4829079900153482
LIN+PRE,0.07219870919409559
PZA+RIF,0.16605943728662997
INH+PZA,0.12649857316289764
EMB+MOX+PZA+RIF,-0.058836559580254036
BDQ+PRE,0.0843042885830004
BDQ+PRE,0.2624216090930652
EMB+INH+PZA+RIF,0.21846585320762096
EMB+MOX+PZA+RIF,0.24894744015852346
BDQ+LIN,-0.0033129800038108515
BDQ+LIN,-0.09051843695820733
MOX+RIF,0.14972002426154501
EMB+MOX+PZA+RIF,0.17769758209522124
BDQ+LIN,-0.19534294262927765
BDQ+DEL,-0.2628437195647461
MOX+RIF,0.2114099642943824
EMB+INH+PZA+RIF,0.2951742619229725
BDQ+PRE,0.07113716709440737
BDQ+PRE,0.11367380404512646
BDQ+DEL,-0.246538027251747
MOX+RIF,0.4094399141283199
BDQ+LIN+PRE,0.4537854602628736
EMB+INH+PZA+RIF,0.13037114865280686
LIN+PRE,0.17169456138843434
PZA+RIF,0.09231547028077805
BDQ+PRE,0.4241042140216165
EMB+MOX+PZA+RIF,0.10915297035600446
MOX+RIF,0.24494095637222857
BDQ+LIN,-0.20073629085726008
BDQ+DEL,0.08415935848187509
BDQ+LIN,0.019286426731334246
BDQ+LIN,-0.1950020469047843
BDQ+LIN+PRE,0.6719737089152806
INH+PZA,0.05132955541834462
PZA+RIF,0.16995816007940823
INH+PZA,0.0991862514643444
BDQ+LIN+PRE,0.17376818254805276
EMB+MOX+PZA+RIF,0.004499122350978119
MOX+RIF,0.6416116311212916
BDQ+PRE,0.15515313302343473
BDQ+LIN,-0.10865324824908493
MOX+RIF,0.5022931046792177
BDQ+PRE,0.023361929308572414
INH+PZA,0.48184245777679036
BDQ+LIN,0.020853450854150583
INH+PZA,0.313360753206853
EMB+MOX+PZA+RIF,0.1388796255508161
INH+PZA,0.06400640000883746
BDQ+DEL,0.007688998486216736
BDQ+PRE,0.06070527825126027
BDQ+LIN+PRE,-0.29545274223129475
INH+PZA,-0.1406696211105771
EMB+MOX+PZA+RIF,-0.007401134140474164
EMB+INH+PZA+RIF,0.1707843362710108
BDQ+PRE,-0.23680362066944577
INH+PZA,0.26258914360028085
BDQ+LIN,-0.038944652376765074
EMB+MOX+PZA+RIF,0.13751359759936582
BDQ+LIN+PRE,-0.37377887538027066
BDQ+LIN,0.024746584700487496
INH+PZA,-0.19934667346311713
EMB+MOX+PZA+RIF,-0.29490202099078117
BDQ+LIN,-0.043335256832182846
BDQ+DEL,-0.28492476343575207
PZA+RIF,0.11986429881946452
MOX+RIF,0.3271997179066401
BDQ+DEL,-0.2807471642160716
BDQ+LIN,-0.05183859745835567
PZA+RIF,-0.11293963382623606
PZA+RIF,0.22198219283223689
LIN+PRE,-0.21825084830723795
BDQ+DEL,0.007732128978664737
BDQ+LIN,-0.4583012006349225
EMB+MOX+PZA+RIF,0.27982596021732287
LIN+PRE,-0.08492476387772949
PZA+RIF,0.028941315524567423
LIN+PRE,0.2281492496572125
EMB+MOX+PZA+RIF,0.6114255535869302
BDQ+DEL,0.21226046539701815
BDQ+LIN+PRE,0.2654331081322413
EMB+MOX+PZA+RIF,0.013979096785703724
LIN+PRE,0.16932471240665736
MOX+RIF,0.24036452588676507
BDQ+DEL,0.060691539896853684
PZA+RIF,0.3344187420045797
LIN+PRE,0.16168463153134274
BDQ+PRE,0.06297626859301882
LIN+PRE,-0.20224924844551337
BDQ+PRE,0.10292398067791995
BDQ+LIN+PRE,0.04398994989638105
INH+PZA,-0.013854158349865222
BDQ+LIN,-0.23374714766585422
EMB+MOX+PZA+RIF,-0.12548801730406436
BDQ+LIN,-0.518734050686729
LIN+PRE,-0.457287810540439
LIN+PRE,0.0683667771118878
BDQ+PRE,0.04868589116330365
BDQ+LIN,-0.16344501560683306
MOX+RIF,0.3527916319083984
BDQ+LIN+PRE,0.566551354559237
EMB+INH+PZA+RIF,0.14090372086787095
LIN+PRE,-0.4489187811493699
BDQ+LIN+PRE,0.17014940595485156
LIN+PRE,0.4810049544068582
BDQ+DEL,0.25329814409227924
EMB+MOX+PZA+RIF,-0.03078866609892568
BDQ+LIN+PRE,0.3725097646144802
INH+PZA,0.34979543299983923
PZA+RIF,0.09575026648076308
LIN+PRE,0.2785058610912057
PZA+RIF,0.24373490573112241
BDQ+LIN+PRE,-0.09120444956997623
BDQ+PRE,0.19599829345004852
BDQ+LIN,-0.1468238059864573
BDQ+DEL,0.05337305115476608
EMB+MOX+PZA+RIF,-0.3911305702745361
EMB+INH+PZA+RIF,0.24708136119326846
BDQ+PRE,0.054992644387748216
PZA+RIF,0.22886158709430215
PZA+RIF,0.08791279859466193
EMB+INH+PZA+RIF,0.2703086850641221
BDQ+DEL,0.07860018828737875
BDQ+DEL,0.006599746008096711
BDQ+LIN+PRE,-0.3477060460119304
MOX+RIF,0.3474169531051745
INH+PZA,0.1738219276525805
BDQ+DEL,0.1640233086679571
MOX+RIF,0.2740122816281872
BDQ+PRE,-0.06738841734621907
MOX+RIF,0.15195414759073203
INH+PZA,0.1841790015442568
MOX+RIF,0.4543637721169297
PZA+RIF,0.13047131480785587
BDQ+PRE,0.14447948301852748
BDQ+LIN+PRE,-0.03806252666091307
EMB+MOX+PZA+RIF,0.06239131239726463
