Compound,SHAP
BDQ+LIN,0.3502629607711965
MOX+RIF,0.29472075031725664
INH+PZA,-0.0691649408170588
BDQ+PRE,0.19497702133512212
BDQ+LIN+PRE,0.23937815673899968
PZA+RIF,-0.3015730433203556
BDQ+LIN+PRE,0.4520152961008743
MOX+RIF,0.6176324902239223
BDQ+DEL,0.2986198130208984
EMB+INH+PZA+RIF,0.15017653676839376
INH+PZA,-0.14509782626975348
MOX+RIF,1.0500049591744645
LIN+PRE,-0.113437000508636
BDQ+PRE,0.1019976517350164
BDQ+DEL,0.08940640220514959
PZA+RIF,0.591261415664086
MOX+RIF,0.5024194112518418
BDQ+DEL,-0.0943786621991857
PZA+RIF,0.062264470365584884
EMB+INH+PZA+RIF,0.2308555605928388
BDQ+PRE,0.06362209715617574
BDQ+LIN+PRE,0.6042690172064195
LIN+PRE,0.7461304053052599
PZA+RIF,0.6986091472622652
LIN+PRE,0.30329134980673095
INH+PZA,0.021670861671032084
BDQ+LIN,0.029467019255698623
EMB+MOX+PZA+RIF,-0.01159933533210334
BDQ+DEL,-0.12297425166711153
MOX+RIF,0.3478257436201525
INH+PZA,-0.13132587131333243
INH+PZA,0.07483075660797821
EMB+MOX+PZA+RIF,0.2064715944791252
BDQ+PRE,0.17925008820656738
BDQ+PRE,-0.09698760274266573
LIN+PRE,0.937864811132623
MOX+RIF,0.14192013092426484
EMB+INH+PZA+RIF,0.1544993657504099
PZA+RIF,-0.07169633804082952
EMB+INH+PZA+RIF,-0.008887125188059517
EMB+MOX+PZA+RIF,0.45913143445975707
LIN+PRE,1.4533191207646199
PZA+RIF,0.22209422923790048
INH+PZA,0.33698296817273976
EMB+MOX+PZA+RIF,-0.032933366902996475
BDQ+PRE,0.12077049589429283
BDQ+PRE,-0.28668699327232916
EMB+INH+PZA+RIF,-0.03374025315496134
EMB+MOX+PZA+RIF,0.4413321906691935
BDQ+LIN,0.3011347230366859
BDQ+LIN,0.15998140079257245
MOX+RIF,0.21162190883875018
EMB+MOX+PZA+RIF,0.36526774472897905
BDQ+LIN,-0.007376145209871538
BDQ+DEL,-0.06783701754855909
MOX+RIF,0.14159698166464227
EMB+INH+PZA+RIF,-0.0627443079317831
BDQ+PRE,-0.09734806819766052
BDQ+PRE,0.26799853411772057
BDQ+DEL,0.06734289018922446
MOX+RIF,0.7109089154651456
BDQ+LIN+PRE,0.5191546729606563
EMB+INH+PZA+RIF,0.25892331973601307
LIN+PRE,0.8286339081691236
PZA+RIF,0.2827177001226397
BDQ+PRE,0.19607956413460756
EMB+MOX+PZA+RIF,0.4274048701864235
MOX+RIF,0.6296611720275488
BDQ+LIN,0.29029850804867785
BDQ+DEL,0.09668212385742425
BDQ+LIN,0.10107153999193227
BDQ+LIN,0.024816776809189273
BDQ+LIN+PRE,0.2487577987042263
INH+PZA,0.41303699090953105
PZA+RIF,0.5715167133927106
INH+PZA,-0.09004768068074567
BDQ+LIN+PRE,0.20019970516156885
EMB+MOX+PZA+RIF,0.13001401043949717
MOX+RIF,0.8691630632700568
BDQ+PRE,-0.19069304124393044
BDQ+LIN,-0.12766665421706747
MOX+RIF,0.4731121994668309
BDQ+PRE,0.037357154588686124
INH+PZA,0.08721459860452338
BDQ+LIN,0.1228622753534511
INH+PZA,0.07692689216265647
EMB+MOX+PZA+RIF,0.07583769325374591
INH+PZA,-0.02379005697007672
