Compound,median,mean,std,n
BDQ+DEL,-0.34006212031207833,-0.4283090214980797,0.42325927228260724,20
INH+PZA,-0.11766867399427454,-0.08182221749742741,0.1974941423558436,20
MOX+RIF,-0.07694368185536438,-0.14853574406446132,0.20194947032199567,24
LIN+PRE,0.0040787555293578396,-0.012306222051140615,0.13628050062799352,21
BDQ+PRE,0.031379046798780875,-0.02872273902650633,0.26076139049321884,23
BDQ+LIN,0.08338987363808587,0.17500406123678697,0.29342569871043056,22
PZA+RIF,0.08447292668786152,0.13890727886989962,0.1899860221175982,22
BDQ+LIN+PRE,0.09167562078734404,0.09106984896276439,0.2447669545774587,21
EMB+INH+PZA+RIF,0.10633701090663253,0.16781560565074732,0.26856031589426055,15
EMB+MOX+PZA+RIF,0.10910832775659217,0.19094135383584,0.21509459949588589,24
