Compound,median,mean,std,n
BDQ+PRE,-0.26165306322069193,-0.2838949407118217,0.20693813306030312,23
INH+PZA,-0.2449265454622765,-0.21314759904574312,0.2993696263425229,20
BDQ+LIN,-0.19956071938066866,-0.2388750381130575,0.17493416743386303,22
BDQ+LIN+PRE,-0.02134484009412426,-0.13910727941317413,0.37273771333766487,21
MOX+RIF,0.13652417749776796,0.11986037750317398,0.16390801544950273,24
LIN+PRE,0.16122829488405277,0.18595809723504805,0.0879011542927901,21
BDQ+DEL,0.19583652987890482,0.18953649620784366,0.10521988576481912,20
PZA+RIF,0.20980402289215505,0.2312420896260991,0.11510346438043985,22
EMB+INH+PZA+RIF,0.24762212885705012,0.23925911907558034,0.11917986363296706,15
EMB+MOX+PZA+RIF,0.2830224292611784,0.29561004383885287,0.15565006410969406,24
