Compound,median,mean,std,n
BDQ+LIN,-0.33805368195440577,-0.39674922248075206,0.21702245913980409,22
BDQ+PRE,-0.284011121312393,-0.31579069829754153,0.2587490494929852,23
INH+PZA,-0.2629479400631952,-0.2952743920343174,0.23022941698819882,20
EMB+INH+PZA+RIF,-0.19217018537002312,-0.17537730022481116,0.11377853440766186,15
LIN+PRE,0.05405164575913525,0.07656394263858188,0.11801455154886854,21
PZA+RIF,0.0760802080114163,0.1181660738851321,0.11614898741081153,22
BDQ+LIN+PRE,0.12215400295052332,0.15831855320953103,0.1352141078004005,21
BDQ+DEL,0.13672955935624292,0.11659077935328237,0.1500643342173216,20
MOX+RIF,0.2027075489804259,0.2087865806515994,0.10154527230633041,24
EMB+MOX+PZA+RIF,0.22226060721936897,0.24743047491480288,0.13944982429002353,24
