Compound,median,mean,std,n
BDQ+PRE,-1.0289705979033081,-1.1732866222370695,0.7180231570287555,23
EMB+INH+PZA+RIF,-0.8895638510724939,-1.0769055352920298,0.5589270326740237,15
BDQ+LIN,-0.8149265503620705,-1.1192062592197893,0.6513140131718774,22
INH+PZA,-0.5568975195682938,-0.8576796594326147,0.5698216965193899,20
BDQ+DEL,-0.46087044949027245,-0.6490038013772239,0.5521992893781265,20
BDQ+LIN+PRE,0.05248488780796992,0.09254488680600986,0.3867217020553118,21
EMB+MOX+PZA+RIF,0.5344727825212745,0.5834963270041443,0.4288088303865327,24
LIN+PRE,0.7276823696676149,0.8678495498291073,0.5216159204313818,21
MOX+RIF,1.1194922139877308,1.197925721781249,0.7881426732528303,24
PZA+RIF,1.1685357890296535,1.0869617201856798,0.5497907936010786,22
