Compound,median,mean,std,n
BDQ+LIN,-0.6210525558927167,-0.8886406974984141,0.5013268581129319,22
BDQ+PRE,-0.5166625765608773,-0.5234779019341032,0.2693095448695617,23
EMB+INH+PZA+RIF,-0.48671842398786025,-0.8574038532258101,0.5500102850934104,15
INH+PZA,-0.3058882580375487,-0.5889649135168703,0.4911246185072598,20
BDQ+LIN+PRE,-0.07349149864907245,-0.11067197571015493,0.26305806934387316,21
BDQ+DEL,0.2291222913808011,0.25201305558343895,0.28151860765755304,20
EMB+MOX+PZA+RIF,0.3367459645055245,0.43970693775524344,0.2589319439132747,24
LIN+PRE,0.45655439416642535,0.49308097457165995,0.23459544775627922,21
PZA+RIF,0.4906777763056296,0.5752204730935322,0.27581834464494454,22
MOX+RIF,0.5062939796571362,0.5128512380431111,0.2572648644323463,24
