Compound,median,mean,std,n
BDQ+DEL,-0.42328819995909706,-0.396359427081663,0.18352385188397988,20
EMB+INH+PZA+RIF,-0.30663325005783754,-0.2802452023240588,0.22261130430418202,15
INH+PZA,-0.2705727702742253,-0.25390371994917266,0.1533968070495207,20
BDQ+LIN+PRE,-0.2517597798350647,-0.17044817650876581,0.28630274758698554,21
BDQ+LIN,-0.08525605014429002,-0.0656239533924948,0.2019597819756173,22
BDQ+PRE,-0.07970916378123505,-0.09631601085432948,0.18623648237521764,23
EMB+MOX+PZA+RIF,-0.03805177257917604,0.003193475883354915,0.2031831979721402,24
MOX+RIF,0.27449533497510614,0.3015311572231659,0.27899826392380533,24
PZA+RIF,0.32189775516908936,0.3554545992006237,0.2810088133353089,22
LIN+PRE,0.38200976812841925,0.34511922168481574,0.20765287064707136,21
