Compound,median,mean,std,n
BDQ+LIN+PRE,-0.1951654693179199,-0.3412798041892684,0.3600012812937042,21
EMB+INH+PZA+RIF,-0.1844152204862157,-0.31013884819430093,0.4483800058903739,15
BDQ+LIN,-0.16459609582065382,-0.31378044769175206,0.3809967128993556,22
BDQ+PRE,0.08050282477378097,0.07558505681840595,0.15653572095496554,23
INH+PZA,0.08255372076630729,0.09778249121645,0.14806515626148395,20
BDQ+DEL,0.0985999725911191,0.11673109315237577,0.08577883527300503,20
PZA+RIF,0.10117805421962688,0.1465832460605552,0.11041614735327979,22
EMB+MOX+PZA+RIF,0.11271501071758697,0.1700908309061598,0.16285827795160082,24
MOX+RIF,0.11592377681505811,0.13964961029556575,0.07819890165093998,24
LIN+PRE,0.18700301275896328,0.1987991136143408,0.16009897530721698,21
