Compound,median,mean,std,n
BDQ+LIN,-1.0286677251288883,-1.3032280509729979,0.8027246331042454,22
BDQ+LIN+PRE,-0.9346461537939915,-1.6089399767149948,1.4059237415286878,21
EMB+INH+PZA+RIF,-0.8886031864990117,-1.2180400432375056,0.9210043087443727,15
BDQ+PRE,-0.7769190689195845,-1.0257786735831471,0.6737482480191143,23
BDQ+DEL,-0.3261364026920236,-0.5549738674402929,0.6551675982556868,20
MOX+RIF,0.1590956517844613,0.20843449627784225,0.26251419873899035,24
LIN+PRE,0.6506826251452413,1.121033688091716,0.8401794836355986,21
PZA+RIF,0.6790481125856971,0.9210427664011941,0.5747741500360649,22
EMB+MOX+PZA+RIF,0.7261302859473382,1.129984133272287,0.9395441534188743,24
INH+PZA,0.8010250195637564,1.021615076446769,0.6126360041911278,20
