Compound,median,mean,std,n
EMB+INH+PZA+RIF,-0.22794286660303426,-0.22944648676970095,0.0777198881823013,15
BDQ+LIN+PRE,-0.1468463426077806,-0.18900224111989056,0.11898134320912065,21
INH+PZA,-0.14258731122283685,-0.15658037983955725,0.09089597269218434,20
BDQ+PRE,-0.13885990182808977,-0.13669190219428234,0.09617804346757824,23
PZA+RIF,-0.1076611461975363,-0.10999780772251602,0.05424590106983632,22
BDQ+LIN,-0.05918520114641575,-0.06817508398124014,0.09296234392454829,22
LIN+PRE,-0.02770692358368149,-0.006287155245162422,0.06712741367830763,21
BDQ+DEL,-0.008366243972595755,-0.01436034767475137,0.042816397733054484,20
MOX+RIF,0.38859707318125597,0.3754557646688134,0.2187554039920402,24
EMB+MOX+PZA+RIF,0.4300051416747518,0.4388933221987348,0.1286404987994625,24
