Compound,median,mean,std,n
BDQ+DEL,-0.932717578192082,-0.8345026227318815,0.25553173467398765,20
BDQ+LIN+PRE,-0.8489950638176867,-0.923989493498607,0.37382570194269527,21
BDQ+PRE,-0.7409396198409638,-0.8222472512866851,0.26259654260817045,23
EMB+INH+PZA+RIF,-0.5105156911303762,-0.4756623205110397,0.35609950129583645,15
BDQ+LIN,-0.4923983033385152,-0.5061438218470442,0.31359133449978854,22
INH+PZA,0.02245814331959821,-0.10938155642665692,0.31570021817676697,20
EMB+MOX+PZA+RIF,0.7290427637738313,0.7422738828132088,0.3034035268804088,24
LIN+PRE,0.8032747602307125,0.8172040190255379,0.28469389879329504,21
PZA+RIF,0.8264922157604987,0.8228601366271827,0.19363117052969475,22
MOX+RIF,0.8811542527184957,0.8725845289261444,0.36649539101702494,24
