Compound,median,mean,std,n
BDQ+LIN+PRE,-0.33332836289551043,-0.624018549750667,0.6207941410036758,21
INH+PZA,-0.23344628794431313,-0.4264048927511059,0.4148807061677203,20
EMB+INH+PZA+RIF,-0.16863854199828965,-0.38070445193657004,0.5188614497263678,15
MOX+RIF,-0.1683322497388025,-0.2697133405238367,0.357747107463345,24
BDQ+DEL,-0.1344330497804871,-0.1506553190775689,0.13810515120618477,20
BDQ+PRE,0.06178061878254007,0.12825265815169076,0.21227305019134043,23
PZA+RIF,0.133304987384092,0.3260021015466524,0.3931746535081463,22
BDQ+LIN,0.14453235287117647,0.2502308519206972,0.2779144268128222,22
EMB+MOX+PZA+RIF,0.20641918911536472,0.36328485587315656,0.3780059571003102,24
LIN+PRE,0.3424298258201705,0.6080538154810866,0.48713063728218997,21
