Compound,median,mean,std,n
BDQ+LIN+PRE,-0.3938916179172221,-0.3214792991955008,0.4166065605678144,21
INH+PZA,-0.178195601119616,-0.2075599954390642,0.2501659184397496,20
BDQ+LIN,-0.14305828154260425,-0.23119366600062644,0.31802392433147486,22
EMB+INH+PZA+RIF,-0.09562703853985483,-0.2084722011528917,0.36291523695452355,15
BDQ+DEL,-0.06477864527661044,-0.06707948490113831,0.3142089940958928,20
MOX+RIF,0.09457451272488174,0.12445690925173493,0.11211379036050194,24
BDQ+PRE,0.10443556917233902,0.12922894509368743,0.1102889465992728,23
PZA+RIF,0.19562961894621073,0.20206847704600575,0.11510693576220295,22
LIN+PRE,0.21959629576039436,0.3189420685929187,0.214989778592707,21
EMB+MOX+PZA+RIF,0.2490274219984726,0.2595626686346202,0.16510090252548593,24
