Compound,median,mean,std,n
BDQ+LIN,-0.19581476870022513,-0.22475532557903452,0.11552299474309227,22
PZA+RIF,-0.18577677500646214,-0.1756675758822617,0.0794592794502336,22
EMB+INH+PZA+RIF,-0.16403043047738336,-0.2399785650839664,0.16707385150688225,15
BDQ+DEL,-0.14532710447013952,-0.18428156915690744,0.11031550481101841,20
BDQ+LIN+PRE,0.0023197940201622465,0.012124580395736469,0.09185316493065956,21
INH+PZA,0.0054578467993333405,0.10116228990274503,0.26990897456954777,20
BDQ+PRE,0.0693530004148989,0.13572523856114452,0.20537129785973454,23
LIN+PRE,0.18096871092191275,0.19859353146100384,0.1366169634704344,21
EMB+MOX+PZA+RIF,0.18474524837755563,0.19677952123843737,0.12290322953827262,24
MOX+RIF,0.2619694571485638,0.24042225668770087,0.11629457855378643,24
