Compound,median,mean,std,n
BDQ+DEL,-0.6411621782077893,-0.8420468747214066,0.5808589491374966,20
BDQ+LIN,-0.6325348922839782,-0.9295145452949122,0.7075576951980626,22
EMB+INH+PZA+RIF,-0.6050080167227524,-0.9042543116034774,0.7046560050567049,15
BDQ+LIN+PRE,-0.5801970040380993,-0.9377998860743553,0.9261487548639934,21
MOX+RIF,-0.5644701697430745,-0.7014750044965643,0.3864858418933658,24
INH+PZA,-0.5508336488960899,-0.8898205807454502,0.692555471741934,20
BDQ+PRE,0.27374143059788236,0.32845500213155765,0.30093735895596024,23
EMB+MOX+PZA+RIF,0.9424213665551152,1.1810082745696147,0.5971028945197776,24
LIN+PRE,1.005327176416966,1.5018110909008504,0.8525039222550318,21
PZA+RIF,1.0311293798624468,1.4687841195460571,0.9002209236488697,22
