Compound,median,mean,std,n
BDQ+PRE,-0.4426724860410027,-0.4097552644123681,0.2602934937689616,23
BDQ+LIN,-0.2985722573710811,-0.3899379833242713,0.2284817302696551,22
EMB+INH+PZA+RIF,-0.267740939972003,-0.4046947264897964,0.2675640590840056,15
INH+PZA,-0.2419654209853574,-0.3834003891312756,0.2606480540321745,20
BDQ+LIN+PRE,0.09208054491886505,0.12081307915026993,0.12891533652937937,21
LIN+PRE,0.11089396489163524,0.14350015726199467,0.09346459668288934,21
BDQ+DEL,0.12703541328895065,0.18003808640111646,0.11616800817487463,20
EMB+MOX+PZA+RIF,0.18916297372604485,0.28528696819580074,0.19086837193770362,24
MOX+RIF,0.19121332748505326,0.26093023819623795,0.1949756252754411,24
PZA+RIF,0.35884312050806455,0.38337378117535986,0.23918269538317505,22
