Compound,median,mean,std,n
BDQ+LIN,-0.49375051857013796,-0.4934577868100493,0.18035392859642357,22
EMB+INH+PZA+RIF,-0.37933319578969843,-0.45294868507387426,0.2725216871962942,15
BDQ+PRE,-0.3583073825763402,-0.4230026328145209,0.2537107644521159,23
INH+PZA,-0.3442682874598766,-0.4338438911032577,0.26363900462251466,20
BDQ+DEL,-0.3181512389018792,-0.4055826771316583,0.25070072007065225,20
LIN+PRE,-0.20362315908572007,-0.2550845867887616,0.17435473517455785,21
MOX+RIF,0.26951748898267314,0.3074606567311066,0.19924361611726765,24
BDQ+LIN+PRE,0.48923974500862427,0.6425414143613969,0.4879907454672549,21
PZA+RIF,0.5691330714307128,0.6172002607956001,0.3598641536083678,22
EMB+MOX+PZA+RIF,0.6860315652371671,0.680110095582091,0.32313308666056983,24
