Compound,median,mean,std,n
BDQ+DEL,-1.6359083223940356,-1.9382862623124404,0.962335618908382,20
BDQ+PRE,-1.4120720161253486,-1.6534137277554675,0.7977795337403261,23
BDQ+LIN,-1.3147931821830412,-1.8370659598969161,0.9063741040748216,22
EMB+INH+PZA+RIF,-1.2368783582800307,-1.8405155567020957,1.2190086739986818,15
INH+PZA,-1.168549238656154,-1.5898559626678392,0.928381949631938,20
BDQ+LIN+PRE,0.6172757011070408,1.058377651050329,1.3282892841174747,21
EMB+MOX+PZA+RIF,1.2224960763978734,1.63189755726213,0.9325457944402494,24
MOX+RIF,1.3185627145497292,1.2970190625452656,0.8090300468460746,24
LIN+PRE,1.4123877600193162,1.7043198174123855,0.8207128194417438,21
PZA+RIF,1.7830381939626958,2.1082712332059512,1.000618012758655,22
