Compound,median,mean,std,n
BDQ+LIN+PRE,-1.3818661271959105,-1.6718670624753182,0.935624825957031,21
INH+PZA,-1.376370293709515,-1.3592790470828517,0.615781664580339,20
BDQ+LIN,-1.2727095961665849,-1.4147094187453912,0.6743509432090049,22
EMB+INH+PZA+RIF,-1.235277896845704,-1.2682780327921748,0.5620924986536392,15
BDQ+DEL,-1.0870737316891568,-1.2035128821585654,0.5178062935479756,20
BDQ+PRE,-0.34678420602023086,-0.38585494049872576,0.4845776578221541,23
LIN+PRE,1.296087837883918,1.2249121864000776,0.6257670201123094,21
EMB+MOX+PZA+RIF,1.5902212372952373,1.5515324224938016,0.5761796729663595,24
PZA+RIF,1.682375504700786,1.7023300580976723,0.5625914796513207,22
MOX+RIF,1.690865376632054,1.6109538035013922,0.7794991744360077,24
