Compound,median,mean,std,n
EMB+INH+PZA+RIF,-1.3623286218847446,-1.9243994820008865,1.1818554857299735,15
BDQ+LIN,-1.1980188525019304,-1.8074747664259376,1.099736406278403,22
BDQ+LIN+PRE,-1.0637411367412481,-1.6752241004596196,1.6122519954126242,21
BDQ+DEL,-0.9929903348353052,-1.6177999360634985,1.0940048070642645,20
MOX+RIF,0.5834786394160116,0.7346881118511587,0.41995169459321013,24
BDQ+PRE,0.6548817849812671,0.9627684489092914,0.6196914338816114,23
PZA+RIF,0.7821757546811472,1.126280244945221,0.8037461205493084,22
LIN+PRE,0.8888019415670888,1.1334490196561493,0.735425290046566,21
INH+PZA,1.0639544234963654,1.1720032869268389,0.7829766208558464,20
EMB+MOX+PZA+RIF,1.2350214740341883,1.3679221480578372,0.8481462485401562,24
