Compound,median,mean,std,n
BDQ+LIN,-0.31614441531691684,-0.3185486866754599,0.10418347498552685,22
BDQ+LIN+PRE,-0.2466932787314984,-0.291848148578872,0.23472628950147098,21
BDQ+PRE,-0.16765880044406042,-0.211672374761955,0.11655594589730382,23
BDQ+DEL,-0.07193596009156018,-0.08708026319613514,0.13411114802356833,20
EMB+INH+PZA+RIF,-0.058871763297210035,-0.06956545183202947,0.08741268660833308,15
LIN+PRE,0.0991711852991928,0.14392585969348143,0.16927410359117742,21
EMB+MOX+PZA+RIF,0.16777474131303327,0.21713374927828358,0.1616931079957215,24
INH+PZA,0.17969379239956706,0.1666645331567635,0.11224502681423469,20
PZA+RIF,0.23832017801199887,0.23375038139846288,0.1356859453914591,22
MOX+RIF,0.3107462559852103,0.33461971109007366,0.18548055477377667,24
