Compound,median,mean,std,n
BDQ+LIN,-0.09891276673217003,-0.11883430940359409,0.1464065443798762,22
EMB+MOX+PZA+RIF,0.025497499476422162,0.030056452361508713,0.24802577456152577,24
BDQ+DEL,0.05703229552580988,0.013847618532964543,0.17648865044304357,20
LIN+PRE,0.06517088001309977,-0.055188439243905464,0.3100417973173236,21
BDQ+PRE,0.07113716709440737,0.06173562548644763,0.1591837957190173,23
INH+PZA,0.11274669014123817,0.08553166911229756,0.2172105299187897,20
PZA+RIF,0.1234644810234618,0.09596532419778132,0.20381404881633014,22
BDQ+LIN+PRE,0.17014940595485156,0.137711081631018,0.3047934728722129,21
EMB+INH+PZA+RIF,0.19249791611630795,0.20133316524194217,0.050866827073354194,15
MOX+RIF,0.3352864056167011,0.2870294493829128,0.24294261283186683,24
