Compound,median,mean,std,n
BDQ+DEL,0.04709690687273066,0.05275769466169135,0.14228620360837252,20
INH+PZA,0.05069104871252711,0.07925574613738236,0.16297922341079663,20
BDQ+PRE,0.06362209715617574,0.044312709645125674,0.13325215680124214,23
BDQ+LIN,0.1197958667437139,0.1441470927565991,0.15661114547151775,22
EMB+INH+PZA+RIF,0.15017653676839376,0.10560811123988899,0.11580489174103571,15
EMB+MOX+PZA+RIF,0.1993210491532216,0.22253308345811765,0.16617227778996915,24
BDQ+LIN+PRE,0.23937815673899968,0.24867611217995544,0.17361608030561942,21
PZA+RIF,0.3894851240499738,0.3383704865351402,0.321423083571536,22
MOX+RIF,0.4104689715434917,0.48948697073056807,0.2726317789993651,24
LIN+PRE,0.6684794845087868,0.48219944948111726,0.44682521583020507,21
