Compound,SHAP
BDQ+LIN,0.0004042853484326974
MOX+RIF,-0.004466929297785843
INH+PZA,-0.0006086805557322819
BDQ+PRE,0.0005964049392836806
BDQ+LIN+PRE,0.002459974035604514
PZA+RIF,0.0019987572407574117
BDQ+LIN+PRE,0.0034969181760926005
MOX+RIF,-0.001358792080737329
BDQ+DEL,0.00031724549970299005
EMB+INH+PZA+RIF,0.0033686313788226217
INH+PZA,0.00024988924415112075
MOX+RIF,-0.0007641932497155973
LIN+PRE,0.002238030866464903
BDQ+PRE,-0.002907035689969353
BDQ+DEL,-0.003965169925366144
PZA+RIF,-0.001463419704721815
MOX+RIF,-0.0014415226082102723
BDQ+DEL,-0.01380871025532804
PZA+RIF,-0.0005265799178738064
EMB+INH+PZA+RIF,0.0078068427561747145
BDQ+PRE,-0.0007026896910149825
BDQ+LIN+PRE,0.0003392850705528485
LIN+PRE,0.0016136170397294167
PZA+RIF,0.0006397278193875962
LIN+PRE,0.004797644984177944
INH+PZA,-0.0008483273490239981
BDQ+LIN,-0.0011501950796423263
EMB+MOX+PZA+RIF,0.004716945456806923
BDQ+DEL,-0.0009631448073370235
MOX+RIF,-0.00021333885571952994
INH+PZA,-0.009084845542878413
INH+PZA,-0.00737327390378539
EMB+MOX+PZA+RIF,0.008846735047425804
BDQ+PRE,0.001310904157353931
BDQ+PRE,-0.008917949374474926
LIN+PRE,0.0050095893494446495
MOX+RIF,-0.0014757215719899892
EMB+INH+PZA+RIF,-0.0012293134222360735
PZA+RIF,0.001441975680546789
EMB+INH+PZA+RIF,0.002493841180717699
EMB+MOX+PZA+RIF,0.0017740067828606685
LIN+PRE,0.00132702246535621
PZA+RIF,0.0012207829579159758
INH+PZA,0.0013375397535962251
EMB+MOX+PZA+RIF,0.0049172447604074665
BDQ+PRE,-0.0007222667088818184
BDQ+PRE,-0.0009638626320129715
EMB+INH+PZA+RIF,0.0019248329441576431
EMB+MOX+PZA+RIF,0.0019215196516051067
BDQ+LIN,0.002914218464454678
BDQ+LIN,-0.007054905350064959
MOX+RIF,-0.002555098157411954
EMB+MOX+PZA+RIF,0.0010421145527393398
BDQ+LIN,0.0012811648524071752
BDQ+DEL,-0.0055003039969691025
MOX+RIF,-0.0011372536527907064
EMB+INH+PZA+RIF,0.0025564317386706395
BDQ+PRE,0.00013902153086909157
BDQ+PRE,0.0003023462195514469
BDQ+DEL,0.0057497633008381545
MOX+RIF,-0.0007758101595220461
BDQ+LIN+PRE,0.001654975889218672
EMB+INH+PZA+RIF,0.002328679273671145
LIN+PRE,-0.0013524681126680232
PZA+RIF,0.0014387425048585452
BDQ+PRE,-0.009139207672067358
EMB+MOX+PZA+RIF,0.0018645343802071992
MOX+RIF,-0.010064755307916303
BDQ+LIN,0.007086392106348361
BDQ+DEL,-0.009174293625366387
BDQ+LIN,0.0005305020140609401
BDQ+LIN,0.000582256238023132
BDQ+LIN+PRE,0.001246372669486095
INH+PZA,0.00022278314627106064
PZA+RIF,0.001062105381273399
INH+PZA,-0.00020689191157570924
BDQ+LIN+PRE,-0.00035044859365066644
EMB+MOX+PZA+RIF,0.0017871058332292553
MOX+RIF,-0.007656772519459678
BDQ+PRE,-0.003322388158528728
BDQ+LIN,0.001437528441055284
MOX+RIF,0.0004205537149742533
BDQ+PRE,-0.00007091871209901802
INH+PZA,-0.003440181029294117
BDQ+LIN,0.00005462771164516365
INH+PZA,-0.0024215056941049896
EMB+MOX+PZA+RIF,0.0010427875323580158
INH+PZA,-0.0011410032583439715
BDQ+DEL,-0.014427616576735627
BDQ+PRE,-0.00868964521718164
BDQ+LIN+PRE,0.0018255193160250642
INH+PZA,0.0006847425251146018
EMB+MOX+PZA+RIF,0.0017618598560950145
EMB+INH+PZA+RIF,0.006532055870986505
BDQ+PRE,-0.0020004230934076387
INH+PZA,-0.00221913558180907
BDQ+LIN,0.013812130380586407
EMB+MOX+PZA+RIF,0.0019397231430878933
BDQ+LIN+PRE,0.0013459562566544574
BDQ+LIN,0.0006551224502833655
INH+PZA,0.0003537649683310488
EMB+MOX+PZA+RIF,0.002467496257019565
BDQ+LIN,0.002386095497043721
BDQ+DEL,-0.003325775068471731
PZA+RIF,0.0017450871809122726
MOX+RIF,-0.001326031931716291
BDQ+DEL,-0.0008019410840629484
BDQ+LIN,0.0002819760135306444
PZA+RIF,0.0015418616540659531
PZA+RIF,0.0030979147650299146
LIN+PRE,-0.00186692843319573
BDQ+DEL,-0.016097892159622023
BDQ+LIN,0.0002793739365530159
EMB+MOX+PZA+RIF,0.002517076188393065
LIN+PRE,0.0006323241968893633
PZA+RIF,0.0016688071111321625
LIN+PRE,0.015996386983167177
EMB+MOX+PZA+RIF,0.002020101966627382
BDQ+DEL,-0.001352445048274867
BDQ+LIN+PRE,0.00789985281303727
EMB+MOX+PZA+RIF,0.0024138564739843134
LIN+PRE,0.002716296771148259
MOX+RIF,0.0006298697755027311
BDQ+DEL,-0.014280170198788746
PZA+RIF,0.0004986568752764223
LIN+PRE,0.001451531374572363
BDQ+PRE,0.0007930394889293344
LIN+PRE,-0.00047687726398522746
BDQ+PRE,-0.000022833244958541532
BDQ+LIN+PRE,0.014399451245763768
INH+PZA,-0.00010688443894145747
BDQ+LIN,0.007722411339671302
EMB+MOX+PZA+RIF,0.0018228130711737114
BDQ+LIN,0.0013901935400974887
LIN+PRE,0.0004046962743702441
LIN+PRE,0.0008887054352118909
BDQ+PRE,-0.0013918242223742636
BDQ+LIN,0.0009017535884803062
MOX+RIF,-0.004730047724568944
BDQ+LIN+PRE,-0.002326769320029977
EMB+INH+PZA+RIF,0.006243292100637907
LIN+PRE,0.0003103170152206025
BDQ+LIN+PRE,0.0011241861560119977
LIN+PRE,-0.0004230299679641248
BDQ+DEL,-0.003449357801478835
EMB+MOX+PZA+RIF,0.0016986513052994869
BDQ+LIN+PRE,0.0008254600988241849
INH+PZA,-0.006741211931741834
PZA+RIF,0.01301177877598544
LIN+PRE,-0.00012449795625689075
PZA+RIF,0.0012545337870506807
BDQ+LIN+PRE,0.0009033783327665044
BDQ+PRE,-0.007449459794314063
BDQ+LIN,0.00028293286568671015
BDQ+DEL,0.0023375548409846902
EMB+MOX+PZA+RIF,0.002472395538282828
EMB+INH+PZA+RIF,0.0033888544782894364
BDQ+PRE,-0.001677303911805223
PZA+RIF,0.0009112860902758388
PZA+RIF,0.0016712980385179235
EMB+INH+PZA+RIF,0.0017272242480946328
BDQ+DEL,-0.0014775114520134166
BDQ+DEL,-0.0035020126021366297
BDQ+LIN+PRE,0.0014470441946157504
MOX+RIF,-0.000747358251627339
INH+PZA,0.0011811946576771005
BDQ+DEL,-0.0019487649140184358
MOX+RIF,-0.0012878088605623422
BDQ+PRE,0.0008895084550639867
MOX+RIF,-0.0013820028037424504
INH+PZA,-0.0009243869873233182
MOX+RIF,-0.0009647427081373716
PZA+RIF,0.0007674863029762212
BDQ+PRE,-0.0025567814373124733
BDQ+LIN+PRE,0.011809838396365124
EMB+MOX+PZA+RIF,0.004581394026696649
BDQ+LIN+PRE,0.012931491680902947
MOX+RIF,-0.0007361930919534453
PZA+RIF,0.0014960309762574696
MOX+RIF,-0.00007947189795543367
BDQ+LIN+PRE,0.001828705256177657
BDQ+LIN+PRE,0.0010205412113514236
EMB+INH+PZA+RIF,0.0072071798368452756
BDQ+LIN,-0.0003055583545458986
BDQ+LIN+PRE,0.0022650856934438783
LIN+PRE,0.00045320468005605804
PZA+RIF,-0.0004824364355066774
MOX+RIF,-0.0013691581155182442
INH+PZA,0.0002554159660191161
BDQ+LIN,0.0012586027576507472
LIN+PRE,0.0039339907382537195
PZA+RIF,0.000491218444377122
BDQ+DEL,-0.002496955725415575
