Compound,SHAP
BDQ+LIN,-0.0003854022770241512
MOX+RIF,-0.0003348342690281647
INH+PZA,0.0022346635954219717
BDQ+PRE,0.0011126727209009746
BDQ+LIN+PRE,0.0011436111544034005
PZA+RIF,0.0018838678712327047
BDQ+LIN+PRE,0.00012903165588901507
MOX+RIF,-0.000640545198837271
BDQ+DEL,0.00016883362266606643
EMB+INH+PZA+RIF,0.003456344672086747
INH+PZA,-0.0013898958066655036
MOX+RIF,-0.002049494106648453
LIN+PRE,-0.001510899906113918
BDQ+PRE,-0.0005356628379486615
BDQ+DEL,-0.00001029308503194212
PZA+RIF,0.0020466752027674044
MOX+RIF,0.0006803248667461853
BDQ+DEL,-0.0038230420861038385
PZA+RIF,0.0017411280522622848
EMB+INH+PZA+RIF,0.003039553716286428
BDQ+PRE,0.0013954517521513696
BDQ+LIN+PRE,0.002092305264577232
LIN+PRE,-0.0006127599855982505
PZA+RIF,0.002823236719897163
LIN+PRE,-0.0006610644980395064
INH+PZA,0.0013603002938047176
BDQ+LIN,-0.0028442875771047633
EMB+MOX+PZA+RIF,0.0076480755162585436
BDQ+DEL,0.000905479764435271
MOX+RIF,-0.0025997828248004104
INH+PZA,-0.004217362723955221
INH+PZA,-0.009970360290671502
EMB+MOX+PZA+RIF,0.0019054418109181515
BDQ+PRE,0.0007082105940161555
BDQ+PRE,-0.0005744146175602851
LIN+PRE,0.0017501840844654241
MOX+RIF,-0.0025656899982405093
EMB+INH+PZA+RIF,0.011337953738837126
PZA+RIF,0.0018414205052230325
EMB+INH+PZA+RIF,0.003340682669418545
EMB+MOX+PZA+RIF,0.005550060007090168
LIN+PRE,-0.00011583475464530836
PZA+RIF,0.001864336365142549
INH+PZA,-0.0006103817469079293
EMB+MOX+PZA+RIF,0.002661943638635059
BDQ+PRE,0.0014672337605881086
BDQ+PRE,0.005103897830630764
EMB+INH+PZA+RIF,0.00157336768474351
EMB+MOX+PZA+RIF,0.004743930277676526
BDQ+LIN,0.000742123997656744
BDQ+LIN,-0.002284551033785633
MOX+RIF,-0.0010796390187290227
EMB+MOX+PZA+RIF,0.007000026966895832
BDQ+LIN,-0.00009395741922995164
BDQ+DEL,-0.0015652914983713818
MOX+RIF,-0.0022164579378117534
EMB+INH+PZA+RIF,-0.00005096242357113808
BDQ+PRE,0.0015507658527315969
BDQ+PRE,0.00089639638472089
BDQ+DEL,0.0008663100004557448
MOX+RIF,0.00152333491771157
BDQ+LIN+PRE,7.533110208754842e-6
EMB+INH+PZA+RIF,0.001352872630384516
LIN+PRE,0.00025498580491187413
PZA+RIF,0.0005796208951851814
BDQ+PRE,-0.00044277530986786733
EMB+MOX+PZA+RIF,0.0019112230931956976
MOX+RIF,-0.001758944939343732
BDQ+LIN,0.0004803671852543377
BDQ+DEL,-0.00257359594159461
BDQ+LIN,0.00035732995147846745
BDQ+LIN,-0.004783233769285697
BDQ+LIN+PRE,-0.0011803722887925006
INH+PZA,0.00008876696594774463
PZA+RIF,0.0020484523555599076
INH+PZA,0.0006098658544200226
BDQ+LIN+PRE,0.0032959683013810055
EMB+MOX+PZA+RIF,0.007486818902747963
MOX+RIF,0.0005347901572982817
BDQ+PRE,0.0003513639278416618
BDQ+LIN,-0.0007251464163259923
MOX+RIF,-0.00026059506824306134
BDQ+PRE,0.0027929912494523514
INH+PZA,-0.002068041200348343
BDQ+LIN,-0.0024330116553557225
INH+PZA,-0.00791459278014639
EMB+MOX+PZA+RIF,0.003224182823074276
INH+PZA,-0.0059369376333390945
BDQ+DEL,-0.0023902971033897946
BDQ+PRE,-0.001840054299424702
BDQ+LIN+PRE,-0.0011270071113504846
INH+PZA,0.0037489007477487994
EMB+MOX+PZA+RIF,0.004333680749530272
EMB+INH+PZA+RIF,0.005297650938714252
BDQ+PRE,0.0014125372375451252
INH+PZA,-0.00010384010786181458
BDQ+LIN,-0.0009747384069921896
EMB+MOX+PZA+RIF,0.0032493178257584515
BDQ+LIN+PRE,-0.005388026198349686
BDQ+LIN,-0.004056421287098484
INH+PZA,0.002024258427355805
EMB+MOX+PZA+RIF,0.003592090611113973
BDQ+LIN,0.00029607419573149255
BDQ+DEL,0.0016677895903574188
PZA+RIF,0.0012039925332276722
MOX+RIF,0.0020127484336252607
BDQ+DEL,0.0020111759551575876
BDQ+LIN,0.003558464388195806
PZA+RIF,0.0024353412993041376
PZA+RIF,0.0008724687681680116
LIN+PRE,-0.0033196217492899695
BDQ+DEL,-0.006548696887504735
BDQ+LIN,0.0005691099685603054
EMB+MOX+PZA+RIF,0.0036100155057686395
LIN+PRE,0.00052102611576023
PZA+RIF,0.0014794760401455338
LIN+PRE,0.00010298619904708705
EMB+MOX+PZA+RIF,0.006462320818365179
BDQ+DEL,0.0008075057654957587
BDQ+LIN+PRE,-0.0025069480909714267
EMB+MOX+PZA+RIF,0.007185231981406985
LIN+PRE,0.0026758395833536594
MOX+RIF,-0.0005122072230453654
BDQ+DEL,-0.003135995822277107
PZA+RIF,0.0027112149177313735
LIN+PRE,-0.0013841274386736954
BDQ+PRE,0.008283946001619304
LIN+PRE,-0.0010070331554992685
BDQ+PRE,-0.000043977408627597304
BDQ+LIN+PRE,0.0041458787283215216
INH+PZA,0.0008760030380399246
BDQ+LIN,-0.0005611877747634383
EMB+MOX+PZA+RIF,0.007316131057649426
BDQ+LIN,0.0002778369873742512
LIN+PRE,0.0014064333446423462
LIN+PRE,-0.002068230580655377
BDQ+PRE,-0.0019528317033210285
BDQ+LIN,-0.00032370292940663383
MOX+RIF,-0.012597612695097897
BDQ+LIN+PRE,-0.0006049294168100572
EMB+INH+PZA+RIF,0.003337291581770521
LIN+PRE,-0.0017517668685953663
BDQ+LIN+PRE,-0.0008752695083406246
LIN+PRE,-0.0007464907220427628
BDQ+DEL,0.0012128294571573043
EMB+MOX+PZA+RIF,0.004465038051601068
BDQ+LIN+PRE,0.0029866623932597778
INH+PZA,-0.004980287036311322
PZA+RIF,0.00042592489248120336
LIN+PRE,-0.00012031371976128833
PZA+RIF,0.0013647022091713282
BDQ+LIN+PRE,-0.004848935589814479
BDQ+PRE,-0.001973192828059477
BDQ+LIN,-0.004308909779261864
BDQ+DEL,-0.003749237760638011
EMB+MOX+PZA+RIF,0.0009641831442124588
EMB+INH+PZA+RIF,0.0014711508712338857
BDQ+PRE,-0.0011947076695595679
PZA+RIF,0.0010363366404714963
PZA+RIF,0.0015563430815557402
EMB+INH+PZA+RIF,0.0020922324634758383
BDQ+DEL,-0.0018747560326076804
BDQ+DEL,-0.0019408454546295244
