Compound,SHAP
BDQ+LIN,-0.0012368313071340583
MOX+RIF,-0.0022611351126231908
INH+PZA,0.00003994748337966611
BDQ+PRE,0.007935396302312894
BDQ+LIN+PRE,0.0008479489916218644
PZA+RIF,-0.0024309860856488084
BDQ+LIN+PRE,0.000503374684816126
MOX+RIF,-0.0006238090357943679
BDQ+DEL,-0.013491114142729813
EMB+INH+PZA+RIF,-0.001622140632030437
INH+PZA,-0.0043320332580931015
MOX+RIF,-0.002671552673240913
LIN+PRE,0.0006090685951903828
BDQ+PRE,-0.0016011954894009496
BDQ+DEL,-0.0007038782669591642
PZA+RIF,-0.0024145090534124923
MOX+RIF,-0.006194849339653194
BDQ+DEL,-0.0029278825444942337
PZA+RIF,0.00024986052335460344
EMB+INH+PZA+RIF,-0.0018028591247937961
BDQ+PRE,-0.0005305851795124287
BDQ+LIN+PRE,0.003919623153741375
LIN+PRE,0.0007632882694208562
PZA+RIF,0.003130636676380036
LIN+PRE,0.0036814284431774757
INH+PZA,0.004141162451032298
BDQ+LIN,-0.012216068485695867
EMB+MOX+PZA+RIF,0.0019075860534075344
BDQ+DEL,0.005588767935706967
MOX+RIF,-0.0030149099027608076
INH+PZA,-0.004768724657166825
INH+PZA,-0.004618841954507576
EMB+MOX+PZA+RIF,0.0038324536177266073
BDQ+PRE,-0.012869071194194325
BDQ+PRE,-0.0030950866831249975
LIN+PRE,0.002207722902740662
MOX+RIF,0.0018709834078307194
EMB+INH+PZA+RIF,0.0007707913017943928
PZA+RIF,-0.0014217306089963843
EMB+INH+PZA+RIF,-0.002682958022032544
EMB+MOX+PZA+RIF,0.007210727189529782
LIN+PRE,-0.0016479840938999275
PZA+RIF,0.006382592558002984
INH+PZA,-0.002993780668499366
EMB+MOX+PZA+RIF,0.0031159961585512453
BDQ+PRE,0.006135595839315912
BDQ+PRE,-0.0017282709341733128
EMB+INH+PZA+RIF,-0.0011092648579807682
EMB+MOX+PZA+RIF,0.0072691269082279224
BDQ+LIN,-0.00427481361819723
BDQ+LIN,-0.0026743771902332045
MOX+RIF,-0.0007140718435846388
EMB+MOX+PZA+RIF,0.014037685903242078
BDQ+LIN,-0.0045314065455414965
BDQ+DEL,-0.001254885329890856
MOX+RIF,0.000372344489551983
EMB+INH+PZA+RIF,-0.00011611150569801077
BDQ+PRE,0.006802210432552926
BDQ+PRE,0.008694142753727685
BDQ+DEL,-0.00039235280198905936
MOX+RIF,-0.0007346204685220266
BDQ+LIN+PRE,-0.0031491169003667907
EMB+INH+PZA+RIF,0.005183609183117716
LIN+PRE,-0.0009860912071601047
PZA+RIF,-0.00043019018869832644
BDQ+PRE,-0.0009842122342117665
EMB+MOX+PZA+RIF,0.007941342098251177
MOX+RIF,0.0011775916128405075
BDQ+LIN,-0.0017498681171740221
BDQ+DEL,-0.008554296427886136
BDQ+LIN,-0.010725794691394432
BDQ+LIN,-0.006392653865404395
BDQ+LIN+PRE,-0.008006536358545764
INH+PZA,0.000528898114136952
PZA+RIF,-0.006084094442123062
INH+PZA,-0.00268219426348526
BDQ+LIN+PRE,0.006553429212772856
EMB+MOX+PZA+RIF,0.0058957991237151034
MOX+RIF,0.0009303823625437501
BDQ+PRE,-0.0011258943598526523
BDQ+LIN,0.0003222732052885592
MOX+RIF,-0.001983830786380513
BDQ+PRE,0.010464398499341464
INH+PZA,-0.0019692026898530538
BDQ+LIN,-0.0013812630880964461
INH+PZA,-0.0018021643306292447
EMB+MOX+PZA+RIF,0.0030209438241040306
INH+PZA,-0.006498073064366779
BDQ+DEL,-0.0022670039764629505
BDQ+PRE,-0.001065187411845056
BDQ+LIN+PRE,0.0009075703200329583
INH+PZA,0.008628015272489412
EMB+MOX+PZA+RIF,0.005092275188537971
EMB+INH+PZA+RIF,0.0012975135416846046
BDQ+PRE,0.0017583152903430158
INH+PZA,-0.0012754753660336486
BDQ+LIN,-0.0008713649120210568
EMB+MOX+PZA+RIF,0.003105947601030978
BDQ+LIN+PRE,0.0006152305159948581
BDQ+LIN,-0.003138097759798139
INH+PZA,-0.000346427097108271
EMB+MOX+PZA+RIF,0.0021122095869807343
BDQ+LIN,-0.0033959002019446484
BDQ+DEL,-0.005598458772015556
PZA+RIF,0.0009901945885785186
MOX+RIF,-0.00047771687082226444
BDQ+DEL,0.008009422582545158
BDQ+LIN,0.00007156358371969405
PZA+RIF,-0.002156751025599667
PZA+RIF,0.0006221504551188023
LIN+PRE,0.002068908487665288
BDQ+DEL,-0.0024105464455859045
BDQ+LIN,-0.0004983923309562582
EMB+MOX+PZA+RIF,0.0058176688456778045
LIN+PRE,0.0015716959993415343
PZA+RIF,-0.000794277967423904
LIN+PRE,0.0008611949737846427
EMB+MOX+PZA+RIF,0.014588199869136067
BDQ+DEL,-0.012562287540306047
BDQ+LIN+PRE,0.0021972178550406047
EMB+MOX+PZA+RIF,0.008891336454205334
LIN+PRE,0.0036883904026033297
MOX+RIF,0.008852151330376376
BDQ+DEL,-0.0018947254196931438
PZA+RIF,0.0029285320033932737
LIN+PRE,0.004418582521827338
BDQ+PRE,0.0011529620900705146
LIN+PRE,-0.00023197564175326084
BDQ+PRE,-0.0006309266543285161
BDQ+LIN+PRE,0.005045302932019754
INH+PZA,-0.0059814485138742724
BDQ+LIN,-0.0027369882869588916
EMB+MOX+PZA+RIF,0.004410217818047819
BDQ+LIN,-0.0009583456953609372
LIN+PRE,-0.0017726877816950466
LIN+PRE,-0.00192914866584413
BDQ+PRE,0.004168772208892068
BDQ+LIN,-0.002648651464278905
MOX+RIF,-0.0005840034357570253
BDQ+LIN+PRE,-0.0001497109533631003
EMB+INH+PZA+RIF,0.0010001469383601543
