Compound,SHAP
BDQ+LIN,-0.002826835344848441
MOX+RIF,-0.002407413520373008
INH+PZA,-0.00045724039474799295
BDQ+PRE,0.005569128073988366
BDQ+LIN+PRE,-0.0004200717405044717
PZA+RIF,-0.003411321005707873
BDQ+LIN+PRE,0.003071712771876683
MOX+RIF,0.001845639472194792
BDQ+DEL,-0.002487157863616491
EMB+INH+PZA+RIF,0.0031306352454860695
INH+PZA,-0.007787035251509921
MOX+RIF,0.002123031662132514
LIN+PRE,0.001344118886534942
BDQ+PRE,0.001080250834027991
BDQ+DEL,0.007294776986691054
PZA+RIF,-0.005245895298728923
MOX+RIF,-0.003987184628535276
BDQ+DEL,0.0015353762818201668
PZA+RIF,0.00011732477654484472
EMB+INH+PZA+RIF,0.0009113223976620536
BDQ+PRE,0.000863650314946553
BDQ+LIN+PRE,-0.0008568671270589805
LIN+PRE,0.004529854551498067
PZA+RIF,0.001153938063518713
LIN+PRE,0.004127283860156656
INH+PZA,-0.000680828926618604
BDQ+LIN,-0.009562087378771273
EMB+MOX+PZA+RIF,0.0029817506660392264
BDQ+DEL,-0.00024297582454488084
MOX+RIF,0.0023513519542397343
INH+PZA,-0.00010275941483711298
INH+PZA,-0.00010352811392676582
EMB+MOX+PZA+RIF,0.0038788571674826756
BDQ+PRE,-0.0022406791088247133
BDQ+PRE,0.0028724806532500102
LIN+PRE,0.00871858616924969
MOX+RIF,0.00047901913558950345
EMB+INH+PZA+RIF,0.00025148316139595784
PZA+RIF,-0.0007810690157075337
EMB+INH+PZA+RIF,0.00033550282435751357
EMB+MOX+PZA+RIF,0.007323836438101702
LIN+PRE,0.003404485407810385
PZA+RIF,0.002951618680938847
INH+PZA,-0.0007614329740267525
EMB+MOX+PZA+RIF,0.004771787734509351
BDQ+PRE,0.0031099608100502735
BDQ+PRE,-0.00048595961269994585
EMB+INH+PZA+RIF,-0.000852771573986203
EMB+MOX+PZA+RIF,0.007531134823045396
BDQ+LIN,-0.003107788998694753
BDQ+LIN,-0.011406121345057144
MOX+RIF,0.0007061874495356703
EMB+MOX+PZA+RIF,0.010073323770840838
BDQ+LIN,-0.003207159250774875
BDQ+DEL,-0.00042670923054138443
MOX+RIF,0.001927975790545582
EMB+INH+PZA+RIF,0.00045532730985851623
BDQ+PRE,-0.002987166257932972
BDQ+PRE,0.003101641684912805
BDQ+DEL,0.008602860800674827
MOX+RIF,-0.00017208488193296253
BDQ+LIN+PRE,0.000034993703567250814
EMB+INH+PZA+RIF,0.00369352186167681
LIN+PRE,0.0017749995797392342
PZA+RIF,0.002457079894901765
BDQ+PRE,-0.0009140224412003331
EMB+MOX+PZA+RIF,0.0023987618946689944
MOX+RIF,0.0005899998867279171
BDQ+LIN,0.0011431531211232283
BDQ+DEL,-0.003203070321377357
BDQ+LIN,-0.011378094980210154
BDQ+LIN,-0.00583523760716174
BDQ+LIN+PRE,-0.0017009347772659656
INH+PZA,-0.0006975029923678905
PZA+RIF,0.0007691888783476368
INH+PZA,-0.00017660249976208956
BDQ+LIN+PRE,0.00280989360620911
EMB+MOX+PZA+RIF,0.003494600725919496
MOX+RIF,-0.003263860823871433
BDQ+PRE,0.00047596779094190566
BDQ+LIN,-0.007304504845646328
MOX+RIF,0.0025049214993608754
BDQ+PRE,-0.002342144542467212
INH+PZA,-0.003398331151627308
BDQ+LIN,-0.004234973952687749
INH+PZA,-0.0022833817881745067
EMB+MOX+PZA+RIF,0.002612441820852942
INH+PZA,-0.0036531325621526854
BDQ+DEL,0.0005271363856881594
BDQ+PRE,-0.001253545301850751
BDQ+LIN+PRE,0.0022899338947015343
INH+PZA,0.00400398681871444
EMB+MOX+PZA+RIF,0.004878327712888201
EMB+INH+PZA+RIF,0.001680339695210089
BDQ+PRE,-0.00015712146958454624
INH+PZA,-0.007236109154420988
BDQ+LIN,-0.004371359529621553
EMB+MOX+PZA+RIF,0.002187068319551074
BDQ+LIN+PRE,-0.0007178224079586517
BDQ+LIN,-0.004623069150347431
INH+PZA,-0.00042248106967849284
EMB+MOX+PZA+RIF,0.00170485121975737
BDQ+LIN,-0.003568427888777498
BDQ+DEL,0.0011175921494553174
PZA+RIF,-0.0014974174727022367
MOX+RIF,-0.002305775071037534
BDQ+DEL,0.004373180297790825
BDQ+LIN,0.001511938488186808
PZA+RIF,0.001871763467461714
PZA+RIF,-0.0010854351685743722
LIN+PRE,0.0027485400694479325
BDQ+DEL,0.0015938073125058448
BDQ+LIN,-0.0014411411293887304
EMB+MOX+PZA+RIF,0.005498008764373063
LIN+PRE,0.0020959175706249025
PZA+RIF,-0.0008061118485009595
LIN+PRE,0.017493997162622472
EMB+MOX+PZA+RIF,0.007738220523452582
BDQ+DEL,-0.000965568476093242
BDQ+LIN+PRE,0.005007071157804641
EMB+MOX+PZA+RIF,0.006573590787075441
LIN+PRE,0.009430748988456639
MOX+RIF,0.00204862288835805
BDQ+DEL,0.0004492408929413641
PZA+RIF,0.0028988091913974123
LIN+PRE,0.002194201270676872
BDQ+PRE,0.0017607189510772936
LIN+PRE,0.0009718278560199792
BDQ+PRE,0.0002998968994126727
BDQ+LIN+PRE,0.00445735366740303
INH+PZA,-0.006952612829832957
BDQ+LIN,-0.008138621475979919
EMB+MOX+PZA+RIF,0.002808583401137449
BDQ+LIN,-0.0005424933132903923
LIN+PRE,0.00227549643246183
LIN+PRE,0.0003558548269878243
BDQ+PRE,0.0019525805832398923
BDQ+LIN,-0.006810345748952182
MOX+RIF,0.0025333135380385834
BDQ+LIN+PRE,-0.0007106170645634464
EMB+INH+PZA+RIF,0.004321811130082627
LIN+PRE,0.0009320115680044252
BDQ+LIN+PRE,-0.0009831601941495067
LIN+PRE,0.00657673367176859
BDQ+DEL,0.0010471967887105145
EMB+MOX+PZA+RIF,0.0024805986180290963
BDQ+LIN+PRE,-0.00009547348802439437
INH+PZA,-0.002097845998668275
PZA+RIF,0.0024486911037298106
LIN+PRE,0.0009753869217489558
PZA+RIF,0.003084464901276491
BDQ+LIN+PRE,0.0006195850833466308
BDQ+PRE,0.0011307952047234834
BDQ+LIN,-0.001258016721950367
BDQ+DEL,-0.0002140741798825848
EMB+MOX+PZA+RIF,0.0006972481580210602
EMB+INH+PZA+RIF,0.0012138498632569548
BDQ+PRE,0.0006443853342094191
PZA+RIF,-0.004840998563214759
PZA+RIF,0.0006508574065565153
EMB+INH+PZA+RIF,0.0009608408863132138
BDQ+DEL,-0.0021031236991913985
BDQ+DEL,-0.0008151899942368502
BDQ+LIN+PRE,-0.0009917523724905554
MOX+RIF,0.0020334913171056613
INH+PZA,-0.004770694647828937
BDQ+DEL,-0.001810178488829829
MOX+RIF,0.0005815474380654382
BDQ+PRE,0.0014523035261636997
MOX+RIF,0.0005533411480342632
INH+PZA,-0.0016532420899960582
MOX+RIF,0.0014592562085878828
PZA+RIF,0.006118611088497199
BDQ+PRE,0.00013194692742885377
BDQ+LIN+PRE,0.007596332919436144
EMB+MOX+PZA+RIF,0.004101712098759732
BDQ+LIN+PRE,0.002344536495222887
MOX+RIF,0.0025459513508166
PZA+RIF,-0.002162267780319789
MOX+RIF,0.0007485953822840366
BDQ+LIN+PRE,0.0010615428136179642
BDQ+LIN+PRE,0.00290047379118312
EMB+INH+PZA+RIF,-0.0060119721476466605
BDQ+LIN,-0.008328759750452375
BDQ+LIN+PRE,0.00066069900080113
LIN+PRE,0.0011710409637065262
PZA+RIF,0.002870253484661283
MOX+RIF,-0.0035341431856636646
INH+PZA,-0.0021930281264003655
BDQ+LIN,-0.00912710070249447
LIN+PRE,0.013416972326440933
PZA+RIF,0.0008143317920447607
BDQ+DEL,0.003454836499577169
BDQ+LIN+PRE,-0.0016313356454016742
LIN+PRE,0.00017057788246645935
INH+PZA,-0.0027692054905026305
LIN+PRE,-0.0007543215987431563
EMB+MOX+PZA+RIF,0.004786241922714685
EMB+INH+PZA+RIF,-0.0035943779326800505
EMB+MOX+PZA+RIF,0.0034148114802802854
EMB+INH+PZA+RIF,0.007362804688899225
BDQ+PRE,0.006481389840724293
EMB+MOX+PZA+RIF,-0.00018877203505488903
PZA+RIF,0.003064324964576481
BDQ+LIN,-0.002749931242934796
MOX+RIF,0.002922132897876293
BDQ+PRE,0.003645452663298737
EMB+MOX+PZA+RIF,0.002288031011424093
BDQ+DEL,-0.002889694723237128
EMB+INH+PZA+RIF,-0.0001434254054501448
MOX+RIF,0.00038365138497233503
EMB+MOX+PZA+RIF,0.0017713574214895764
