Compound,SHAP
BDQ+LIN,-0.0006451521820264351
MOX+RIF,-0.0009159302532934288
INH+PZA,-0.0010603230404412209
BDQ+PRE,0.00017522549289171165
BDQ+LIN+PRE,0.0018065226979740888
PZA+RIF,-0.0029529802395106045
BDQ+LIN+PRE,0.0018565864912674602
MOX+RIF,-0.0006551436279622006
BDQ+DEL,0.0001407359802123578
EMB+INH+PZA+RIF,0.0017047955304881782
INH+PZA,-0.002638888436961636
MOX+RIF,-0.0032843376765357255
LIN+PRE,-0.0031409966947282294
BDQ+PRE,0.0020729540516244947
BDQ+DEL,0.00015234398739988106
PZA+RIF,-0.001917136413833867
MOX+RIF,-0.003717172886535859
BDQ+DEL,0.0009484304114490444
PZA+RIF,-0.004870718557613515
EMB+INH+PZA+RIF,-0.0019156513360250366
BDQ+PRE,0.0011339374597692511
BDQ+LIN+PRE,0.0031003252377737787
LIN+PRE,-0.0037976228246356103
PZA+RIF,-0.00014937004745221947
LIN+PRE,-0.0005915537029518833
INH+PZA,-0.001475682627759593
BDQ+LIN,0.0016405536524750131
EMB+MOX+PZA+RIF,0.004503189193746894
BDQ+DEL,0.0005567510198414173
MOX+RIF,-0.0034206866921337904
INH+PZA,-0.013166162500630825
INH+PZA,-0.012428711711403214
EMB+MOX+PZA+RIF,0.011771256593901552
BDQ+PRE,0.0016272720697286453
BDQ+PRE,0.003277892470614392
LIN+PRE,0.005771864066909321
MOX+RIF,-0.0006716427345290381
EMB+INH+PZA+RIF,-0.0010559017782509794
PZA+RIF,-0.0034522168533925586
EMB+INH+PZA+RIF,0.00008301547450061636
EMB+MOX+PZA+RIF,0.0022164041552098874
LIN+PRE,0.0006270302884917652
PZA+RIF,-0.0045762245077118
INH+PZA,-0.0011385151071144437
EMB+MOX+PZA+RIF,0.0066900484248295115
BDQ+PRE,0.002127024313340688
BDQ+PRE,0.0033798612094143986
EMB+INH+PZA+RIF,0.0015924776125490936
EMB+MOX+PZA+RIF,0.0018846293984060628
BDQ+LIN,0.0019587760826705472
BDQ+LIN,0.00263799966207035
MOX+RIF,-0.006386566816772466
EMB+MOX+PZA+RIF,0.0020431450842919
BDQ+LIN,0.0005681851137521524
BDQ+DEL,0.0013505213131946758
MOX+RIF,0.00025812172806407137
EMB+INH+PZA+RIF,0.0014118147420538513
BDQ+PRE,0.006247350612537893
BDQ+PRE,0.002627491003016612
BDQ+DEL,0.0022534573308229376
MOX+RIF,-0.0013863821128848072
BDQ+LIN+PRE,0.0019325656450330975
EMB+INH+PZA+RIF,-0.0020667668870023317
LIN+PRE,-0.0010057452778897051
PZA+RIF,-0.0035239809295074475
BDQ+PRE,0.00191218048465197
EMB+MOX+PZA+RIF,0.0005621219360402269
MOX+RIF,0.0020135090786311143
BDQ+LIN,0.002528953402594385
BDQ+DEL,0.001265436218857728
BDQ+LIN,0.000659305697437883
BDQ+LIN,0.0019200002522303183
BDQ+LIN+PRE,0.000992534222626474
INH+PZA,-0.002823650279102557
PZA+RIF,-0.0032551564746072354
INH+PZA,-0.0007834183376802145
BDQ+LIN+PRE,0.003537543721744937
EMB+MOX+PZA+RIF,0.0017720433827233377
MOX+RIF,-0.0004704182133528388
BDQ+PRE,0.0033670878475084024
BDQ+LIN,0.0005210498363120382
MOX+RIF,-0.004567594528490893
BDQ+PRE,0.003457218562864078
INH+PZA,-0.001463742921358427
BDQ+LIN,0.00021144854217060064
INH+PZA,-0.003855061584032425
EMB+MOX+PZA+RIF,0.008249545562037615
INH+PZA,-0.0027731531961560385
BDQ+DEL,0.0015225605381704302
BDQ+PRE,0.003423370712895159
BDQ+LIN+PRE,0.0012936307636437602
INH+PZA,0.0008685979850908385
EMB+MOX+PZA+RIF,0.001817197757567094
EMB+INH+PZA+RIF,-0.0009708307414435045
BDQ+PRE,0.0025604158080650883
INH+PZA,-0.0011540129530133976
BDQ+LIN,0.0014008993222423697
EMB+MOX+PZA+RIF,0.0005354171594957141
BDQ+LIN+PRE,0.0006164836264516214
BDQ+LIN,0.0008231480966107578
INH+PZA,-0.0012980463108556825
EMB+MOX+PZA+RIF,0.0025960864650199245
BDQ+LIN,0.0006484576381565731
BDQ+DEL,0.00010437054381682475
PZA+RIF,-0.004960419906527382
MOX+RIF,-0.0009756086760480976
BDQ+DEL,0.0011363336795698618
BDQ+LIN,0.0009248068541167379
PZA+RIF,-0.0036054610332512727
PZA+RIF,-0.006393495149056661
LIN+PRE,-0.0005233212827482007
BDQ+DEL,0.00015274259317807736
BDQ+LIN,0.001413946885853546
EMB+MOX+PZA+RIF,0.0044747538797854855
LIN+PRE,-0.00009630511575119725
PZA+RIF,-0.004061556805704842
LIN+PRE,0.010231516747355299
EMB+MOX+PZA+RIF,0.00361050827992786
BDQ+DEL,-0.0012601519384762994
BDQ+LIN+PRE,0.004959587540085351
EMB+MOX+PZA+RIF,0.004350460924822296
LIN+PRE,0.006293578698682792
MOX+RIF,-0.0009978858666281976
BDQ+DEL,0.0008743342468521427
PZA+RIF,-0.0015327868350550119
LIN+PRE,-0.0004658892005601047
BDQ+PRE,0.005785048019547662
LIN+PRE,-0.0007578565622983079
BDQ+PRE,0.0026834277197829923
BDQ+LIN+PRE,0.005784905671120283
INH+PZA,-0.001826765525759778
BDQ+LIN,0.002828360025619735
EMB+MOX+PZA+RIF,0.002762860673956086
BDQ+LIN,0.0016462164679703843
LIN+PRE,-0.0005223726965525335
LIN+PRE,-0.0007006215923342676
BDQ+PRE,0.003584991769956742
BDQ+LIN,0.0009070352314761042
MOX+RIF,-0.004261808033629066
BDQ+LIN+PRE,0.0013244955361609015
EMB+INH+PZA+RIF,0.000220423071173294
LIN+PRE,-0.0038103548964202863
BDQ+LIN+PRE,0.002195761808878629
LIN+PRE,-0.0022535353214778032
BDQ+DEL,0.0004656271217669126
EMB+MOX+PZA+RIF,0.001788066561849813
BDQ+LIN+PRE,0.0031232146687602646
INH+PZA,-0.01384544858770052
PZA+RIF,-0.0030262882946048126
LIN+PRE,-0.004437967923511072
PZA+RIF,-0.0035124990278463442
BDQ+LIN+PRE,0.002140539039417261
BDQ+PRE,0.004722271226248373
BDQ+LIN,0.001525406356596546
BDQ+DEL,-0.0013799413867853125
EMB+MOX+PZA+RIF,0.0020581324415110992
