Compound,SHAP
BDQ+LIN,-0.0003485977764380059
MOX+RIF,-0.002283810896635112
INH+PZA,-0.0010099466375247577
BDQ+PRE,0.0003197905679813807
BDQ+LIN+PRE,-0.0008448302847764619
PZA+RIF,-0.00007562772332223258
BDQ+LIN+PRE,0.0015007388803035542
MOX+RIF,0.001699723457030709
BDQ+DEL,-0.0014494915656662012
EMB+INH+PZA+RIF,0.0036351580053933623
INH+PZA,-0.003975401229889132
MOX+RIF,-0.000014675891242818303
LIN+PRE,-0.00441232345511785
BDQ+PRE,-0.005365245528396138
BDQ+DEL,-0.00031997436412519413
PZA+RIF,-0.003895564001610637
MOX+RIF,-0.00262738000895735
BDQ+DEL,-0.001396662675096763
PZA+RIF,-0.0036345419524951906
EMB+INH+PZA+RIF,0.007190897825869754
BDQ+PRE,-0.003401373240384354
BDQ+LIN+PRE,0.00044671468548575216
LIN+PRE,-0.003144755749288339
PZA+RIF,-0.001694809225609274
LIN+PRE,-0.0016839406834423388
INH+PZA,-0.0013983062942165931
BDQ+LIN,0.0040832453484722624
EMB+MOX+PZA+RIF,0.0035620187818983014
BDQ+DEL,-0.0035648113221997406
MOX+RIF,-0.004989680973356863
INH+PZA,-0.006364361820447596
INH+PZA,-0.005517186710454015
EMB+MOX+PZA+RIF,0.0026790419517800043
BDQ+PRE,0.0004953221534345236
BDQ+PRE,-0.002122023880783439
LIN+PRE,-0.0008739804123006476
MOX+RIF,-0.0035691710617734586
EMB+INH+PZA+RIF,0.002310049860239464
PZA+RIF,-0.001567320231365159
EMB+INH+PZA+RIF,0.0024949900108874956
EMB+MOX+PZA+RIF,0.001899227003300201
LIN+PRE,-0.0031249186770831595
PZA+RIF,-9.332722751457776e-6
INH+PZA,-0.0005493796831410819
EMB+MOX+PZA+RIF,0.0019191480240278091
BDQ+PRE,-5.546134942267786e-6
BDQ+PRE,0.0008486135394075461
EMB+INH+PZA+RIF,0.0018919539660052624
EMB+MOX+PZA+RIF,0.0012464196414206281
BDQ+LIN,0.002745256542671655
BDQ+LIN,-0.0029305504361362335
MOX+RIF,-0.008053694321288862
EMB+MOX+PZA+RIF,0.0012162590460522052
BDQ+LIN,0.0017013115509200759
BDQ+DEL,-0.0028784280156951393
MOX+RIF,0.0009924410244952788
EMB+INH+PZA+RIF,0.008780922330251788
BDQ+PRE,-0.0007702952895646115
BDQ+PRE,0.0026149604093383683
BDQ+DEL,0.005436710492932415
MOX+RIF,-0.0013370641379506297
BDQ+LIN+PRE,-0.002865964427881039
EMB+INH+PZA+RIF,0.007319442274070735
LIN+PRE,-0.0020770743717779894
PZA+RIF,-0.001890120013630969
BDQ+PRE,-0.003990035573022881
EMB+MOX+PZA+RIF,0.0017655540635373786
MOX+RIF,-0.0008188947063890085
BDQ+LIN,0.0028738519724262274
BDQ+DEL,-0.005677491708791262
BDQ+LIN,-0.0018392416877241761
BDQ+LIN,-0.0002688899756149635
BDQ+LIN+PRE,-0.006029866934300931
INH+PZA,-0.0017187231996508225
PZA+RIF,0.00009805058137025376
INH+PZA,0.00007981506762961844
BDQ+LIN+PRE,0.0007190092439252007
EMB+MOX+PZA+RIF,0.004496901956350681
MOX+RIF,-0.004877829402463571
BDQ+PRE,-0.0028528889831340113
BDQ+LIN,0.00040008385174387256
MOX+RIF,-0.0018904647220359266
