Compound,SHAP
BDQ+LIN,-0.006509039347189089
MOX+RIF,0.00012848801080114343
INH+PZA,-0.0013107669868137382
BDQ+PRE,0.0017167243203556452
BDQ+LIN+PRE,0.004184103656007794
PZA+RIF,-0.0021600400255779367
BDQ+LIN+PRE,0.0040974203908357675
MOX+RIF,0.0005789674237869619
BDQ+DEL,-0.0036549504573280887
EMB+INH+PZA+RIF,0.0007459669298443755
INH+PZA,-0.0031247996938655815
MOX+RIF,0.00006759627810477777
LIN+PRE,-0.0004199176936139831
BDQ+PRE,0.0018120144590021766
BDQ+DEL,-0.0035963950365064776
PZA+RIF,-0.00196712369413472
MOX+RIF,-0.0014743541294617878
BDQ+DEL,-0.005223763201898834
PZA+RIF,-0.002460567582047253
EMB+INH+PZA+RIF,0.002340751746039295
BDQ+PRE,-0.00214058944394966
BDQ+LIN+PRE,0.0011467520712259787
LIN+PRE,0.0009241189058273884
PZA+RIF,-0.001997734652325256
LIN+PRE,0.00499093933165658
INH+PZA,-0.0037035806767111933
BDQ+LIN,-0.003941218141746048
EMB+MOX+PZA+RIF,0.004501619514413062
BDQ+DEL,-0.0023162730052773196
MOX+RIF,0.0020100455929381728
INH+PZA,-0.008142768269129456
INH+PZA,-0.009428921860880004
EMB+MOX+PZA+RIF,0.0020685349587535873
BDQ+PRE,-0.0011410004179556248
BDQ+PRE,-0.002793232285707912
LIN+PRE,0.006684660919609694
MOX+RIF,0.0011781985253564357
EMB+INH+PZA+RIF,0.0005752759597696086
PZA+RIF,-0.002377845426200809
EMB+INH+PZA+RIF,0.0021327002008154844
EMB+MOX+PZA+RIF,-0.0004690284849944386
LIN+PRE,0.0004169531766936632
PZA+RIF,-0.0017550061551117782
INH+PZA,0.0014636611638427644
EMB+MOX+PZA+RIF,0.0005531142423649174
BDQ+PRE,0.003927816824231892
BDQ+PRE,-0.0032238631894889974
EMB+INH+PZA+RIF,0.0016470705829758135
EMB+MOX+PZA+RIF,-0.000993002064627262
BDQ+LIN,-0.0018022793023479056
BDQ+LIN,-0.005271272230122596
MOX+RIF,0.00026393315612074794
EMB+MOX+PZA+RIF,0.0010419226582501565
BDQ+LIN,-0.0037205386484445127
BDQ+DEL,-0.0020628654046975945
MOX+RIF,-0.0007554970060750274
EMB+INH+PZA+RIF,0.0014200175555416318
BDQ+PRE,0.006590577368657919
BDQ+PRE,0.004755801153344146
BDQ+DEL,-0.002193722815884266
MOX+RIF,-0.00030142530797267744
BDQ+LIN+PRE,0.0033205401030847004
EMB+INH+PZA+RIF,0.005031626995152387
LIN+PRE,0.0006383084607884946
PZA+RIF,-0.001231702678267874
BDQ+PRE,-0.0035439036456096167
EMB+MOX+PZA+RIF,0.0010583693188604751
MOX+RIF,0.0011793024533020213
BDQ+LIN,-0.0012377853079370263
BDQ+DEL,-0.002489576332813309
BDQ+LIN,-0.0010800645395314965
BDQ+LIN,-0.003775290766915751
BDQ+LIN+PRE,0.003683192365446903
INH+PZA,-0.004266336605737712
PZA+RIF,-0.00008960283587217753
INH+PZA,-0.0012263625049858567
BDQ+LIN+PRE,0.005214731235606738
EMB+MOX+PZA+RIF,0.002560852512354797
MOX+RIF,0.0007491735566588615
BDQ+PRE,0.002312112881646932
BDQ+LIN,-0.002263616752087001
MOX+RIF,-0.002069450705348684
BDQ+PRE,0.0029808142054610037
INH+PZA,-0.009662826969281271
BDQ+LIN,-0.007989469714424827
INH+PZA,-0.012322872029821432
EMB+MOX+PZA+RIF,0.001620960596454755
INH+PZA,-0.002511341735108488
BDQ+DEL,-0.005017898543254449
BDQ+PRE,-0.0057155837170795
