Compound,SHAP
BDQ+LIN,-0.013990837304089157
MOX+RIF,-0.0026339834360159763
INH+PZA,0.00394845535787518
BDQ+PRE,-0.0002521242264927577
BDQ+LIN+PRE,-0.0045962105816933245
PZA+RIF,0.0017228519426568353
BDQ+LIN+PRE,-0.004102796404509722
MOX+RIF,-0.00035296141719464764
BDQ+DEL,-0.0040823660561000565
EMB+INH+PZA+RIF,-0.0026796218200016426
INH+PZA,-0.000011964722797137729
MOX+RIF,0.0008693270344430891
LIN+PRE,0.0004506206698607365
BDQ+PRE,-0.0019748411151814683
BDQ+DEL,-0.001018583324191572
PZA+RIF,0.0027412004218144593
MOX+RIF,-0.0008617916534658643
BDQ+DEL,-0.0017099911331063947
PZA+RIF,-0.005198244175510296
EMB+INH+PZA+RIF,-0.004225625338185777
BDQ+PRE,-0.0016042839770247217
BDQ+LIN+PRE,-0.0008967688955682757
LIN+PRE,0.0012936217154383629
PZA+RIF,0.00120748625557714
LIN+PRE,0.009361067555329552
INH+PZA,0.0011647272253765483
BDQ+LIN,0.0020535450811411575
EMB+MOX+PZA+RIF,0.0226006641457917
BDQ+DEL,-0.0005181983178620689
MOX+RIF,-0.0002834320743016161
INH+PZA,0.0023709297078677596
INH+PZA,0.0020046155751615793
EMB+MOX+PZA+RIF,0.00272202675319407
BDQ+PRE,-0.003350189551049018
BDQ+PRE,-0.003372336983360081
LIN+PRE,0.0053389940592245356
MOX+RIF,-0.006219777848337065
EMB+INH+PZA+RIF,-0.0051740506208671115
PZA+RIF,-0.0031206633780756815
EMB+INH+PZA+RIF,-0.013231537122823439
EMB+MOX+PZA+RIF,0.004181108218116006
LIN+PRE,0.0016728984391026634
PZA+RIF,-0.0007091485701245663
INH+PZA,0.0035385762155682636
EMB+MOX+PZA+RIF,0.0037380232983910398
BDQ+PRE,0.0006477387831065372
BDQ+PRE,0.005549418490708226
EMB+INH+PZA+RIF,-0.013598428134559616
EMB+MOX+PZA+RIF,0.004254647960252132
BDQ+LIN,-0.005514155537890932
BDQ+LIN,-0.009926562489974236
MOX+RIF,-0.0015785303166236985
EMB+MOX+PZA+RIF,0.005522848049623079
BDQ+LIN,-0.017076980020429264
BDQ+DEL,-0.011895162278871227
MOX+RIF,-0.0075270743490755965
EMB+INH+PZA+RIF,-0.01235192744533117
BDQ+PRE,-0.0001515469980656176
BDQ+PRE,0.0008640642626183021
BDQ+DEL,0.0060879306938618
MOX+RIF,-0.0010166258020294324
BDQ+LIN+PRE,-0.0077341397218618135
EMB+INH+PZA+RIF,-0.008557017280917678
LIN+PRE,0.001876878687046906
PZA+RIF,0.001303985718903809
BDQ+PRE,-0.00364539645063818
EMB+MOX+PZA+RIF,0.002786892301531996
MOX+RIF,-0.008426876979096835
BDQ+LIN,-0.0010068973402024809
BDQ+DEL,-0.002629840374233908
BDQ+LIN,-0.007053770995617381
BDQ+LIN,-0.0031234256185785946
BDQ+LIN+PRE,-0.0016343742911266784
INH+PZA,0.005292503566862629
PZA+RIF,0.002167880999891288
INH+PZA,0.008121294631564633
BDQ+LIN+PRE,-0.0007178152115024015
EMB+MOX+PZA+RIF,0.026335560141107515
MOX+RIF,-0.0005933775002485444
BDQ+PRE,0.00044748047710015413
BDQ+LIN,0.00025968897564740255
MOX+RIF,-0.004905944396087569
BDQ+PRE,0.000910789886044737
INH+PZA,0.0046546781035365446
BDQ+LIN,-0.011134654870599376
INH+PZA,0.004996790243166952
